
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending September 28, 2002 (WEEK 39)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	12,284	13,978	3,225	2,870	1,682	2,096	176	318													
NEW ENGLAND	249	245	152	185	17	99	2	34													
Maine	4	6	20	10	-	-	-	-													
N.H.	9	6	30	N	-	-	N	N													
Vt.	1	7	9	11	4	7	1	-													
Mass.	157	171	79	57	N	N	N	N													
R.I.	12	17	14	11	13	4	1	3													
Conn.	66	38	-	96	-	88	-	31													
MID. ATLANTIC	869	1,158	523	522	90	137	50	82													
Upstate N.Y.	216	397	245	217	79	131	50	82													
N.Y. City	291	326	128	145	U	U	U	U													
N.J.	198	231	103	105	N	N	N	N													
Pa.	164	204	47	55	11	6	-	-													
E.N. CENTRAL	1,292	3,372	571	662	170	144	76	88													
Ohio	487	2,252	180	168	33	-	6	-													
Ind.	71	168	42	53	132	144	45	43													
Ill.	475	450	105	215	2	-	-	45													
Mich.	136	248	244	175	3	-	N	N													
Wis.	123	254	-	51	N	N	25	-													
W.N. CENTRAL	792	1,322	196	294	161	115	37	48													
Minn.	168	339	100	131	48	51	37	40													
Iowa	100	327	-	-	N	N	N	N													
Mo.	123	249	40	63	5	9	-	-													
N. Dak.	15	20	-	11	1	5	-	8													
S. Dak.	150	263	11	10	1	3	-	-													
Nebr.	166	62	16	32	29	14	N	N													
Kans.	70	62	29	47	77	33	N	N													
S. ATLANTIC	4,662	1,910	665	485	1,053	1,128	4	5													
Del.	144	12	2	2	3	5	N	N													
Md.	874	121	107	N	N	N	N	N													
D.C.	46	46	6	20	48	5	1	3													
Va.	700	241	65	65	N	N	N	N													
W. Va.	9	8	16	18	36	37	3	2													
N.C.	278	283	107	124	N	N	U	U													
S.C.	81	219	30	9	148	232	N	N													
Ga.	1,202	271	143	153	259	329	N	N													
Fla.	1,328	709	189	94	559	520	N	N													
E.S. CENTRAL	984	1,220	87	91	114	200	-	-													
Ky.	112	524	17	33	12	23	N	N													
Tenn.	69	78	70	58	102	176	N	N													
Ala.	524	182	-	-	-	1	N	N													
Miss.	279	436	-	-	-	-	-	-													
W.S. CENTRAL	929	2,194	105	259	40	236	3	61													
Ark.	155	460	5	-	6	14	-	-													
La.	125	183	-	1	34	222	1	61													
Okla.	384	49	37	36	N	N	2	-													
Tex.	265	1,502	63	222	N	N	-	-													
MOUNTAIN	622	723	459	312	37	33	4	-													
Mont.	3	4	-	-	-	-	-	-													
Idaho	9	31	9	7	N	N	N	N													
Wyo.	7	6	7	9	9	5	-	-													
Colo.	136	185	115	127	-	-	-	-													
N. Mex.	122	101	83	66	28	26	-	-													
Ariz.	280	283	216	100	-	-	N	N													
Utah	26	47	29	3	-	-	4	-													
Nev.	39	66	-	-	-	2	-	-													
PACIFIC	1,885	1,834	467	60	-	4	-	-													
Wash.	117	152	65	-	-	-	N	N													
Oreg.	83	84	N	N	N	N	N	N													
Calif.	1,634	1,541	341	-	N	N	N	N													
Alaska	5	6	-	-	-	-	N	N													
Hawaii	46	51	61	60	-	4	-	-													
Guam	-	37	-	1	-	-	-	-													
P.R.	5	15	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	17	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


