
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending April 18, 2009 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	59	99	215	1,846	2,069	43	35	94	582	648											
NEW ENGLAND	1	5	31	106	133	-	1	12	19	35											
Conn.	-	0	26	23	12	-	0	11	-	-											
Maine	1	0	3	7	11	-	0	1	-	1											
Mass.	-	3	7	45	82	-	1	3	13	28											
N.H.	-	1	4	18	13	-	0	1	4	6											
R.I.	-	0	8	4	9	-	0	2	-	-											
Vt.	-	0	3	9	6	-	0	1	2	-											
MID. ATLANTIC	16	18	36	338	437	15	4	25	79	78											
N.J.	-	2	9	2	84	-	1	4	10	25											
N.Y. (Upstate)	14	6	24	126	120	4	2	19	42	32											
N.Y. City	-	4	12	73	92	11	0	23	27	21											
Pa.	2	7	17	137	141	N	0	2	N	N											
E.N. CENTRAL	7	16	39	346	431	2	6	11	83	118											
Ill.	-	4	11	81	127	-	1	5	9	36											
Ind.	-	3	19	56	57	-	0	5	9	13											
Mich.	1	3	9	59	77	2	1	5	25	32											
Ohio	3	4	14	110	111	-	1	5	29	19											
Wis.	3	1	10	40	59	-	0	2	11	18											
W.N. CENTRAL	2	5	37	151	151	2	2	14	48	39											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	8	21	21	N	0	1	N	N											
Minn.	-	0	34	52	55	-	0	9	15	15											
Mo.	-	2	8	45	42	2	1	4	24	16											
Nebr.	2	1	3	22	16	-	0	1	2	3											
N. Dak.	-	0	2	2	7	-	0	3	3	1											
S. Dak.	-	0	2	9	10	-	0	2	4	4											
S. ATLANTIC	19	22	47	421	413	10	6	14	119	132											
Del.	-	0	1	7	6	-	0	0	-	-											
D.C.	-	0	4	-	8	N	0	0	N	N											
Fla.	9	6	12	110	92	5	1	3	27	22											
Ga.	4	5	14	101	85	1	1	6	36	35											
Md.	2	3	10	59	77	2	1	3	26	31											
N.C.	-	2	13	42	46	N	0	0	N	N											
S.C.	2	1	5	31	27	2	1	6	23	20											
Va.	1	3	9	55	57	-	0	3	1	21											
W. Va.	1	0	4	16	15	-	0	2	6	3											
E.S. CENTRAL	3	4	9	82	65	2	2	6	22	36											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	5	14	15	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	-	10											
Tenn.	3	3	8	68	50	2	1	6	22	26											
W.S. CENTRAL	8	10	58	178	164	9	6	36	110	86											
Ark.	-	0	2	7	2	1	0	3	10	4											
La.	-	0	2	6	8	-	0	3	12	3											
Okla.	3	2	13	67	45	3	1	7	21	31											
Tex.	5	6	45	98	109	5	4	27	67	48											
MOUNTAIN	3	10	23	176	232	3	4	15	91	107											
Ariz.	3	3	8	49	80	3	2	9	52	51											
Colo.	-	3	8	64	61	-	1	4	19	24											
Idaho	-	0	2	3	9	-	0	1	2	2											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	3	5	-	0	1	-	1											
N. Mex.	-	2	6	35	54	-	0	2	7	11											
Utah	-	1	6	21	20	-	0	4	11	18											
Wyo.	-	0	1	1	3	-	0	1	-	-											
PACIFIC	-	3	8	48	43	-	1	5	11	17											
Alaska	-	1	4	7	10	-	0	4	8	10											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	3	8	41	33	-	0	2	3	7											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	8	-	13	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


