
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending October 4, 2003 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	1,774	2,840	173	148	113	34	13,088	15,579	237,210	269,705											
NEW ENGLAND	113	219	27	39	14	4	956	1,401	5,444	5,890											
Maine	10	30	-	6	1	-	136	161	149	107											
N.H.	11	28	2	-	-	-	21	34	76	98											
Vt.	14	8	-	1	-	-	95	103	64	80											
Mass.	48	105	3	17	13	4	445	762	2,308	2,538											
R.I.	1	10	-	1	-	-	84	124	745	676											
Conn.	29	38	22	14	-	-	175	217	2,102	2,391											
MID. ATLANTIC	186	310	13	1	27	6	2,573	3,186	32,380	32,468											
Upstate N.Y.	75	133	9	-	13	-	762	911	5,906	6,590											
N.Y. City	5	14	-	-	-	-	832	1,161	9,781	9,711											
N.J.	14	52	-	-	-	1	268	367	6,031	5,936											
Pa.	92	111	4	1	14	5	711	747	10,662	10,231											
E.N. CENTRAL	403	692	19	28	17	4	2,106	2,715	46,128	56,867											
Ohio	81	117	14	9	16	3	695	693	13,308	16,640											
Ind.	73	54	-	1	-	-	-	-	5,007	5,617											
Ill.	82	161	-	6	-	-	534	762	13,981	18,697											
Mich.	63	112	-	3	-	1	552	715	9,954	11,188											
Wis.	104	248	5	9	1	-	325	545	3,878	4,725											
W.N. CENTRAL	303	400	31	27	23	4	1,464	1,569	12,426	13,825											
Minn.	104	139	18	23	1	-	555	615	2,179	2,423											
Iowa	68	97	-	-	-	-	210	242	607	953											
Mo.	65	54	8	-	2	-	379	370	6,376	6,873											
N. Dak.	8	4	-	-	9	-	24	14	42	58											
S. Dak.	21	35	4	1	-	-	57	60	170	196											
Nebr.	15	45	1	3	-	-	89	128	1,083	1,185											
Kans.	22	26	-	-	11	4	150	140	1,969	2,137											
S. ATLANTIC	116	221	55	27	8	-	2,052	2,248	59,596	68,472											
Del.	4	8	N	N	N	N	34	44	885	1,217											
Md.	10	24	-	-	-	-	86	98	6,059	6,943											
D.C.	1	-	-	-	-	-	37	32	1,734	2,034											
Va.	32	49	8	7	-	-	250	223	5,824	7,948											
W. Va.	3	7	-	-	-	-	33	45	655	747											
N.C.	4	36	21	-	-	-	N	N	11,389	12,407											
S.C.	-	5	-	-	-	-	82	111	6,712	7,094											
Ga.	24	38	3	7	-	-	711	716	12,665	13,435											
Fla.	38	54	23	13	8	-	819	979	13,673	16,647											
E.S. CENTRAL	63	91	2	-	7	9	260	298	19,619	23,428											
Ky.	22	27	2	-	7	9	N	N	2,757	2,885											
Tenn.	25	38	-	-	-	-	124	133	6,363	7,213											
Ala.	13	17	-	-	-	-	136	165	5,962	8,026											
Miss.	3	9	-	-	-	-	-	-	4,537	5,304											
W.S. CENTRAL	67	96	1	-	12	3	222	190	31,901	37,487											
Ark.	8	9	-	-	-	-	115	132	3,067	3,668											
La.	3	4	-	-	-	-	5	4	7,819	9,164											
Okla.	22	19	-	-	-	-	102	52	3,710	3,701											
Tex.	34	64	1	-	12	3	-	2	17,305	20,954											
MOUNTAIN	234	283	22	20	5	4	1,194	1,230	7,460	8,568											
Mont.	12	25	-	-	-	-	84	74	73	75											
Idaho	53	36	15	10	-	-	152	94	57	66											
Wyo.	2	12	-	2	-	-	17	25	33	49											
Colo.	57	85	3	5	5	4	339	403	1,997	2,686											
N. Mex.	11	8	3	3	-	-	36	123	819	1,138											
Ariz.	25	31	N	N	N	N	202	150	2,702	2,881											
Utah	56	62	-	-	-	-	272	246	330	214											
Nev.	18	24	1	-	-	-	92	115	1,449	1,459											
PACIFIC	289	528	3	6	-	-	2,261	2,742	22,256	22,700											
Wash.	78	118	1	-	-	-	235	312	2,107	2,217											
Oreg.	79	181	2	6	-	-	309	341	685	658											
Calif.	122	189	-	-	-	-	1,588	1,934	18,419	18,838											
Alaska	3	6	-	-	-	-	63	83	408	464											
Hawaii	7	34	-	-	-	-	66	72	637	523											
Guam	N	N	-	-	-	-	-	7	-	38											
P.R.	-	1	-	-	-	-	36	67	156	285											
V.I.	-	-	-	-	-	-	-	-	36	31											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


