
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending July 5, 2008 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	30	95	259	3,243	3,343	7	35	164	940	1,025											
NEW ENGLAND	1	6	31	209	271	-	1	14	41	84											
Conn.	-	0	28	71	83	-	0	11	-	11											
Maine	-	0	3	17	18	-	0	1	1	1											
Mass.	-	2	7	83	132	-	1	5	30	56											
N.H.	-	0	2	16	21	-	0	1	7	8											
R.I.	-	0	6	12	2	-	0	1	2	6											
Vt.	1	0	2	10	15	-	0	1	1	2											
MID. ATLANTIC	7	16	43	679	654	2	4	19	116	190											
N.J.	-	3	9	106	122	-	1	6	21	39											
N.Y. (Upstate)	3	6	18	231	196	2	2	14	62	64											
N.Y. City	-	3	10	120	161	-	1	12	33	87											
Pa.	4	5	16	222	175	N	0	0	N	N											
E.N. CENTRAL	-	17	59	656	678	-	6	23	187	191											
Ill.	-	5	16	175	207	-	1	6	43	45											
Ind.	-	2	11	87	69	-	0	14	23	12											
Mich.	-	3	10	86	145	-	1	5	41	56											
Ohio	-	5	15	187	164	-	1	5	35	39											
Wis.	-	2	38	121	93	-	1	9	45	39											
W.N. CENTRAL	2	4	39	257	219	1	2	16	79	54											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	6	32	24	-	0	3	12	-											
Minn.	-	0	35	116	107	-	0	13	28	33											
Mo.	-	2	10	62	57	1	1	2	24	15											
Nebr.	-	0	3	24	15	-	0	3	6	5											
N. Dak.	-	0	5	9	10	-	0	2	4	1											
S. Dak.	2	0	2	14	6	-	0	1	5	-											
S. ATLANTIC	6	21	37	638	774	1	6	13	148	177											
Del.	-	0	2	6	5	-	0	0	-	-											
D.C.	-	0	2	12	16	-	0	1	1	2											
Fla.	3	6	11	151	177	-	1	4	41	36											
Ga.	1	4	10	132	151	-	1	5	10	39											
Md.	2	4	9	116	136	1	1	5	38	43											
N.C.	-	3	10	86	98	N	0	0	N	N											
S.C.	-	1	5	36	75	-	1	4	29	21											
Va.	-	3	12	80	98	-	0	6	24	31											
W. Va.	-	0	3	19	18	-	0	1	5	5											
E.S. CENTRAL	-	4	13	104	131	-	2	9	62	49											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	0	3	21	30	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	15	-											
Tenn.	-	3	13	83	101	-	2	9	47	49											
W.S. CENTRAL	7	8	85	265	186	2	5	66	145	138											
Ark.	-	0	2	4	15	-	0	2	5	9											
La.	-	0	1	3	13	-	0	2	2	24											
Okla.	2	1	19	70	43	1	1	7	47	32											
Tex.	5	5	65	188	115	1	3	58	91	73											
MOUNTAIN	5	11	22	358	351	1	5	12	152	132											
Ariz.	3	4	9	131	129	-	2	8	77	65											
Colo.	2	3	8	100	91	1	1	4	42	31											
Idaho	-	0	2	11	8	-	0	1	3	2											
Mont.	N	0	0	N	N	-	0	1	2	1											
Nev.	-	0	2	6	2	N	0	0	N	N											
N. Mex.	-	2	7	66	63	-	0	3	13	27											
Utah	-	1	5	39	53	-	0	4	14	6											
Wyo.	-	0	2	5	5	-	0	1	1	-											
PACIFIC	2	3	10	77	79	-	0	2	10	10											
Alaska	-	0	3	20	15	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	2	2	10	57	64	-	0	2	10	10											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	30	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	3	-	7	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


