
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending July 21, 2012 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	11	11	95	447	439	16	22	131	306	1,573	-	2	8	62	86						
NEW ENGLAND	-	0	2	12	3	5	5	21	94	296	-	0	1	-	1						
Conn.	-	0	0	-	-	-	0	8	-	99	-	0	0	-	-						
Maine	-	0	1	2	1	3	1	3	30	10	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	8	-	137	-	0	0	-	-						
N.H.	-	0	0	-	1	2	0	5	20	11	-	0	0	-	1						
R.I.	-	0	2	10	1	-	0	15	36	37	-	0	1	-	-						
Vt.	-	0	0	-	-	-	0	2	8	2	-	0	0	-	-						
MID. ATLANTIC	3	1	6	22	59	8	9	44	153	157	-	0	2	5	13						
N.J.	-	0	2	-	39	-	0	8	-	53	-	0	1	-	6						
N.Y. (Upstate)	3	0	4	14	18	8	6	41	139	81	-	0	2	5	3						
N.Y. City	-	0	3	8	2	-	0	4	14	21	-	0	0	-	-						
Pa.	-	0	1	-	-	-	0	2	-	2	-	0	1	-	4						
E.N. CENTRAL	-	0	5	16	32	-	1	39	6	497	-	1	5	30	38						
Ill.	-	0	4	13	19	-	0	1	6	6	-	0	0	-	-						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	5	28	12						
Mich.	-	0	1	-	4	-	0	0	-	-	-	0	2	2	1						
Ohio	-	0	1	3	4	-	0	1	-	3	-	0	0	-	1						
Wis.	-	0	1	-	5	-	0	38	-	488	-	0	2	-	24						
W.N. CENTRAL	-	2	32	181	121	1	2	35	17	580	-	0	4	14	22						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	3	15	10	-	0	1	2	3	-	0	0	-	1						
Minn.	-	0	1	-	5	-	0	35	-	558	-	0	1	-	9						
Mo.	-	2	32	166	105	-	0	4	14	15	-	0	4	14	12						
Nebr.	-	0	1	-	-	1	0	0	1	1	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	3	-	-	-	0	0	-	-						
S. Dak.	-	0	0	-	1	-	0	1	-	3	-	0	0	-	-						
S. ATLANTIC	6	4	35	118	135	1	1	6	19	30	-	0	2	6	4						
Del.	-	0	2	8	12	-	0	1	1	1	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	2	11	13	-	0	2	2	4	-	0	0	-	-						
Ga.	-	0	2	7	15	-	0	1	2	8	-	0	1	1	2						
Md.	1	0	3	16	20	-	0	2	-	2	-	0	1	1	-						
N.C.	-	0	18	13	32	-	0	6	4	12	-	0	1	-	-						
S.C.	-	0	1	1	-	-	0	0	-	-	-	0	1	-	-						
Va.	5	1	13	62	43	1	0	3	10	3	-	0	2	4	1						
W. Va.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	1						
E.S. CENTRAL	-	1	7	43	45	1	0	2	12	8	-	0	3	5	3						
Ala.	-	0	2	5	-	-	0	1	4	3	-	0	1	3	-						
Ky.	-	0	2	6	11	-	0	0	-	-	-	0	0	-	-						
Miss.	-	0	0	-	3	-	0	1	-	-	-	0	1	1	-						
Tenn.	-	0	5	32	31	1	0	1	8	5	-	0	3	1	3						
W.S. CENTRAL	2	1	52	55	44	-	0	11	5	-	-	0	1	1	-						
Ark.	2	1	13	37	14	-	0	3	2	-	-	0	0	-	-						
La.	-	0	1	1	-	-	0	1	-	-	-	0	1	1	-						
Okla.	-	0	51	15	28	-	0	7	2	-	-	0	0	-	-						
Tex.	-	0	1	2	2	-	0	2	1	-	-	0	0	-	-						
MOUNTAIN	-	0	0	-	-	-	0	0	-	1	-	0	1	1	3						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	3						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Wyo.	-	0	0	-	-	-	0	0	-	1	-	0	0	-	-						
PACIFIC	-	0	1	-	-	-	0	1	-	4	-	0	0	-	2						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	2						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	1	-	4	-	0	0	-	-						
Wash.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Please refer to the MMWR publication for weekly updates to the footnote for this condition.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


