
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending January 26, 2008 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	59	172	294	253	669	18	107	191	114	254	3	33	148	12	25						
NEW ENGLAND	1	25	45	5	131	8	11	22	15	38	-	0	1	-	-						
Conn.	-	0	5	-	7	7	4	10	7	19	-	0	0	-	-						
Maine	-	1	6	3	9	-	1	5	-	5	-	0	1	-	-						
Mass.	-	18	33	-	105	-	0	0	-	N	-	0	1	-	-						
N.H.	-	1	5	-	8	-	1	4	3	4	-	0	1	-	-						
R.I.	1	0	7	1	-	1	1	4	2	3	-	0	0	-	-						
Vt.	-	0	9	1	2	-	2	13	3	7	-	0	0	-	-						
MID. ATLANTIC	15	22	50	52	143	2	26	56	19	79	1	1	7	1	5						
N.J.	-	2	10	-	28	N	0	0	N	N	-	0	3	-	1						
N.Y. (Upstate)	3	8	31	10	70	2	9	20	19	22	-	0	1	-	-						
N.Y. City	-	2	7	-	14	-	1	5	-	8	-	0	3	-	2						
Pa.	12	7	22	42	31	-	16	44	-	49	1	0	3	1	2						
E.N. CENTRAL	22	25	79	78	130	-	4	48	-	-	-	1	4	-	2						
Ill.	-	3	9	5	34	-	1	15	-	-	-	0	3	-	-						
Ind.	-	0	9	-	-	-	0	1	-	-	-	0	2	-	-						
Mich.	-	4	16	3	20	-	1	27	-	-	-	0	1	-	1						
Ohio	22	11	54	70	55	-	1	11	-	-	-	0	2	-	1						
Wis.	-	0	24	-	21	N	0	0	N	N	-	0	0	-	-						
