
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 27, 1999 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	318	545	5	50	56	51	360	585	-	3	33										
NEW ENGLAND	18	32	-	1	-	9	61	122	-	-	10										
Maine	3	3	-	-	-	-	-	4	-	-	-										
N.H.	-	1	-	1	-	9	12	12	-	-	-										
Vt.	2	1	-	-	-	-	10	19	-	-	-										
Mass.	13	12	-	-	-	-	39	84	-	-	1										
R.I.	-	3	-	-	-	-	-	-	-	-	-										
Conn.	-	12	-	-	-	-	-	3	-	-	9										
MID. ATLANTIC	36	56	-	5	1	9	25	56	-	-	16										
Upstate N.Y.	7	13	-	2	1	9	24	40	-	-	12										
N.Y. City	13	9	-	-	-	-	-	3	-	-	-										
N.J.	12	17	-	-	-	-	-	4	-	-	4										
Pa.	4	17	-	3	-	-	1	9	-	-	-										
E.N. CENTRAL	45	87	-	2	9	1	58	73	-	-	-										
Ohio	25	35	-	1	6	-	50	29	-	-	-										
Ind.	7	9	-	-	-	-	2	4	-	-	-										
Ill.	7	21	-	-	-	-	-	-	-	-	-										
Mich.	6	9	-	1	3	1	6	10	-	-	-										
Wis.	-	13	-	-	-	-	-	30	-	-	-										
W.N. CENTRAL	21	46	-	1	1	-	5	42	-	-	-										
Minn.	-	-	-	-	1	-	-	23	-	-	-										
Iowa	8	9	-	1	-	-	3	10	-	-	-										
Mo.	4	22	-	-	-	-	1	4	-	-	-										
N. Dak.	-	-	U	-	-	U	-	-	U	-	-										
S. Dak.	4	4	-	-	-	-	1	-	-	-	-										
Nebr.	2	1	-	-	-	-	-	2	-	-	-										
Kans.	3	10	-	-	-	-	-	3	-	-	-										
S. ATLANTIC	60	82	2	11	12	3	46	45	-	3	1										
Del.	1	1	-	-	-	-	-	-	-	-	-										
Md.	10	11	-	2	-	-	15	7	-	-	-										
D.C.	1	-	1	1	-	-	-	-	-	-	-										
Va.	5	8	1	1	2	1	7	-	-	-	-										
W. Va.	-	2	-	-	-	-	-	-	-	-	-										
N.C.	8	18	-	1	5	-	16	25	-	3	1										
S.C.	8	9	-	2	3	1	3	5	-	-	-										
Ga.	8	23	-	-	-	-	-	-	-	-	-										
Fla.	19	10	-	4	2	1	5	8	-	-	-										
E.S. CENTRAL	22	47	1	1	-	-	9	12	-	-	-										
Ky.	-	8	U	-	-	U	-	-	U	-	-										
Tenn.	10	16	-	-	-	-	6	3	-	-	-										
Ala.	12	19	1	1	-	-	3	9	-	-	-										
Miss.	-	4	U	-	-	U	-	-	U	-	-										
W.S. CENTRAL	16	30	-	9	13	3	15	13	-	-	1										
Ark.	4	6	-	-	-	-	3	3	-	-	-										
La.	6	10	-	-	-	-	-	-	-	-	-										
Okla.	5	13	-	1	-	-	2	-	-	-	-										
Tex.	1	1	-	8	13	3	10	10	-	-	1										
MOUNTAIN	32	32	-	3	4	19	100	121	-	-	4										
Mont.	-	1	-	-	-	-	-	1	-	-	-										
Idaho	4	2	-	-	-	16	66	60	-	-	-										
Wyo.	1	2	-	-	1	-	1	-	-	-	-										
Colo.	5	11	-	2	-	-	5	15	-	-	-										
N. Mex.	8	5	N	N	N	-	7	38	-	-	1										
Ariz.	11	9	-	-	1	3	6	3	-	-	-										
Utah	3	1	-	1	-	-	15	2	-	-	2										
Nev.	U	1	U	U	2	U	U	2	U	U	1										
PACIFIC	68	133	2	17	16	7	41	101	-	-	1										
Wash.	6	16	-	-	-	7	11	29	-	-	-										
Oreg.	10	28	N	N	N	-	3	8	-	-	-										
Calif.	45	86	2	15	10	-	26	64	-	-	1										
Alaska	3	1	-	1	2	-	1	-	-	-	-										
Hawaii	4	2	-	1	4	-	-	-	-	-	-										
Guam	-	-	U	-	1	U	-	-	U	-	-										
P.R.	1	-	-	-	-	-	-	2	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	2	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


