
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending September 25, 2004 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	28,750	30,440	8,370	17,029	3,673	4,492	1,657	1,515	500	516											
NEW ENGLAND	1,562	1,577	215	240	153	392	22	75	54	6											
Maine	70	99	2	6	8	23	2	-	3	-											
N.H.	110	111	6	6	16	27	-	-	N	N											
Vt.	41	52	2	6	8	18	7	6	1	3											
Mass.	894	937	140	167	104	174	N	N	43	N											
R.I.	91	86	13	10	17	11	13	10	7	3											
Conn.	356	292	52	45	-	139	-	59	U	U											
MID. ATLANTIC	4,116	3,600	873	1,819	580	785	106	97	84	77											
Upstate N.Y.	921	814	359	313	191	297	44	53	58	57											
N.Y. City	934	988	272	309	79	113	U	U	U	U											
N.J.	638	609	164	298	136	149	-	-	6	2											
Pa.	1,623	1,189	78	899	174	226	62	44	20	18											
E.N. CENTRAL	3,774	4,242	761	1,451	709	1,072	368	333	119	221											
Ohio	987	1,048	129	250	188	253	258	219	60	77											
Ind.	450	420	173	120	84	105	110	114	25	21											
Ill.	1,072	1,466	251	780	152	272	-	-	-	82											
Mich.	657	605	91	196	243	307	N	N	N	N											
Wis.	608	703	117	105	42	135	N	N	34	41											
W.N. CENTRAL	1,800	1,768	332	560	245	273	14	11	75	57											
Minn.	447	386	50	72	123	134	-	-	50	40											
Iowa	357	272	61	52	N	N	N	N	N	N											
Mo.	488	670	130	284	53	60	9	7	10	2											
N. Dak.	31	27	3	6	10	13	-	3	2	4											
S. Dak.	75	83	9	13	12	20	5	1	-	-											
Nebr.	119	114	22	69	12	22	-	-	5	5											
Kans.	283	216	57	64	35	24	N	N	8	6											
S. ATLANTIC	7,785	7,252	2,079	5,218	789	753	885	824	40	16											
Del.	81	75	6	154	3	6	4	1	N	N											
Md.	627	618	113	491	130	184	-	14	29	-											
D.C.	44	32	29	61	8	7	5	-	3	6											
Va.	891	728	119	303	61	90	N	N	N	N											
W. Va.	170	104	5	-	19	31	88	57	8	10											
N.C.	1,110	891	242	788	100	91	N	N	U	U											
S.C.	635	469	269	360	37	36	65	117	N	N											
Ga.	1,416	1,405	525	945	252	148	263	182	N	N											
Fla.	2,811	2,930	771	2,116	179	160	460	453	N	N											
E.S. CENTRAL	1,844	2,086	589	684	175	158	109	106	2	-											
Ky.	265	310	53	81	51	39	23	14	N	N											
Tenn.	473	547	300	239	124	119	85	92	N	N											
Ala.	484	507	193	220	-	-	-	-	N	N											
Miss.	622	722	43	144	-	-	1	-	2	-											
W.S. CENTRAL	2,341	4,577	1,776	4,348	213	213	44	61	90	83											
Ark.	426	564	57	86	16	6	6	19	8	5											
La.	511	649	217	366	2	1	38	42	18	17											
Okla.	300	332	348	629	52	67	N	N	35	41											
Tex.	1,104	3,032	1,154	3,267	143	139	N	N	29	20											
MOUNTAIN	1,785	1,616	587	835	399	372	28	4	36	56											
Mont.	164	78	4	2	-	1	-	-	-	-											
Idaho	125	134	11	24	8	18	N	N	N	N											
Wyo.	43	68	4	6	7	2	9	3	-	-											
Colo.	440	374	123	197	110	107	-	-	33	43											
N. Mex.	190	204	86	171	66	90	5	-	-	9											
Ariz.	544	468	294	353	172	127	N	N	N	N											
Utah	162	159	32	35	34	25	12	1	3	4											
Nev.	117	131	33	47	2	2	2	-	-	-											
PACIFIC	3,743	3,722	1,158	1,874	410	474	81	4	-	-											
Wash.	391	398	82	126	53	41	-	-	N	N											
Oreg.	321	335	55	183	N	N	N	N	N	N											
Calif.	2,731	2,783	970	1,523	281	342	N	N	N	N											
Alaska	43	53	5	7	-	-	-	-	N	N											
Hawaii	257	153	46	35	76	91	81	4	-	-											
Guam	-	37	-	30	-	-	-	-	-	-											
P.R.	169	484	7	20	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


