
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending February 8, 2003 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	2,135	3,005	1,598	1,542	371	474	243	179	42	13											
NEW ENGLAND	89	133	28	28	12	20	2	1	-	1											
Maine	4	21	1	1	-	3	-	-	-	-											
N.H.	4	4	-	1	1	2	-	-	N	N											
Vt.	2	6	-	-	2	1	2	1	-	1											
Mass.	59	72	19	24	9	14	N	N	N	N											
R.I.	4	5	2	-	-	-	-	-	-	-											
Conn.	16	25	6	2	-	-	-	-	-	-											
MID. ATLANTIC	205	312	96	72	49	78	6	9	8	1											
Upstate N.Y.	37	25	17	7	30	24	6	9	8	1											
N.Y. City	147	102	65	35	14	26	U	U	U	U											
N.J.	11	105	5	14	1	24	N	N	N	N											
Pa.	10	80	9	16	4	4	-	-	-	-											
E.N. CENTRAL	319	514	117	227	88	119	53	11	26	10											
Ohio	149	78	40	107	31	20	46	-	25	-											
Ind.	21	25	7	6	3	3	7	9	1	2											
Ill.	75	278	39	82	1	38	-	2	-	-											
Mich.	58	77	27	20	52	37	-	-	N	N											
Wis.	16	56	4	12	1	21	N	N	-	8											
W.N. CENTRAL	133	195	72	179	31	21	32	29	5	-											
Minn.	38	35	3	20	11	-	-	-	5	-											
Iowa	39	26	3	11	-	-	N	N	N	N											
Mo.	25	89	19	23	4	10	-	1	-	-											
N. Dak.	2	-	-	-	1	-	1	-	-	-											
S. Dak.	5	11	8	82	4	-	-	-	-	-											
Nebr.	10	11	30	29	6	6	4	9	N	N											
Kans.	14	23	9	14	5	5	27	19	N	N											
S. ATLANTIC	772	855	959	526	78	91	126	100	-	1											
Del.	2	9	50	2	1	-	-	3	N	N											
Md.	69	61	103	40	26	12	-	-	-	-											
D.C.	-	7	-	3	-	2	-	3	-	1											
Va.	41	61	25	145	-	6	N	N	N	N											
W. Va.	1	4	-	1	-	-	5	3	-	-											
N.C.	151	112	111	32	17	22	N	N	U	U											
S.C.	39	31	14	6	1	2	9	18	N	N											
Ga.	203	205	348	174	10	35	32	45	N	N											
Fla.	266	365	308	123	23	12	80	28	N	N											
E.S. CENTRAL	176	161	85	108	8	13	9	19	-	-											
Ky.	28	19	5	30	1	3	-	1	N	N											
Tenn.	52	35	20	5	7	10	9	18	N	N											
Ala.	67	59	47	31	-	-	-	-	N	N											
Miss.	29	48	13	42	-	-	-	-	-	-											
W.S. CENTRAL	48	179	64	113	9	38	12	3	3	-											
Ark.	25	29	1	18	1	-	1	2	-	-											
La.	8	11	13	8	-	-	11	1	1	-											
Okla.	15	22	50	27	8	4	N	N	2	-											
Tex.	-	117	-	60	-	34	N	N	-	-											
MOUNTAIN	117	157	66	37	73	31	3	7	-	-											
Mont.	4	3	-	-	-	-	-	-	-	-											
Idaho	11	9	1	2	4	-	N	N	N	N											
Wyo.	2	4	1	-	-	1	1	4	-	-											
Colo.	39	56	16	10	22	12	-	-	-	-											
N. Mex.	9	24	13	3	10	16	2	3	-	-											
Ariz.	32	26	31	11	35	-	-	-	N	N											
Utah	12	14	2	5	2	2	-	-	-	-											
Nev.	8	21	2	6	-	-	-	-	-	-											
PACIFIC	276	499	111	252	23	63	-	-	-	-											
Wash.	26	12	2	2	-	16	-	-	N	N											
Oreg.	24	34	8	20	N	N	N	N	N	N											
Calif.	197	421	93	223	10	36	N	N	N	N											
Alaska	11	10	2	1	-	-	-	-	N	N											
Hawaii	18	22	6	6	13	11	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	10	-	1	N	N	-	-	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


