
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending June 13, 2009 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	50	100	240	2,781	3,057	30	33	121	860	966											
NEW ENGLAND	-	5	29	153	224	1	1	12	23	49											
Conn.	-	0	21	43	54	-	0	11	-	-											
Maine	-	0	3	10	16	1	0	1	1	1											
Mass.	-	2	10	60	118	-	1	2	15	38											
N.H.	-	0	4	26	16	-	0	1	5	7											
R.I.	-	0	8	4	10	-	0	2	-	3											
Vt.	-	0	3	10	10	-	0	1	2	-											
MID. ATLANTIC	14	18	38	537	645	10	4	33	129	118											
N.J.	-	1	6	5	115	-	1	4	14	33											
N.Y. (Upstate)	12	6	25	202	203	4	2	17	68	51											
N.Y. City	-	4	12	115	124	6	0	31	47	34											
Pa.	2	6	18	215	203	N	0	2	N	N											
E.N. CENTRAL	2	18	42	565	611	1	6	18	126	181											
Ill.	-	5	12	157	170	-	1	5	14	53											
Ind.	-	3	23	93	77	-	0	13	15	20											
Mich.	-	3	10	90	111	-	1	5	41	49											
Ohio	2	4	13	152	164	1	1	6	42	32											
Wis.	-	2	10	73	89	-	1	4	14	27											
W.N. CENTRAL	2	6	37	227	225	3	2	11	68	42											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	1	5	32	25	N	0	1	N	N											
Minn.	-	0	34	84	101	3	0	7	31	9											
Mo.	1	2	8	61	57	-	1	4	26	20											
Nebr.	1	1	3	28	22	-	0	1	3	4											
N. Dak.	-	0	4	7	8	-	0	3	4	4											
S. Dak.	-	0	3	15	12	-	0	2	4	5											
S. ATLANTIC	6	22	46	613	597	1	7	16	176	187											
Del.	-	0	1	8	6	-	0	0	-	-											
D.C.	-	0	2	-	6	N	0	0	N	N											
Fla.	3	6	12	154	135	1	1	6	43	35											
Ga.	3	5	13	143	130	-	2	6	47	52											
Md.	-	3	10	86	109	-	1	3	36	37											
N.C.	-	2	12	62	74	N	0	0	N	N											
S.C.	-	1	5	37	37	-	1	6	27	29											
Va.	-	3	9	98	77	-	0	4	15	29											
W. Va.	-	1	4	25	23	-	0	2	8	5											
E.S. CENTRAL	-	4	10	111	104	1	1	6	34	52											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	5	20	22	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	-	7											
Tenn.	-	3	8	91	82	1	1	6	34	45											
W.S. CENTRAL	11	10	79	253	247	10	6	46	159	144											
Ark.	-	0	2	9	6	-	0	4	16	9											
La.	-	0	2	6	11	-	0	3	12	7											
Okla.	6	2	20	89	61	2	1	7	30	44											
Tex.	5	6	59	149	169	8	4	34	101	84											
MOUNTAIN	12	9	22	252	341	1	4	16	128	165											
Ariz.	2	3	7	77	115	-	2	10	75	73											
Colo.	10	3	8	104	85	-	1	4	24	39											
Idaho	-	0	2	3	10	1	0	2	6	2											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	4	6	-	0	1	-	2											
N. Mex.	-	2	7	42	87	-	0	4	12	25											
Utah	-	1	6	21	33	-	0	4	11	23											
Wyo.	-	0	1	1	5	-	0	1	-	1											
PACIFIC	3	3	9	70	63	2	0	3	17	28											
Alaska	1	0	4	9	15	2	0	3	12	17											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	2	3	8	61	48	-	0	2	5	11											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	8	-	22	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


