
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 20, 1999 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	246	473	7	44	44	29	278	511	-	3	30										
NEW ENGLAND	17	29	-	1	-	2	51	108	-	-	10										
Maine	3	3	-	-	-	-	-	4	-	-	-										
N.H.	-	1	-	1	-	-	3	8	-	-	-										
Vt.	1	1	-	-	-	2	10	19	-	-	-										
Mass.	13	10	-	-	-	-	38	74	-	-	1										
R.I.	-	3	-	-	-	-	-	-	-	-	-										
Conn.	-	11	U	-	-	U	-	3	U	-	9										
MID. ATLANTIC	28	43	2	5	1	2	16	45	-	-	14										
Upstate N.Y.	7	11	2	2	1	2	15	29	-	-	12										
N.Y. City	7	8	-	-	-	-	-	3	-	-	-										
N.J.	10	14	-	-	-	-	-	4	-	-	2										
Pa.	4	10	-	3	-	-	1	9	-	-	-										
E.N. CENTRAL	36	78	1	2	5	10	57	68	-	-	-										
Ohio	20	30	-	1	3	9	50	28	-	-	-										
Ind.	7	8	-	-	-	1	2	2	-	-	-										
Ill.	5	20	-	-	-	-	-	-	-	-	-										
Mich.	4	8	1	1	2	-	5	10	-	-	-										
Wis.	-	12	-	-	-	-	-	28	-	-	-										
W.N. CENTRAL	14	40	-	1	-	-	5	32	-	-	-										
Minn.	-	-	-	-	-	-	-	18	-	-	-										
Iowa	4	8	-	1	-	-	3	7	-	-	-										
Mo.	3	19	-	-	-	-	1	2	-	-	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	4	4	-	-	-	-	1	-	-	-	-										
Nebr.	1	1	-	-	-	-	-	2	-	-	-										
Kans.	2	8	-	-	-	-	-	3	-	-	-										
S. ATLANTIC	48	66	3	9	8	3	41	43	-	3	1										
Del.	1	-	-	-	-	-	-	-	-	-	-										
Md.	6	10	1	2	-	-	13	7	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	2	7	-	-	1	-	6	-	-	-	-										
W. Va.	-	2	-	-	-	-	-	-	-	-	-										
N.C.	6	14	-	1	4	-	16	23	-	3	1										
S.C.	6	5	-	2	2	-	2	5	-	-	-										
Ga.	8	21	-	-	-	-	-	-	-	-	-										
Fla.	19	7	2	4	1	3	4	8	-	-	-										
E.S. CENTRAL	20	44	-	-	-	2	9	11	-	-	-										
Ky.	-	8	U	-	-	U	-	-	U	-	-										
Tenn.	9	15	-	-	-	2	6	3	-	-	-										
Ala.	11	19	-	-	-	-	3	8	-	-	-										
Miss.	-	2	U	-	-	U	-	-	U	-	-										
W.S. CENTRAL	11	27	-	9	11	1	12	12	-	-	1										
Ark.	3	5	-	-	-	-	3	3	-	-	-										
La.	6	8	-	-	-	-	-	-	-	-	-										
Okla.	1	13	-	1	-	1	2	-	-	-	-										
Tex.	1	1	-	8	11	-	7	9	-	-	1										
MOUNTAIN	22	28	1	3	4	7	79	113	-	-	3										
Mont.	-	1	-	-	-	-	-	1	-	-	-										
Idaho	3	1	-	-	-	6	50	54	-	-	-										
Wyo.	-	1	U	-	1	U	-	-	U	-	-										
Colo.	5	11	1	2	-	1	5	14	-	-	-										
N. Mex.	6	3	N	N	N	-	7	37	-	-	-										
Ariz.	5	9	U	-	1	U	2	3	U	-	-										
Utah	3	1	-	1	-	-	15	2	-	-	2										
Nev.	U	1	U	U	2	U	U	2	U	U	1										
PACIFIC	50	118	-	14	15	2	8	79	-	-	1										
Wash.	6	12	-	-	-	2	4	11	-	-	-										
Oreg.	4	28	N	N	N	-	3	8	-	-	-										
Calif.	33	75	-	12	9	-	-	60	-	-	1										
Alaska	3	1	-	1	2	-	1	-	-	-	-										
Hawaii	4	2	-	1	4	-	-	-	-	-	-										
Guam	-	-	U	-	1	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	2	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


