
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending March 3, 2007 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2007
Lyme disease cummulative for 2006
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2007
Malaria cummulative for 2006
Meningococcal diseases, invasive †, all serogroups current week
Meningococcal diseases, invasive †, all serogroups previous 52 weeks median 
Meningococcal diseases, invasive †, all serogroups previous 52 weeks maximum 
Meningococcal diseases, invasive †, all serogroups cummulative for 2007
Meningococcal diseases, invasive †, all serogroups cummulative for 2006

tab delimited data:
test
UNITED STATES	95	247	1,014	863	781	5	24	46	95	208	11	19	46	150	242						
NEW ENGLAND	6	19	260	52	60	-	0	6	-	7	-	1	3	3	8						
Conn.	5	8	227	18	22	-	0	3	-	-	-	0	2	1	2						
Maine	-	2	34	20	12	-	0	1	-	-	-	0	3	1	2						
Mass.	-	0	3	-	15	-	0	3	-	5	-	0	2	-	4						
N.H.	1	3	95	10	9	-	0	3	-	1	-	0	2	-	-						
R.I.	-	0	93	-	1	-	0	1	-	-	-	0	1	-	-						
Vt.	-	1	15	4	1	-	0	0	-	1	-	0	1	1	-						
MID. ATLANTIC	12	145	566	397	491	-	5	18	17	54	-	2	11	14	35						
N.J.	-	25	186	59	175	-	1	7	-	19	-	0	2	-	3						
N.Y. (Upstate)	12	59	391	99	78	-	1	7	4	4	-	0	4	2	4						
N.Y. City	-	3	24	2	7	-	2	9	8	25	-	1	4	3	14						
Pa.	-	43	234	237	231	-	1	4	5	6	-	0	4	9	14						
E.N. CENTRAL	-	12	158	12	47	1	3	9	16	29	1	2	12	21	24						
Ill.	-	0	0	-	-	-	1	6	5	11	-	0	3	3	9						
Ind.	-	0	3	-	-	1	0	2	1	3	-	0	5	6	1						
Mich.	-	1	5	4	2	-	0	2	3	4	-	0	4	6	4						
Ohio	-	0	5	2	5	-	0	2	3	8	1	1	4	6	7						
Wis.	-	11	154	6	40	-	0	2	4	3	-	0	2	-	3						
W.N. CENTRAL	-	5	169	15	13	-	0	14	8	5	3	1	4	15	10						
Iowa	-	1	8	-	3	-	0	1	1	1	1	0	2	4	-						
Kans.	-	0	2	2	-	-	0	2	-	-	-	0	1	1	-						
Minn.	-	2	167	13	9	-	0	12	4	2	-	0	3	-	-						
Mo.	-	0	2	-	-	-	0	1	1	1	2	0	3	7	6						
Nebr.	-	0	2	-	1	-	0	1	2	-	-	0	1	1	4						
N. Dak.	-	0	0	-	-	-	0	1	-	-	-	0	1	1	-						
S. Dak.	-	0	1	-	-	-	0	0	-	1	-	0	1	1	-						
S. ATLANTIC	75	39	131	355	151	2	5	14	32	55	-	4	10	21	40						
Del.	3	7	28	59	53	-	0	1	1	-	-	0	1	-	2						
D.C.	-	0	7	-	5	-	0	2	1	-	-	0	1	-	-						
Fla.	-	1	5	7	5	-	1	4	8	5	-	1	7	8	14						
Ga.	-	0	1	-	1	-	1	6	4	16	-	0	3	4	2						
Md.	72	20	88	258	82	-	1	4	8	18	-	0	2	5	4						
N.C.	-	0	4	-	5	2	0	4	4	4	-	0	6	-	11						
S.C.	-	0	2	1	-	-	0	2	-	2	-	0	2	2	4						
Va.	-	6	36	30	-	-	1	4	6	10	-	0	4	2	3						
W. Va.	-	0	10	-	-	-	0	1	-	-	-	0	2	-	-						
E.S. CENTRAL	-	1	3	4	-	-	0	3	5	5	-	1	3	9	9						
Ala.	-	0	3	1	-	-	0	2	-	2	-	0	2	2	1						
Ky.	-	0	2	-	-	-	0	1	1	1	-	0	1	-	1						
Miss.	-	0	1	-	-	-	0	1	1	1	-	0	3	3	2						
Tenn.	-	0	2	3	-	-	0	2	3	1	-	0	2	4	5						
W.S. CENTRAL	-	0	5	2	1	-	1	7	2	5	-	1	5	9	11						
Ark.	-	0	0	-	-	-	0	2	-	-	-	0	1	-	3						
La.	-	0	1	-	-	-	0	1	1	-	-	0	2	1	-						
Okla.	-	0	0	-	-	-	0	2	1	1	-	0	3	4	4						
Tex.	-	0	5	2	1	-	1	6	-	4	-	0	5	4	4						
MOUNTAIN	-	0	4	2	2	2	1	6	2	12	1	1	4	14	19						
Ariz.	-	0	2	-	2	-	0	3	-	1	-	0	2	2	8						
Colo.	-	0	1	-	-	1	0	2	1	5	1	0	2	3	8						
Idaho	-	0	2	-	-	-	0	1	-	-	-	0	1	1	-						
Mont.	-	0	1	1	-	-	0	1	-	-	-	0	1	1	-						
Nev.	-	0	1	1	-	-	0	1	-	-	-	0	0	-	-						
N. Mex.	-	0	1	-	-	-	0	1	-	1	-	0	1	1	-						
Utah	-	0	1	-	-	1	0	2	1	5	-	0	2	6	3						
Wyo.	-	0	1	-	-	-	0	0	-	-	-	0	2	-	-						
PACIFIC	2	3	23	24	16	-	4	13	13	36	6	5	16	44	86						
Alaska	-	0	1	2	-	-	0	4	2	2	-	0	1	1	2						
Calif.	2	3	21	20	16	-	2	6	7	27	5	3	10	33	53						
Hawaii	N	0	0	N	N	-	0	2	-	-	-	0	2	2	1						
Oreg.	-	0	2	2	-	-	0	3	3	4	1	0	4	5	19						
Wash.	-	0	2	-	-	-	0	6	1	3	-	0	5	3	11						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	-	-						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	N	0	0	N	N	-	0	1	-	-	-	0	1	1	-						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Data for meningococcal disease, invasive caused by serogroups A, C, Y, & W-135; serogroup B; other serogroup; and 
unknown serogroup are available in Table I.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


