
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 25, 1997 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1997
Meningococcal Disease cummulative for 1996
Mumps current week
Mumps cummulative for 1997
Mumps cummulative for 1996
Pertussis current week
Pertussis cummulative for 1997
Pertussis cummulative for 1996
Rubella current week
Rubella cummulative for 1997
Rubella cummulative for 1996

tab delimited data:
test
UNITED STATES	208	319	4	8	27	61	228	87	2	2	9										
NEW ENGLAND	18	16	-	-	-	20	53	9	-	-	-										
Maine	-	3	-	-	-	-	3	1	-	-	-										
N.H.	2	1	-	-	-	12	18	1	-	-	-										
Vt.	-	1	-	-	-	8	31	2	-	-	-										
Mass.	12	2	-	-	-	-	1	5	-	-	-										
R.I.	-	3	-	-	-	-	-	-	-	-	-										
Conn.	4	6	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	14	26	-	-	4	1	1	4	-	-	-										
Upstate N.Y.	-	2	-	-	1	-	-	3	-	-	-										
N.Y. City	4	5	-	-	-	-	-	-	-	-	-										
N.J.	5	10	-	-	2	-	-	1	-	-	-										
Pa.	5	9	-	-	1	1	1	-	-	-	-										
E.N. CENTRAL	28	52	-	-	9	2	5	29	-	-	-										
Ohio	23	25	-	-	5	-	-	14	-	-	-										
Ind.	3	3	-	-	-	-	-	-	-	-	-										
Ill.	-	15	-	-	1	-	-	2	-	-	-										
Mich.	2	2	-	-	3	2	5	4	-	-	-										
Wis.	-	7	U	-	-	U	-	9	U	-	-										
W.N. CENTRAL	12	36	-	-	2	2	7	2	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	9	7	-	-	-	2	6	-	-	-	-										
Mo.	1	20	-	-	-	-	-	2	-	-	-										
N. Dak.	-	-	-	-	2	-	-	-	-	-	-										
S. Dak.	1	2	-	-	-	-	1	-	-	-	-										
Nebr.	-	4	-	-	-	-	-	-	-	-	-										
Kans.	1	3	-	-	-	-	-	-	-	-	-										
S. ATLANTIC	45	41	-	-	2	6	11	5	-	-	-										
Del.	2	1	-	-	-	-	-	-	-	-	-										
Md.	4	6	-	-	1	6	11	4	-	-	-										
D.C.	1	2	-	-	-	-	-	-	-	-	-										
Va.	2	3	-	-	-	-	-	-	-	-	-										
W. Va.	1	-	-	-	-	-	-	-	-	-	-										
N.C.	6	6	-	-	-	-	-	-	-	-	-										
S.C.	13	8	-	-	1	-	-	-	-	-	-										
Ga.	10	13	-	-	-	-	-	1	-	-	-										
Fla.	6	2	-	-	-	-	-	-	-	-	-										
E.S. CENTRAL	13	24	-	2	1	2	3	7	-	-	-										
Ky.	-	6	-	-	-	-	-	5	-	-	-										
Tenn.	-	6	-	-	-	-	-	1	-	-	-										
Ala.	9	10	-	-	1	-	1	1	-	-	-										
Miss.	4	2	-	2	-	2	2	-	-	-	N										
W.S. CENTRAL	5	28	-	-	1	-	1	1	-	-	-										
Ark.	3	5	-	-	-	-	-	1	-	-	-										
La.	-	6	-	-	1	-	-	-	-	-	-										
Okla.	1	2	-	-	-	-	-	-	-	-	-										
Tex.	1	15	-	-	-	-	1	-	-	-	-										
MOUNTAIN	16	24	2	2	2	7	98	16	2	2	-										
Mont.	1	-	-	-	-	-	-	-	-	-	-										
Idaho	1	2	-	-	-	-	70	-	-	-	-										
Wyo.	-	-	-	-	-	-	1	-	-	-	-										
Colo.	1	3	1	1	-	5	18	-	-	-	-										
N. Mex.	3	7	N	N	N	2	5	7	-	-	-										
Ariz.	7	8	-	-	-	-	4	-	2	2	-										
Utah	2	1	1	1	-	-	-	-	-	-	-										
Nev.	1	3	-	-	2	-	-	9	-	-	-										
PACIFIC	57	72	2	4	6	21	49	14	-	-	9										
Wash.	7	3	-	-	-	1	1	1	-	-	-										
Oreg.	23	16	-	-	-	-	2	12	-	-	-										
Calif.	27	51	1	1	5	20	45	-	-	-	9										
Alaska	-	1	-	-	-	-	1	-	-	-	-										
Hawaii	-	1	1	3	1	-	-	1	-	-	-										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


