
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 20, 2001 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Malaria cummulative for 2001
Malaria cummulative for 2000
Rabies, Animal cummulative for 2001
Rabies, Animal cummulative for 2000
Salmonellosis, NETSS cummulative for 2001
Salmonellosis, NETSS cummulative for 2000
Salmonellosis, PHLIS cummulative for 2001
Salmonellosis, PHLIS cummulative for 2000

tab delimited data:
test
UNITED STATES	21	37	100	207	541	1,247	131	1,247													
NEW ENGLAND	-	2	16	24	64	71	14	73													
Maine	-	-	-	3	2	4	-	-													
N.H.	-	-	-	-	7	6	2	2													
Vt.	-	-	6	2	5	-	2	2													
Mass.	-	2	7	11	50	50	-	43													
R.I.	-	-	3	1	-	-	-	8													
Conn.	-	-	-	7	-	11	10	18													
MID. ATLANTIC	1	5	16	34	30	167	3	203													
Upstate N.Y.	1	1	13	29	13	8	3	51													
N.Y. City	-	2	U	U	17	49	-	61													
N.J.	-	1	3	3	-	81	-	26													
Pa.	-	1	-	2	-	29	-	65													
E.N. CENTRAL	2	4	1	-	88	196	37	100													
Ohio	1	1	-	-	55	41	-	41													
Ind.	1	-	-	-	4	3	3	20													
Ill.	-	3	-	-	12	87	-	-													
Mich.	-	-	1	-	17	24	23	24													
Wis.	-	-	-	-	-	41	11	15													
W.N. CENTRAL	1	2	7	17	47	49	26	60													
Minn.	-	-	-	3	3	1	6	23													
Iowa	-	-	5	2	6	2	-	8													
Mo.	1	1	1	1	23	27	19	12													
N. Dak.	-	-	-	1	-	1	-	1													
S. Dak.	-	-	-	6	5	3	-	4													
Nebr.	-	-	-	-	5	6	-	2													
Kans.	-	1	1	4	5	9	1	10													
S. ATLANTIC	8	8	36	68	138	145	11	223													
Del.	-	-	-	-	3	7	1	7													
Md.	4	6	8	17	19	44	3	30													
D.C.	1	-	-	-	6	-	U	U													
Va.	2	-	6	16	10	9	-	25													
W. Va.	-	-	5	7	-	6	6	5													
N.C.	1	2	12	21	60	54	-	34													
S.C.	-	-	3	3	14	14	1	25													
Ga.	-	-	-	-	-	-	-	79													
Fla.	-	-	2	4	26	11	-	18													
E.S. CENTRAL	-	-	1	7	44	74	14	54													
Ky.	-	-	-	1	6	11	6	7													
Tenn.	-	-	1	6	5	4	7	29													
Ala.	-	-	-	-	24	28	-	15													
Miss.	-	-	-	-	9	31	1	3													
W.S. CENTRAL	1	1	4	37	18	109	6	135													
Ark.	-	-	-	-	16	8	-	10													
La.	1	1	-	-	-	20	3	29													
Okla.	-	-	4	4	2	-	1	11													
Tex.	-	-	-	33	-	81	2	85													
MOUNTAIN	1	1	7	11	25	114	15	100													
Mont.	-	-	1	5	2	3	-	-													
Idaho	1	-	-	-	3	9	-	6													
Wyo.	-	-	-	4	1	1	-	-													
Colo.	-	1	-	-	1	23	8	16													
N. Mex.	-	-	-	-	11	7	-	11													
Ariz.	-	-	6	2	4	29	2	43													
Utah	-	-	-	-	3	28	5	24													
Nev.	-	-	-	-	-	14	-	-													
PACIFIC	7	14	12	9	87	322	5	299													
Wash.	-	-	-	-	-	1	-	36													
Oreg.	2	1	-	-	9	17	-	34													
Calif.	5	12	7	9	77	277	-	209													
Alaska	-	-	5	-	1	6	-	7													
Hawaii	-	1	-	-	-	21	5	13													
Guam	-	-	-	-	-	-	U	U													
P.R.	-	-	4	2	1	7	U	U													
V.I.	U	U	U	U	U	U	U	U													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	U	U	U	U	U	U	U	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


