
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 2, 2000 (WEEK 35)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2000
H. influenzae, Invasive cummulative for 1999
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type B cummulative for 2000
Hepatitis (Viral), Type B cummulative for 1999
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2000
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2000
Measles (Rubeola), Total cummulative for 2000
Measles (Rubeola), Total cummulative for 1999

tab delimited data:
test
UNITED STATES	791	820	7,529	10,921	4,481	4,693	2	46	-	17	63	67									
NEW ENGLAND	55	60	211	193	44	106	-	2	-	4	6	11									
Maine	1	5	14	5	5	1	-	-	-	-	-	-									
N.H.	12	11	18	10	12	10	-	2	-	1	3	1									
Vt.	4	5	9	6	6	2	-	-	-	3	3	-									
Mass.	24	24	81	73	7	37	-	-	-	-	-	8									
R.I.	2	1	16	13	14	24	-	-	-	-	-	-									
Conn.	12	14	73	86	-	32	-	-	-	-	-	2									
MID. ATLANTIC	130	143	745	787	654	595	1	14	-	5	19	5									
Upstate N.Y.	67	59	144	175	93	135	1	9	-	-	9	2									
N.Y. City	28	42	238	237	314	179	-	5	-	4	9	3									
N.J.	26	37	118	96	83	91	-	-	-	-	-	-									
Pa.	9	5	245	279	164	190	-	-	-	1	1	-									
E.N. CENTRAL	110	140	904	2,073	483	493	-	7	-	-	7	2									
Ohio	41	47	189	463	77	67	-	2	-	-	2	-									
Ind.	22	20	55	73	36	32	-	-	-	-	-	1									
Ill.	40	59	331	495	85	43	-	4	-	-	4	-									
Mich.	7	11	316	990	284	325	-	1	-	-	1	1									
Wis.	-	3	13	52	1	26	-	-	-	-	-	-									
W.N. CENTRAL	42	44	644	512	539	189	-	2	-	1	3	-									
Minn.	23	24	162	53	26	37	-	-	-	1	1	-									
Iowa	-	2	60	93	33	28	-	2	-	-	2	-									
Mo.	11	5	318	308	434	105	-	-	-	-	-	-									
N. Dak.	1	1	2	1	2	-	-	-	-	-	-	-									
S. Dak.	-	2	-	8	1	1	-	-	-	-	-	-									
Nebr.	4	4	21	37	24	14	-	-	-	-	-	-									
Kans.	3	6	81	12	19	4	-	-	-	-	-	-									
S. ATLANTIC	214	184	959	1,231	833	731	1	3	-	-	3	5									
Del.	-	-	-	2	-	1	-	-	-	-	-	-									
Md.	56	48	139	217	83	107	-	-	-	-	-	-									
D.C.	-	4	20	49	24	19	-	-	-	-	-	-									
Va.	31	14	104	106	103	65	-	2	-	-	2	3									
W. Va.	6	6	49	27	8	17	-	-	-	-	-	-									
N.C.	19	28	109	107	160	147	-	-	-	-	-	-									
S.C.	11	5	39	28	8	57	-	-	-	-	-	-									
Ga.	55	49	171	335	142	99	-	-	-	-	-	-									
Fla.	36	30	328	360	305	219	1	1	-	-	1	2									
E.S. CENTRAL	36	50	297	287	323	335	-	-	-	-	-	2									
Ky.	12	6	34	53	57	33	-	-	-	-	-	2									
Tenn.	17	26	107	116	157	168	-	-	-	-	-	-									
Ala.	6	15	46	39	35	63	-	-	-	-	-	-									
Miss.	1	3	110	79	74	71	-	-	-	-	-	-									
W.S. CENTRAL	44	50	1,192	2,145	449	830	-	-	-	-	-	7									
Ark.	1	2	103	31	69	53	-	-	-	-	-	-									
La.	7	11	29	159	52	136	-	-	-	-	-	-									
Okla.	34	33	193	385	108	107	-	-	-	-	-	-									
Tex.	2	4	867	1,570	220	534	-	-	-	-	-	7									
MOUNTAIN	77	68	682	891	354	418	-	11	-	1	12	1									
Mont.	1	1	4	16	5	16	-	-	-	-	-	-									
Idaho	3	1	19	31	6	22	-	-	-	-	-	-									
Wyo.	1	1	39	5	23	10	-	-	-	-	-	-									
Colo.	11	11	139	163	59	70	-	1	-	1	2	-									
N. Mex.	17	18	56	37	72	136	-	-	-	-	-	-									
Ariz.	36	30	341	509	141	102	-	-	-	-	-	1									
Utah	7	4	40	35	17	24	-	3	-	-	3	-									
Nev.	1	2	44	95	31	38	-	7	-	-	7	-									
PACIFIC	83	81	1,895	2,802	802	996	-	7	-	6	13	34									
Wash.	5	3	184	219	65	45	-	2	-	1	3	5									
Oreg.	21	28	136	184	68	75	-	-	-	-	-	12									
Calif.	28	39	1,557	2,376	653	853	-	4	-	3	7	16									
Alaska	6	5	9	6	8	13	-	1	-	-	1	-									
Hawaii	23	6	9	17	8	10	-	-	-	2	2	1									
Guam	-	-	-	1	-	2	-	-	-	-	-	1									
P.R.	1	2	83	214	91	158	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


