
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 25, 2002 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	4	4	5,191	118,454	135,979	654	688	9	11												
NEW ENGLAND	-	1	535	3,081	2,434	50	28	-	1												
Maine	-	-	63	28	58	1	1	-	-												
N.H.	-	-	19	51	54	4	-	-	-												
Vt.	-	1	46	40	33	3	1	-	-												
Mass.	-	-	253	1,365	1,085	24	20	-	1												
R.I.	-	-	43	383	274	8	1	-	-												
Conn.	-	-	111	1,214	930	10	5	-	-												
MID. ATLANTIC	-	-	1,042	13,251	14,591	121	83	1	1												
Upstate N.Y.	-	-	417	3,300	3,218	56	26	1	-												
N.Y. City	-	-	436	4,842	4,920	27	28	-	-												
N.J.	-	-	-	1,614	1,676	27	21	-	-												
Pa.	-	-	189	3,495	4,777	11	8	-	1												
E.N. CENTRAL	2	2	983	20,712	28,511	81	120	2	1												
Ohio	2	2	319	4,671	7,653	46	37	-	1												
Ind.	-	-	-	2,729	2,643	20	19	1	-												
Ill.	-	-	217	6,012	9,028	-	43	-	-												
Mich.	-	-	310	5,644	6,882	9	6	1	-												
Wis.	-	-	137	1,656	2,305	6	15	-	-												
W.N. CENTRAL	-	-	646	5,559	6,409	22	24	-	1												
Minn.	-	-	228	1,069	1,040	15	11	-	-												
Iowa	-	-	94	170	476	1	-	-	-												
Mo.	-	-	184	3,038	3,214	4	11	-	-												
N. Dak.	-	-	6	23	14	-	-	-	-												
S. Dak.	-	-	23	98	104	-	-	-	-												
Nebr.	-	-	49	135	481	-	1	-	1												
Kans.	-	-	62	1,026	1,080	2	1	-	-												
S. ATLANTIC	-	-	934	31,745	35,052	174	192	-	1												
Del.	-	-	17	670	666	-	-	-	-												
Md.	-	-	37	3,173	3,442	39	45	-	-												
D.C.	-	-	18	1,124	1,210	-	-	-	-												
Va.	-	-	75	4,249	3,529	11	15	-	-												
W. Va.	-	-	10	381	228	2	4	-	1												
N.C.	-	-	-	5,736	6,653	18	23	-	-												
S.C.	-	-	22	3,157	5,191	6	4	-	-												
Ga.	-	-	359	5,846	6,327	58	50	-	-												
Fla.	-	-	396	7,409	7,806	40	51	-	-												
E.S. CENTRAL	-	1	123	11,844	12,775	23	45	1	-												
Ky.	-	1	-	1,312	1,376	2	2	-	-												
Tenn.	-	-	57	3,734	3,847	14	18	-	-												
Ala.	-	-	66	4,235	4,383	5	23	1	-												
Miss.	-	-	-	2,563	3,169	2	2	-	-												
W.S. CENTRAL	-	-	53	18,463	20,816	28	26	2	1												
Ark.	-	-	53	1,160	1,982	1	-	-	-												
La.	-	-	-	4,693	4,920	2	4	-	-												
Okla.	-	-	-	1,772	1,910	23	21	-	-												
Tex.	-	-	-	10,838	12,004	2	1	2	1												
MOUNTAIN	2	-	497	3,584	4,147	93	88	2	2												
Mont.	-	-	31	39	46	-	-	-	-												
Idaho	-	-	26	36	35	1	1	-	-												
Wyo.	-	-	8	26	22	1	-	-	-												
Colo.	2	-	166	1,321	1,253	17	24	-	-												
N. Mex.	-	-	65	493	389	14	13	-	-												
Ariz.	-	-	65	1,022	1,599	47	40	1	1												
Utah	-	-	84	152	40	9	3	-	-												
Nev.	-	-	52	495	763	4	7	1	1												
PACIFIC	-	-	378	10,215	11,244	62	82	1	3												
Wash.	-	-	152	1,135	1,197	2	1	1	-												
Oreg.	-	-	151	331	474	33	26	-	-												
Calif.	-	-	-	8,333	9,179	9	37	-	3												
Alaska	-	-	33	226	133	1	2	-	-												
Hawaii	-	-	42	190	261	17	16	-	-												
Guam	-	-	-	-	18	-	-	-	-												
P.R.	-	-	-	226	285	-	1	-	-												
V.I.	-	-	-	17	11	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	6	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


