
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending December 8, 2012 (WEEK 49)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2012
Shigellosis cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011

tab delimited data:
test
UNITED STATES	174	270	426	12,875	12,330	-	3	12	178	222	2	54	350	3,704	2,139						
NEW ENGLAND	-	3	10	159	263	-	0	1	1	2	-	0	3	18	8						
Conn.	-	1	3	40	39	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	4	12	32	-	0	0	-	-	-	0	1	3	1						
Mass.	-	2	6	91	173	-	0	0	-	-	-	0	3	8	4						
N.H.	-	0	1	6	4	-	0	0	-	2	-	0	1	1	1						
R.I.	-	0	5	7	9	-	0	0	-	-	-	0	1	6	2						
Vt.	-	0	1	3	6	-	0	1	1	-	-	0	0	-	-						
MID. ATLANTIC	18	44	89	2,164	1,197	-	0	2	17	4	-	1	6	76	160						
N.J.	-	17	47	811	379	-	0	0	-	2	-	0	4	4	125						
N.Y. (Upstate)	18	15	41	704	302	-	0	1	3	2	-	0	3	15	7						
N.Y. City	-	11	21	531	400	-	0	0	-	-	-	0	3	20	11						
Pa.	-	3	6	118	116	-	0	2	14	-	-	1	4	37	17						
E.N. CENTRAL	70	30	113	2,219	875	-	0	2	13	8	-	3	15	232	105						
Ill.	-	5	13	221	253	-	0	1	7	-	-	2	11	140	51						
Ind.	-	1	17	149	84	-	0	1	5	3	-	1	6	63	24						
Mich.	1	4	14	200	180	-	0	0	-	-	-	0	1	2	3						
Ohio	56	18	92	1,547	291	-	0	1	1	3	-	0	2	21	18						
Wis.	13	1	11	102	67	-	0	0	-	2	-	0	1	6	9						
W.N. CENTRAL	-	8	32	470	360	-	0	6	18	20	-	5	33	473	275						
Iowa	-	1	13	83	18	-	0	0	-	-	-	0	1	7	7						
Kans.	-	2	9	121	62	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	3	-	81	-	0	0	-	-	-	0	0	-	11						
Mo.	-	1	7	77	179	-	0	5	16	12	-	5	33	460	252						
Nebr.	-	1	22	171	14	-	0	1	1	5	-	0	1	5	5						
N. Dak.	-	0	2	7	-	-	0	1	1	2	-	0	0	-	-						
S. Dak.	-	0	3	11	6	-	0	0	-	1	-	0	1	1	-						
S. ATLANTIC	27	56	102	2,799	3,735	-	1	9	84	125	-	15	144	1,064	550						
Del.	-	0	4	20	6	-	0	0	-	-	-	0	2	24	20						
D.C.	-	0	6	17	34	-	0	0	-	1	-	0	1	1	3						
Fla.	18	34	66	1,679	2,515	-	0	1	3	3	-	0	3	28	6						
Ga.	7	13	21	628	632	-	1	5	54	87	-	0	0	-	-						
Md.	2	4	15	220	91	-	0	0	-	3	-	0	3	26	25						
N.C.	-	2	10	131	217	-	0	4	12	15	-	2	133	522	262						
S.C.	-	0	2	18	139	-	0	1	7	12	-	0	5	35	22						
Va.	-	1	6	84	96	-	0	2	8	4	-	5	35	427	208						
W. Va.	-	0	1	2	5	-	0	0	-	-	-	0	1	1	4						
E.S. CENTRAL	13	21	42	1,090	965	-	0	3	14	15	2	12	57	904	347						
Ala.	8	6	20	299	297	-	0	1	3	5	-	2	12	152	72						
Ky.	4	6	21	336	237	-	0	1	3	3	-	0	7	56	1						
Miss.	-	5	13	265	228	-	0	2	2	1	-	0	4	19	23						
Tenn.	1	3	10	190	203	-	0	1	6	6	2	10	49	677	251						
W.S. CENTRAL	25	49	189	2,303	3,023	-	0	6	5	15	-	12	292	884	627						
Ark.	1	1	7	86	91	-	0	1	3	9	-	9	67	789	520						
La.	-	4	17	176	459	-	0	0	-	-	-	0	1	5	9						
Okla.	8	8	55	477	199	-	0	5	1	3	-	0	260	52	66						
Tex.	16	32	122	1,564	2,274	-	0	1	1	3	-	1	13	38	32						
MOUNTAIN	2	12	33	698	837	-	0	2	10	31	-	1	5	49	61						
Ariz.	2	8	18	377	408	-	0	2	10	30	-	0	4	32	38						
Colo.	-	2	19	129	87	-	0	0	-	-	-	0	1	2	3						
Idaho	-	0	2	9	16	-	0	0	-	-	-	0	2	3	1						
Mont.	-	0	2	11	121	-	0	0	-	-	-	0	1	1	1						
Nev.	-	0	8	49	31	-	0	0	-	-	-	0	0	-	2						
N. Mex.	-	1	7	88	118	-	0	0	-	-	-	0	1	4	-						
Utah	-	0	4	31	54	-	0	0	-	1	-	0	1	5	6						
Wyo.	-	0	3	4	2	-	0	0	-	-	-	0	2	2	10						
PACIFIC	19	16	56	973	1,075	-	0	3	16	2	-	0	3	4	6						
Alaska	-	0	2	8	5	N	0	0	N	N	N	0	0	N	N						
Calif.	-	11	56	732	881	-	0	3	16	2	-	0	1	3	5						
Hawaii	-	0	3	21	46	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	2	10	92	56	-	0	0	-	-	-	0	1	1	1						
Wash.	19	2	10	120	87	-	0	1	-	-	-	0	3	-	-						
Amer. Samoa	-	0	3	5	1	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	16	N	0	0	N	N	N	0	0	N	N						
P.R.	-	0	0	-	6	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


