
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending October 15, 2011 (WEEK 41)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2011
Shigellosis cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010

tab delimited data:
test
UNITED STATES	135	231	742	8,627	11,208	5	3	16	161	125	9	23	245	1,512	1,365						
NEW ENGLAND	1	4	30	231	302	-	0	0	-	-	-	0	1	6	4						
Conn.	-	0	29	63	69	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	4	20	6	-	0	0	-	-	-	0	0	-	2						
Mass.	1	2	18	136	201	-	0	0	-	-	-	0	1	4	-						
N.H.	-	0	2	2	14	-	0	0	-	-	-	0	1	1	1						
R.I.	-	0	4	6	11	-	0	0	-	-	-	0	1	1	1						
Vt.	-	0	1	4	1	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	10	15	74	641	1,402	-	0	2	11	2	1	1	4	38	90						
N.J.	-	3	8	90	328	-	0	0	-	1	-	0	2	-	53						
N.Y. (Upstate)	8	3	18	218	183	-	0	1	3	1	1	0	1	7	14						
N.Y. City	1	5	18	234	257	-	0	0	-	-	-	0	3	16	11						
Pa.	1	3	56	99	634	-	0	2	8	-	-	0	3	15	12						
E.N. CENTRAL	5	16	40	591	1,343	-	0	2	7	3	1	1	7	84	75						
Ill.	-	5	10	161	760	-	0	1	1	2	-	0	3	29	34						
Ind.	-	1	4	43	51	-	0	1	2	1	-	0	4	38	20						
Mich.	1	3	10	132	216	-	0	1	1	-	-	0	1	1	1						
Ohio	4	5	27	255	253	-	0	2	3	-	1	0	2	16	14						
Wis.	-	0	4	-	63	-	0	0	-	-	-	0	1	-	6						
W.N. CENTRAL	2	7	38	247	1,849	-	0	7	27	13	1	4	30	316	259						
Iowa	-	0	4	16	46	-	0	0	-	-	-	0	2	5	5						
Kans.	1	2	12	49	233	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	4	-	51	-	0	0	-	-	-	0	2	-	-						
Mo.	1	4	18	165	1,472	-	0	4	20	10	1	4	30	305	251						
Nebr.	-	0	10	13	40	-	0	3	5	3	-	0	1	5	2						
N. Dak.	-	0	0	-	-	-	0	1	2	-	-	0	0	-	1						
S. Dak.	-	0	2	4	7	-	0	0	-	-	-	0	1	1	-						
S. ATLANTIC	71	68	134	2,913	2,018	5	1	8	88	75	5	6	54	404	421						
Del.	1	0	1	4	37	-	0	1	1	1	-	0	4	17	17						
D.C.	-	0	2	12	27	-	0	1	1	-	-	0	1	1	-						
Fla.	59	42	98	2,064	859	-	0	1	3	3	2	0	2	10	8						
Ga.	9	11	25	454	634	5	0	6	56	53	-	0	0	-	-						
Md.	2	2	7	80	109	-	0	1	2	-	1	0	3	24	41						
N.C.	-	4	36	171	152	-	0	4	12	13	-	0	49	201	216						
S.C.	-	1	3	42	59	-	0	2	10	1	1	0	2	20	18						
Va.	-	2	8	82	115	-	0	1	3	4	1	2	9	128	121						
W. Va.	-	0	66	4	26	-	0	0	-	-	-	0	1	3	-						
E.S. CENTRAL	2	15	29	501	595	-	0	2	7	20	-	5	24	299	367						
Ala.	2	5	15	175	150	-	0	1	3	5	-	1	8	61	73						
Ky.	-	1	6	38	198	-	0	1	1	6	-	0	0	-	-						
Miss.	-	3	10	143	41	-	0	0	-	1	-	0	4	12	17						
Tenn.	-	4	11	145	206	-	0	2	3	8	-	4	19	226	277						
W.S. CENTRAL	22	57	503	2,022	2,126	-	0	8	7	6	1	1	235	336	135						
Ark.	2	2	7	64	53	-	0	2	4	2	1	0	49	287	92						
La.	-	4	21	180	230	-	0	0	-	-	-	0	2	4	2						
Okla.	4	2	161	112	228	-	0	5	2	3	-	0	202	41	22						
Tex.	16	45	338	1,666	1,615	-	0	1	1	1	-	0	5	4	19						
MOUNTAIN	8	16	41	658	651	-	0	5	13	2	-	0	6	29	13						
Ariz.	6	6	27	290	351	-	0	4	12	-	-	0	6	15	1						
Colo.	2	1	8	81	83	-	0	1	-	-	-	0	1	2	1						
Idaho	-	0	3	15	22	-	0	1	1	-	-	0	1	1	5						
Mont.	-	1	15	118	7	-	0	0	-	2	-	0	1	1	1						
Nev.	-	0	4	26	41	-	0	0	-	-	-	0	0	-	-						
N. Mex.	-	3	9	87	109	-	0	0	-	-	-	0	1	1	1						
Utah	-	1	4	39	38	-	0	0	-	-	-	0	1	1	3						
