
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 3, 2005 (WEEK 35)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	20,405	26,653	598,076	617,570	2,974	3,808	2,979	2,228													
NEW ENGLAND	778	865	21,378	20,114	-	-	125	123													
Maine	11	20	1,464	1,342	N	N	12	16													
N.H.	20	29	1,200	1,129	-	-	16	21													
Vt.	4	13	657	766	-	-	23	19													
Mass.	368	283	9,562	8,903	-	-	46	49													
R.I.	68	98	2,202	2,314	-	-	5	4													
Conn.	307	422	6,293	5,660	N	N	23	14													
MID. ATLANTIC	4,352	5,934	76,155	76,239	-	-	1,257	311													
Upstate N.Y.	800	723	15,119	15,205	N	N	1,069	68													
N.Y. City	2,327	3,242	23,886	23,726	-	-	45	82													
N.J.	574	1,017	12,575	11,981	N	N	12	34													
Pa.	651	952	24,575	25,327	N	N	131	127													
E.N. CENTRAL	1,938	2,339	92,075	109,300	5	9	503	707													
Ohio	312	465	23,507	26,862	N	N	208	160													
Ind.	236	264	12,923	12,309	N	N	34	52													
Ill.	983	1,106	26,943	32,007	-	-	47	122													
Mich.	322	383	16,285	25,515	5	9	57	109													
Wis.	85	121	12,417	12,607	N	N	157	264													
W.N. CENTRAL	463	578	37,274	37,708	6	5	377	271													
Minn.	123	141	6,725	7,887	3	N	74	87													
Iowa	50	47	4,671	4,576	N	N	70	55													
Mo.	198	254	15,047	13,886	2	3	188	53													
N. Dak.	5	15	805	1,217	N	N	-	9													
S. Dak.	10	7	1,881	1,650	-	-	16	23													
Nebr.	18	35	3,720	3,458	1	2	4	23													
Kans.	59	79	4,425	5,034	N	N	25	21													
S. ATLANTIC	6,473	8,273	117,180	115,153	1	-	331	344													
Del.	100	105	2,206	1,911	N	N	-	-													
Md.	812	988	12,558	12,774	1	-	23	14													
D.C.	467	523	2,503	2,369	-	-	7	13													
Va.	307	472	13,397	14,847	-	-	22	38													
W. Va.	36	55	1,772	1,921	N	N	7	4													
N.C.	531	416	22,492	19,215	N	N	39	53													
S.C.	386	504	14,688	11,981	-	-	9	16													
Ga.	1,103	1,161	18,836	21,843	-	-	64	118													
Fla.	2,731	4,049	28,728	28,292	N	N	160	88													
E.S. CENTRAL	1,093	1,322	42,957	40,410	-	5	71	94													
Ky.	135	157	6,387	3,850	N	N	32	29													
Tenn.	434	533	16,094	15,280	N	N	22	29													
Ala.	295	305	7,235	9,186	-	-	15	15													
Miss.	229	327	13,241	12,094	-	5	2	21													
W.S. CENTRAL	2,206	3,151	69,835	77,141	1	2	59	70													
Ark.	72	135	5,424	5,453	-	1	3	13													
La.	436	639	12,572	15,788	1	1	3	2													
Okla.	167	130	7,250	7,573	N	N	33	16													
Tex.	1,531	2,247	44,589	48,327	N	N	20	39													
MOUNTAIN	789	933	35,276	37,673	2,038	2,422	83	123													
Mont.	4	4	1,318	1,668	N	N	13	33													
Idaho	9	16	1,655	1,946	N	N	6	16													
Wyo.	2	13	744	720	2	2	2	3													
Colo.	163	162	9,074	9,342	N	N	26	42													
N. Mex.	72	138	3,272	6,009	6	17	3	10													
Ariz.	329	356	12,146	11,104	1,995	2,346	10	15													
Utah	33	51	2,846	2,486	4	13	15	2													
Nev.	177	193	4,221	4,398	31	44	8	2													
PACIFIC	2,313	3,258	105,946	103,832	923	1,365	173	185													
Wash.	229	288	12,502	11,842	N	N	28	14													
Oreg.	136	216	5,641	5,463	-	-	38	26													
Calif.	1,874	2,658	82,491	80,233	923	1,365	106	143													
Alaska	14	29	2,603	2,570	-	-	-	-													
Hawaii	60	67	2,709	3,724	-	-	1	2													
Guam	1	1	-	786	-	-	-	-													
P.R.	537	396	2,505	2,503	N	N	N	N													
V.I.	10	10	119	255	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


