
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending July 4, 1998 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	1,540	2,002	7	243	354	60	2,135	2,645	1	252	87										
NEW ENGLAND	69	123	-	1	7	3	373	548	-	33	1										
Maine	4	12	-	-	-	-	5	6	-	-	-										
N.H.	4	12	-	-	-	-	34	62	-	-	-										
Vt.	1	2	-	-	-	-	36	172	-	-	-										
Mass.	34	64	-	1	2	3	282	285	-	6	1										
R.I.	3	8	-	-	4	-	3	12	-	-	-										
Conn.	23	25	-	-	1	-	13	11	-	27	-										
MID. ATLANTIC	144	205	-	16	43	10	274	212	-	112	24										
Upstate N.Y.	37	58	-	3	9	10	140	78	-	105	4										
N.Y. City	16	36	-	4	3	-	4	50	-	2	20										
N.J.	39	41	-	1	7	-	5	11	-	4	-										
Pa.	52	70	-	8	24	-	125	73	-	1	-										
E.N. CENTRAL	221	297	1	42	37	9	196	252	-	-	4										
Ohio	83	106	-	19	14	1	72	74	-	-	-										
Ind.	41	33	1	5	4	8	61	29	-	-	-										
Ill.	47	89	-	1	8	-	14	34	-	-	-										
Mich.	26	41	-	17	10	-	32	31	-	-	-										
Wis.	24	28	-	-	1	-	17	84	-	-	4										
W.N. CENTRAL	125	147	-	20	12	-	168	153	-	13	-										
Minn.	24	24	-	10	5	-	100	98	-	-	-										
Iowa	20	31	-	6	6	-	39	8	-	-	-										
Mo.	48	68	U	3	-	U	12	25	U	2	-										
N. Dak.	-	1	-	1	-	-	-	1	-	-	-										
S. Dak.	6	4	-	-	-	-	4	3	-	-	-										
Nebr.	4	5	-	-	1	-	5	3	-	-	-										
Kans.	23	14	-	-	-	-	8	15	-	11	-										
S. ATLANTIC	278	335	2	34	41	2	130	232	1	8	29										
Del.	1	4	-	-	-	-	1	-	-	-	-										
Md.	23	35	-	-	1	-	26	79	-	-	-										
D.C.	-	5	-	-	-	-	1	2	-	-	-										
Va.	23	34	1	5	6	-	6	25	-	-	1										
W. Va.	9	14	-	-	-	-	1	4	-	-	-										
N.C.	40	62	-	8	7	-	44	68	-	5	22										
S.C.	44	38	-	4	10	-	15	11	-	-	6										
Ga.	61	62	-	1	5	-	6	6	-	-	-										
Fla.	77	81	1	16	12	2	30	37	1	3	-										
E.S. CENTRAL	107	148	-	1	19	2	50	51	-	-	1										
Ky.	16	38	-	-	3	2	20	13	-	-	-										
Tenn.	42	48	-	1	3	-	17	20	-	-	-										
Ala.	49	45	-	-	6	-	13	12	-	-	1										
Miss.	U	17	U	U	7	U	U	6	U	U	-										
W.S. CENTRAL	180	192	3	34	42	4	139	83	-	68	3										
Ark.	22	25	-	-	-	1	19	6	-	-	-										
La.	35	38	3	5	11	-	1	11	-	-	-										
Okla.	27	23	-	-	-	-	13	9	-	-	-										
Tex.	96	106	-	29	31	3	106	57	-	68	3										
MOUNTAIN	86	118	1	22	46	21	483	688	-	5	5										
Mont.	3	7	-	-	-	-	1	8	-	-	-										
Idaho	4	8	-	3	2	1	189	433	-	-	1										
Wyo.	3	1	-	1	1	-	7	4	-	-	-										
Colo.	19	30	-	4	3	1	97	182	-	-	-										
N. Mex.	15	19	N	N	N	-	64	32	-	1	-										
Ariz.	30	30	1	5	29	18	89	15	-	1	4										
Utah	9	11	-	3	6	1	24	4	-	2	-										
Nev.	3	12	U	6	5	U	12	10	U	1	-										
PACIFIC	330	437	-	73	107	9	322	426	-	13	20										
Wash.	41	52	-	5	12	9	148	182	-	9	5										
Oreg.	56	89	N	N	N	-	19	22	-	-	-										
Calif.	228	293	-	53	78	-	149	209	-	2	8										
Alaska	1	1	-	2	5	-	2	2	-	-	-										
Hawaii	4	2	-	13	12	-	4	11	-	2	7										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	5	8	-	1	4	-	2	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	2	4	U	1	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


