
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 18, 2003 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Hepatitis (Viral Acute), Type A cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2002

tab delimited data:
test
UNITED STATES	55	83	-	-	8	9	-	-	215	496											
NEW ENGLAND	5	10	-	-	-	1	-	-	5	25											
Maine	-	-	-	-	-	-	-	-	-	1											
N.H.	1	-	-	-	-	-	-	-	-	1											
Vt.	1	-	-	-	-	-	-	-	1	-											
Mass.	1	8	-	-	-	1	-	-	4	11											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	2	2	-	-	-	-	-	-	-	12											
MID. ATLANTIC	5	22	-	-	1	-	-	-	33	54											
Upstate N.Y.	1	6	-	-	-	-	-	-	-	1											
N.Y. City	3	8	-	-	1	-	-	-	33	20											
N.J.	1	6	-	-	-	-	-	-	-	14											
Pa.	-	2	-	-	-	-	-	-	-	19											
E.N. CENTRAL	2	22	-	-	1	2	-	-	21	51											
Ohio	2	10	-	-	1	-	-	-	12	6											
Ind.	-	-	-	-	-	-	-	-	-	1											
Ill.	-	10	-	-	-	1	-	-	-	31											
Mich.	-	-	-	-	-	-	-	-	9	7											
Wis.	-	2	-	-	-	1	-	-	-	6											
W.N. CENTRAL	3	1	-	-	1	-	-	-	5	24											
Minn.	1	-	-	-	-	-	-	-	-	-											
Iowa	-	1	-	-	-	-	-	-	4	7											
Mo.	1	-	-	-	-	-	-	-	1	4											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	1											
Nebr.	-	-	-	-	-	-	-	-	-	1											
Kans.	1	-	-	-	1	-	-	-	-	11											
S. ATLANTIC	20	17	-	-	1	3	-	-	110	138											
Del.	-	-	-	-	-	-	-	-	-	-											
Md.	5	4	-	-	-	-	-	-	14	30											
D.C.	-	-	-	-	-	-	-	-	-	7											
Va.	-	-	-	-	-	-	-	-	-	-											
W. Va.	-	-	-	-	-	-	-	-	-	-											
N.C.	-	3	-	-	-	-	-	-	2	20											
S.C.	1	-	-	-	-	-	-	-	-	1											
Ga.	4	7	-	-	-	1	-	-	57	31											
Fla.	10	3	-	-	1	2	-	-	37	49											
E.S. CENTRAL	6	-	-	-	1	-	-	-	4	13											
Ky.	-	-	-	-	-	-	-	-	-	1											
Tenn.	1	-	-	-	-	-	-	-	1	1											
Ala.	5	-	-	-	1	-	-	-	3	3											
Miss.	-	-	-	-	-	-	-	-	-	8											
W.S. CENTRAL	4	1	-	-	1	-	-	-	2	56											
Ark.	1	-	-	-	-	-	-	-	-	4											
La.	2	-	-	-	-	-	-	-	1	-											
Okla.	1	1	-	-	1	-	-	-	1	-											
Tex.	-	-	-	-	-	-	-	-	-	52											
MOUNTAIN	8	3	-	-	1	1	-	-	17	20											
Mont.	-	-	-	-	-	-	-	-	-	2											
Idaho	-	-	-	-	-	-	-	-	-	-											
Wyo.	-	-	-	-	-	-	-	-	-	2											
Colo.	1	1	-	-	-	-	-	-	3	5											
N. Mex.	1	2	-	-	-	1	-	-	-	3											
Ariz.	4	-	-	-	-	-	-	-	11	1											
Utah	1	-	-	-	1	-	-	-	1	2											
Nev.	1	-	-	-	-	-	-	-	2	5											
PACIFIC	2	7	-	-	1	2	-	-	18	115											
Wash.	-	-	-	-	-	-	-	-	-	-											
Oreg.	1	4	-	-	1	1	-	-	2	10											
Calif.	-	1	-	-	-	1	-	-	16	105											
Alaska	-	-	-	-	-	-	-	-	-	-											
Hawaii	1	2	-	-	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	-	3											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


