
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending September 4, 2010 (WEEK 35)*

column labels in same order that data fields appears in each record below:
Reporting Area
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2009
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2009

tab delimited data:
test
UNITED STATES	2	2	14	107	116	14	15	421	926	1,058											
NEW ENGLAND	-	0	0	-	2	-	0	1	1	9											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	0	-	-	-	0	1	1	4											
Mass.	-	0	0	-	1	-	0	1	-	5											
N.H.	-	0	0	-	-	-	0	1	-	-											
R.I.	-	0	0	-	-	-	0	0	-	-											
Vt.	-	0	0	-	1	-	0	0	-	-											
MID. ATLANTIC	1	0	2	14	9	-	1	5	39	78											
N.J.	-	0	0	-	2	-	0	3	-	50											
N.Y. (Upstate)	-	0	1	1	-	-	0	3	10	11											
N.Y. City	-	0	1	1	-	-	0	4	19	6											
Pa.	1	0	2	12	7	-	0	1	10	11											
E.N. CENTRAL	-	0	1	4	8	1	0	8	60	74											
Ill.	-	0	1	2	1	-	0	5	19	45											
Ind.	-	0	1	2	3	1	0	5	32	8											
Mich.	-	0	1	-	3	-	0	2	3	1											
Ohio	-	0	0	-	-	-	0	2	5	16											
Wis.	-	0	0	-	1	-	0	1	1	4											
W.N. CENTRAL	1	0	3	13	16	3	2	19	196	225											
Iowa	-	0	0	-	1	-	0	1	3	4											
Kans.	-	0	1	2	1	-	0	0	-	-											
Minn.	-	0	1	-	1	-	0	1	-	1											
Mo.	1	0	3	10	6	3	2	18	188	216											
Nebr.	-	0	1	1	7	-	0	1	4	4											
N. Dak.	-	0	0	-	-	-	0	1	1	-											
S. Dak.	-	0	0	-	-	-	0	0	-	-											
S. ATLANTIC	-	1	10	54	55	6	5	59	325	317											
Del.	-	0	1	1	-	-	0	2	14	15											
D.C.	-	0	0	-	-	-	0	1	-	-											
Fla.	-	0	1	2	-	-	0	1	7	4											
Ga.	-	0	6	33	45	-	0	0	-	-											
Md.	-	0	1	2	2	-	0	4	28	32											
N.C.	-	0	3	11	5	-	1	48	178	203											
S.C.	-	0	1	1	3	-	0	2	10	15											
Va.	-	0	2	4	-	6	1	11	88	46											
W. Va.	-	0	0	-	-	-	0	1	-	2											
E.S. CENTRAL	-	0	3	12	7	3	3	28	248	214											
Ala.	-	0	1	2	3	-	1	8	47	50											
Ky.	-	0	2	6	1	-	0	0	-	-											
Miss.	-	0	0	-	-	-	0	1	3	9											
Tenn.	-	0	2	4	3	3	3	20	198	155											
W.S. CENTRAL	-	0	3	1	6	1	1	408	49	118											
Ark.	-	0	1	-	-	-	0	110	20	62											
La.	-	0	0	-	-	-	0	1	2	2											
Okla.	-	0	2	-	5	1	0	287	17	39											
Tex.	-	0	1	1	1	-	0	11	10	15											
MOUNTAIN	-	0	2	2	12	-	0	2	7	23											
Ariz.	-	0	2	-	6	-	0	1	2	11											
Colo.	-	0	0	-	1	-	0	0	-	-											
Idaho	-	0	0	-	-	-	0	1	2	1											
Mont.	-	0	1	2	4	-	0	1	1	6											
Nev.	-	0	0	-	-	-	0	0	-	1											
N. Mex.	-	0	0	-	-	-	0	1	1	1											
Utah	-	0	0	-	-	-	0	1	1	1											
Wyo.	-	0	0	-	1	-	0	0	-	2											
PACIFIC	-	0	2	7	1	-	0	1	1	-											
Alaska	N	0	0	N	N	N	0	0	N	N											
Calif.	-	0	2	6	1	-	0	0	-	-											
Hawaii	N	0	0	N	N	N	0	0	N	N											
Oreg.	-	0	1	1	-	-	0	1	1	-											
Wash.	-	0	0	-	-	-	0	0	-	-											
Amer. Samoa	N	0	0	N	N	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	N	0	0	N	N	N	0	0	N	N											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2009 and 2010 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


