
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending April 27, 2013 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2013
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2013
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2013
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012

tab delimited data:
test
UNITED STATES	2	10	66	21	74	3	19	68	32	244	-	2	19	4	19						
NEW ENGLAND	-	0	4	1	3	1	4	23	2	85	-	0	0	-	-						
Conn.	-	0	0	-	-	-	1	11	-	49	-	0	0	-	-						
Maine	-	0	1	-	-	1	0	4	1	8	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N.H.	-	0	1	1	-	-	0	5	1	13	-	0	0	-	-						
R.I.	-	0	3	-	3	-	1	11	-	14	-	0	0	-	-						
Vt.	-	0	0	-	-	-	0	2	-	1	-	0	0	-	-						
MID. ATLANTIC	-	0	5	3	4	1	5	17	9	38	-	0	2	-	2						
N.J.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
N.Y. (Upstate)	-	0	3	1	3	1	4	17	7	31	-	0	2	-	2						
N.Y. City	-	0	3	2	1	-	0	4	2	7	-	0	0	-	-						
Pa.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
E.N. CENTRAL	-	0	5	1	6	-	7	42	12	108	-	1	14	4	13						
Ill.	-	0	4	-	2	-	0	1	1	4	-	0	1	-	-						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	7	2	3						
Mich.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	2						
Ohio	-	0	1	1	-	-	0	1	-	-	-	0	1	-	-						
Wis.	-	0	3	-	4	-	6	42	11	104	-	0	6	1	8						
W.N. CENTRAL	-	2	32	1	23	-	0	4	-	1	-	0	4	-	-						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	4	1	6	-	0	1	-	-	-	0	0	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	-	1	31	-	17	-	0	4	-	1	-	0	4	-	-						
Nebr.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
S. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. ATLANTIC	1	4	32	11	28	1	1	7	8	5	-	0	2	-	-						
Del.	-	0	2	-	3	-	0	1	-	-	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	2	5	-	0	2	1	-	-	0	0	-	-						
Ga.	-	0	3	6	2	-	0	1	1	2	-	0	1	-	-						
Md.	-	0	4	-	2	-	0	2	1	-	-	0	0	-	-						
N.C.	-	0	19	1	9	-	0	6	1	1	-	0	0	-	-						
S.C.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
Va.	1	1	16	2	7	1	0	2	3	2	-	0	2	-	-						
W. Va.	-	0	0	-	-	-	0	1	1	-	-	0	1	-	-						
E.S. CENTRAL	1	1	9	3	4	-	0	3	1	5	-	0	1	-	3						
Ala.	1	0	1	1	-	-	0	3	-	2	-	0	1	-	2						
Ky.	-	0	4	1	-	-	0	1	-	-	-	0	0	-	-						
Miss.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
