
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 13, 1998 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1998
H. influenzae, Invasive cummulative for 1997
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1997
Hepatitis (Viral), Type B cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1997
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1998
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1998
Measles (Rubeola), Total cummulative for 1998
Measles (Rubeola), Total cummulative for 1997

tab delimited data:
test
UNITED STATES	501	532	9,412	12,383	3,318	4,089	1	17	-	11	28	65									
NEW ENGLAND	26	31	123	290	48	75	-	-	-	1	1	9									
Maine	2	3	12	37	-	4	-	-	-	-	-	-									
N.H.	1	4	7	17	7	5	-	-	-	-	-	-									
Vt.	2	2	10	6	1	2	-	-	-	-	-	-									
Mass.	19	19	34	147	15	35	-	-	-	1	1	8									
R.I.	2	2	9	24	25	8	-	-	-	-	-	-									
Conn.	-	1	51	59	-	21	-	-	-	-	-	1									
MID. ATLANTIC	72	64	590	1,087	505	610	-	3	-	1	4	12									
Upstate N.Y.	28	4	151	126	139	110	-	2	-	-	2	4									
N.Y. City	12	21	156	483	130	245	-	-	-	-	-	5									
N.J.	28	25	113	157	90	116	-	1	-	-	1	2									
Pa.	4	14	170	321	146	139	-	-	-	1	1	1									
E.N. CENTRAL	81	83	1,188	1,351	327	699	-	9	-	2	11	7									
Ohio	33	41	151	189	31	41	-	-	-	-	-	-									
Ind.	24	8	73	137	26	48	-	2	-	1	3	-									
Ill.	23	24	213	329	62	139	-	-	-	-	-	5									
Mich.	-	10	666	600	193	218	-	7	-	1	8	2									
Wis.	1	-	85	96	15	253	-	-	-	-	-	-									
W.N. CENTRAL	31	23	802	866	150	243	-	-	-	-	-	11									
Minn.	17	14	60	71	16	18	-	-	-	-	-	2									
Iowa	1	3	353	125	23	17	-	-	-	-	-	-									
Mo.	8	3	315	478	85	183	-	-	-	-	-	1									
N. Dak.	-	-	2	9	4	1	-	-	-	-	-	-									
S. Dak.	-	2	8	12	1	-	U	-	U	-	-	8									
Nebr.	-	1	15	35	7	8	-	-	-	-	-	-									
Kans.	5	-	49	136	14	16	U	-	U	-	-	-									
S. ATLANTIC	105	92	780	620	469	476	1	2	-	5	7	3									
Del.	-	-	2	11	-	3	-	-	-	1	1	-									
Md.	33	38	155	104	75	72	-	-	-	1	1	1									
D.C.	-	-	28	14	6	21	-	-	-	-	-	1									
Va.	12	6	121	79	48	56	-	-	-	2	2	-									
W. Va.	4	3	1	6	3	8	-	-	-	-	-	-									
N.C.	12	15	41	95	82	108	-	-	-	-	-	1									
S.C.	3	3	16	59	1	48	-	-	-	-	-	-									
Ga.	20	18	156	117	66	47	-	-	-	1	1	-									
Fla.	21	9	260	135	188	113	1	2	-	-	2	-									
E.S. CENTRAL	31	35	170	310	181	300	-	-	-	-	-	-									
Ky.	4	4	10	37	22	18	-	-	-	-	-	-									
Tenn.	20	21	116	186	131	191	-	-	-	-	-	-									
Ala.	7	8	44	48	28	32	-	-	-	-	-	-									
Miss.	U	2	U	39	U	59	U	U	U	U	U	-									
W.S. CENTRAL	27	25	1,716	2,502	524	481	-	-	-	-	-	4									
Ark.	-	1	37	117	30	32	-	-	-	-	-	-									
La.	12	6	37	99	45	53	-	-	-	-	-	-									
Okla.	13	16	259	759	32	15	-	-	-	-	-	-									
Tex.	2	2	1,383	1,527	417	381	-	-	-	-	-	4									
MOUNTAIN	64	56	1,543	1,854	368	399	-	-	-	-	-	7									
Mont.	-	-	50	50	3	5	-	-	-	-	-	-									
Idaho	-	1	119	74	16	14	-	-	-	-	-	-									
Wyo.	-	1	22	18	2	12	-	-	-	-	-	-									
Colo.	14	9	119	208	44	78	-	-	-	-	-	-									
N. Mex.	4	5	80	138	148	134	-	-	-	-	-	-									
Ariz.	36	16	986	862	102	87	-	-	-	-	-	5									
Utah	4	3	99	328	30	46	U	-	U	-	-	-									
Nev.	6	21	68	176	23	23	-	-	-	-	-	2									
PACIFIC	64	123	2,500	3,503	746	806	-	3	-	2	5	12									
Wash.	3	2	538	238	61	31	-	-	-	1	1	-									
Oreg.	28	21	186	177	53	52	-	-	-	-	-	-									
Calif.	27	96	1,742	3,001	621	707	-	3	-	1	4	9									
Alaska	1	1	11	22	6	10	-	-	-	-	-	-									
Hawaii	5	3	23	65	5	6	U	-	U	-	-	3									
Guam	-	-	-	-	-	3	U	-	U	-	-	-									
P.R.	2	-	19	165	221	644	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	5	-	1	7	24	U	-	U	-	-	1									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


