
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 18, 2000 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	528	601	9	84	88	49	758	1,086	-	5	8										
NEW ENGLAND	28	33	1	1	3	9	190	118	-	1	2										
Maine	3	3	-	-	-	-	7	-	-	-	-										
N.H.	-	3	-	-	1	7	42	18	-	1	-										
Vt.	1	2	-	-	-	2	45	9	-	-	-										
Mass.	18	22	-	-	2	-	86	85	-	-	2										
R.I.	-	2	1	1	-	-	6	2	-	-	-										
Conn.	6	1	-	-	-	-	4	4	-	-	-										
MID. ATLANTIC	39	61	1	5	13	7	66	137	-	2	-										
Upstate N.Y.	9	9	1	3	2	7	45	95	-	2	-										
N.Y. City	10	22	-	-	3	-	-	10	-	-	-										
N.J.	10	14	-	-	-	-	-	3	-	-	-										
Pa.	10	16	-	2	8	-	21	29	-	-	-										
E.N. CENTRAL	77	94	2	11	10	3	140	135	-	-	-										
Ohio	18	35	-	3	3	-	108	79	-	-	-										
Ind.	17	6	-	-	-	-	8	8	-	-	-										
Ill.	18	34	2	3	3	3	8	20	-	-	-										
Mich.	20	10	-	5	4	-	6	14	-	-	-										
Wis.	4	9	-	-	-	-	10	14	-	-	-										
W.N. CENTRAL	52	78	-	10	2	2	27	32	-	2	-										
Minn.	3	18	-	-	-	-	9	-	-	-	-										
Iowa	9	13	-	3	2	-	7	6	-	-	-										
Mo.	35	27	-	1	-	-	3	7	-	-	-										
N. Dak.	1	-	U	-	-	U	1	-	U	-	-										
S. Dak.	2	5	-	-	-	-	1	1	-	-	-										
Nebr.	1	3	-	4	-	2	2	1	-	-	-										
Kans.	1	12	-	2	-	-	4	17	-	2	-										
S. ATLANTIC	93	80	1	10	12	8	53	61	-	-	1										
Del.	-	1	-	-	-	-	1	-	-	-	-										
Md.	9	16	1	3	3	-	14	23	-	-	1										
D.C.	-	1	-	-	1	-	-	-	-	-	-										
Va.	16	10	-	1	2	-	3	7	-	-	-										
W. Va.	2	1	-	-	-	-	-	-	-	-	-										
N.C.	17	13	-	2	1	-	15	21	-	-	-										
S.C.	6	15	-	4	2	1	11	5	-	-	-										
Ga.	18	14	-	-	-	7	9	4	-	-	-										
Fla.	25	9	U	-	3	U	-	1	U	-	-										
E.S. CENTRAL	33	51	-	1	1	1	19	24	-	-	-										
Ky.	8	10	-	-	-	-	12	5	-	-	-										
Tenn.	14	16	-	-	-	-	1	12	-	-	-										
Ala.	10	15	-	1	1	1	6	6	-	-	-										
Miss.	1	10	-	-	-	-	-	1	-	-	-										
W.S. CENTRAL	23	55	-	-	12	-	3	30	-	-	4										
Ark.	3	12	-	-	-	-	3	2	-	-	-										
La.	12	29	-	-	2	-	-	2	-	-	-										
Okla.	8	11	-	-	1	-	-	3	-	-	-										
Tex.	-	3	-	-	9	-	-	23	-	-	4										
MOUNTAIN	35	54	-	3	7	12	182	181	-	-	1										
Mont.	1	-	-	-	-	-	1	1	-	-	-										
Idaho	4	6	-	-	-	3	31	74	-	-	-										
Wyo.	-	2	-	-	-	-	-	1	-	-	-										
Colo.	8	16	-	-	2	4	96	37	-	-	-										
N. Mex.	4	7	-	1	N	2	31	9	-	-	-										
Ariz.	11	18	-	-	-	3	17	39	-	-	-										
Utah	6	3	-	-	4	-	4	18	-	-	1										
Nev.	1	2	-	2	1	-	2	2	-	-	-										
PACIFIC	148	95	4	43	28	7	78	368	-	-	-										
Wash.	10	14	-	2	-	7	27	129	-	-	-										
Oreg.	13	23	N	N	N	-	16	3	-	-	-										
Calif.	122	50	4	40	23	-	32	224	-	-	-										
Alaska	1	4	-	-	1	-	2	1	-	-	-										
Hawaii	2	4	-	1	4	-	1	11	-	-	-										
Guam	-	-	U	-	1	U	-	-	U	-	-										
P.R.	-	2	U	-	-	U	-	-	U	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


