
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 26, 2003 (WEEK 30)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2003
AIDS § cummulative for 2002
Chlamydia† cummulative for 2003
Chlamydia† cummulative for 2002
Coccidioidomycosis cummulative for 2003
Coccidioidomycosis cummulative for 2002
Cryptosporidiosis cummulative for 2003
Cryptosporidiosis cummulative for 2002
Encephalitis/Meningitis West Nile cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2002

tab delimited data:
test
UNITED STATES	19,482	22,680	454,806	463,970	1,945	2,568	1,119	1,265	17	141											
NEW ENGLAND	654	990	15,300	15,329	-	-	68	78	-	-											
Maine	27	19	929	840	N	N	6	3	-	-											
N.H.	15	20	852	900	-	-	7	14	-	-											
Vt.	6	8	574	460	-	-	17	15	-	-											
Mass.	277	514	6,103	6,099	-	-	26	28	-	-											
R.I.	51	61	1,619	1,578	-	-	9	13	-	-											
Conn.	278	368	5,223	5,452	N	N	3	5	-	-											
MID. ATLANTIC	4,098	5,012	51,080	51,070	-	-	151	180	2	-											
Upstate N.Y.	274	446	10,999	9,328	N	N	45	44	1	-											
N.Y. City	1,976	2,775	18,526	17,402	-	-	44	72	-	-											
N.J.	787	827	7,774	6,956	-	-	4	12	-	-											
Pa.	1,061	964	13,781	17,384	N	N	58	52	1	-											
E.N. CENTRAL	1,982	2,281	77,411	85,349	3	16	263	378	3	6											
Ohio	303	428	20,145	21,916	-	-	44	73	1	-											
Ind.	259	304	9,164	9,334	N	N	33	25	-	-											
Ill.	959	1,030	21,896	27,072	-	2	29	63	-	3											
Mich.	359	401	17,467	17,434	3	14	53	61	2	-											
Wis.	102	118	8,739	9,593	-	-	104	156	-	3											
W.N. CENTRAL	358	398	25,687	25,829	1	1	139	123	4	-											
Minn.	74	89	5,578	6,034	N	N	51	44	1	-											
Iowa	41	46	2,676	2,909	N	N	28	13	-	-											
Mo.	177	186	9,402	8,592	-	-	13	17	-	-											
N. Dak.	-	1	700	710	N	N	11	10	-	-											
S. Dak.	7	3	1,394	1,203	-	-	21	5	-	-											
Nebr.	25	31	2,076	2,385	1	1	6	25	3	-											
Kans.	34	42	3,861	3,996	N	N	9	9	-	-											
S. ATLANTIC	5,488	6,994	88,853	87,563	3	2	168	160	4	1											
Del.	106	130	1,754	1,511	N	N	3	2	-	-											
Md.	558	1,058	9,354	8,757	3	2	9	8	-	-											
D.C.	595	321	1,638	1,870	-	-	7	4	-	-											
Va.	481	483	10,632	9,819	-	-	17	4	-	-											
W. Va.	42	48	1,417	1,374	N	N	3	2	-	-											
N.C.	581	440	14,386	13,941	N	N	19	23	-	-											
S.C.	330	522	8,019	8,131	-	-	2	2	1	-											
Ga.	736	1,159	18,946	18,209	-	-	59	62	-	-											
Fla.	2,059	2,833	22,707	23,951	N	N	49	53	3	1											
E.S. CENTRAL	841	997	30,173	30,166	N	N	58	73	-	42											
Ky.	79	151	4,633	4,921	N	N	13	3	-	-											
Tenn.	374	428	10,967	9,192	N	N	20	38	-	-											
Ala.	185	194	7,944	9,407	-	-	22	28	-	-											
Miss.	203	224	6,629	6,646	N	N	3	4	-	42											
W.S. CENTRAL	2,125	2,680	59,005	61,669	-	5	15	36	4	92											
Ark.	65	164	4,348	4,209	-	-	4	6	-	-											
La.	368	685	10,454	10,485	N	N	2	8	-	69											
Okla.	92	131	6,266	6,234	N	N	6	7	-	-											
Tex.	1,600	1,700	37,937	40,741	-	5	3	15	4	23											
MOUNTAIN	722	725	27,033	28,672	1,373	1,744	64	83	-	-											
Mont.	10	6	1,206	1,295	N	N	12	4	-	-											
Idaho	13	17	1,385	1,420	N	N	14	18	-	-											
Wyo.	4	5	544	508	1	-	2	6	-	-											
Colo.	159	155	6,326	8,024	N	N	13	23	-	-											
N. Mex.	52	51	3,691	4,278	4	5	3	13	-	-											
Ariz.	341	272	8,163	8,378	1,342	1,714	3	11	-	-											
Utah	31	42	2,512	1,368	6	8	11	5	-	-											
Nev.	112	177	3,206	3,401	20	17	6	3	-	-											
PACIFIC	3,214	2,603	80,264	78,323	564	799	193	154	-	-											
Wash.	214	257	9,049	8,327	N	N	25	9	-	-											
Oreg.	126	193	4,216	3,938	-	-	28	24	-	-											
Calif.	2,815	2,074	63,309	61,461	564	799	140	120	-	-											
Alaska	12	12	2,147	2,064	-	-	-	-	-	-											
Hawaii	47	67	1,543	2,533	-	-	-	1	-	-											
Guam	2	1	-	358	-	-	-	-	-	-											
P.R.	514	600	985	1,547	N	N	N	N	-	-											
V.I.	15	56	142	109	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


