
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending May 10, 2003 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	8,683	10,374	7,016	4,803	2,275	1,986	996	955	155	105											
NEW ENGLAND	437	553	101	89	132	111	5	4	1	1											
Maine	27	53	4	3	13	16	-	-	-	-											
N.H.	25	31	2	4	11	21	-	-	N	N											
Vt.	11	21	3	-	11	7	5	3	1	1											
Mass.	248	313	65	61	96	60	N	N	N	N											
R.I.	27	23	3	4	1	7	-	1	-	-											
Conn.	99	112	24	17	-	-	-	-	-	-											
MID. ATLANTIC	849	1,446	388	366	308	351	49	54	43	34											
Upstate N.Y.	233	339	110	52	172	142	24	50	33	29											
N.Y. City	290	412	125	158	39	85	U	U	U	U											
N.J.	65	313	72	76	15	75	N	N	N	N											
Pa.	261	382	81	80	82	49	25	4	10	5											
E.N. CENTRAL	1,195	1,789	436	593	511	483	221	85	70	46											
Ohio	390	410	92	275	154	102	146	-	51	-											
Ind.	118	117	41	23	52	21	75	83	14	19											
Ill.	356	680	192	193	94	154	-	2	-	-											
Mich.	189	300	79	57	194	142	N	N	N	N											
Wis.	142	282	32	45	17	64	N	N	5	27											
W.N. CENTRAL	542	685	261	428	169	123	103	244	15	19											
Minn.	158	162	32	59	83	63	-	177	15	17											
Iowa	108	105	21	36	N	N	N	N	N	N											
Mo.	145	250	90	48	34	26	7	4	-	1											
N. Dak.	13	9	-	7	6	-	3	-	-	1											
S. Dak.	21	28	8	130	13	5	-	1	-	-											
Nebr.	42	40	82	97	18	13	-	-	N	N											
Kans.	55	91	28	51	15	16	93	62	N	N											
S. ATLANTIC	2,309	2,329	2,514	1,651	402	297	509	442	4	2											
Del.	20	15	109	5	4	1	-	3	N	N											
Md.	232	195	200	249	140	44	-	-	-	-											
D.C.	12	26	20	19	8	4	2	29	-	1											
Va.	223	221	107	338	45	33	N	N	N	N											
W. Va.	18	26	-	2	16	7	28	26	4	1											
N.C.	321	305	273	109	36	67	N	N	U	U											
S.C.	112	118	102	20	15	25	52	98	N	N											
Ga.	510	373	849	403	46	77	157	158	N	N											
Fla.	861	1,050	854	506	92	39	270	128	N	N											
E.S. CENTRAL	522	534	343	380	80	51	64	73	-	-											
Ky.	104	84	45	54	18	6	5	8	N	N											
Tenn.	164	156	102	22	62	45	59	65	N	N											
Ala.	166	157	130	153	-	-	-	-	N	N											
Miss.	88	137	66	151	-	-	-	-	-	-											
W.S. CENTRAL	697	911	1,861	444	161	81	29	29	21	1											
Ark.	96	118	23	64	2	1	7	4	-	-											
La.	67	173	75	96	1	1	22	25	8	1											
Okla.	76	91	236	105	35	16	N	N	13	-											
Tex.	458	529	1,527	179	123	63	N	N	-	-											
MOUNTAIN	626	636	328	183	265	253	15	24	1	2											
Mont.	36	29	1	1	1	-	-	-	-	-											
Idaho	67	43	8	2	10	5	N	N	N	N											
Wyo.	12	19	1	3	-	6	3	8	-	-											
Colo.	176	172	52	40	91	54	-	-	-	-											
N. Mex.	48	87	61	45	57	53	12	16	-	-											
Ariz.	186	165	170	69	98	124	-	-	N	N											
Utah	61	46	19	12	7	11	-	-	1	2											
Nev.	40	75	16	11	1	-	-	-	-	-											
PACIFIC	1,506	1,491	784	669	247	236	1	-	-	-											
Wash.	137	102	63	28	23	-	-	-	N	N											
Oreg.	128	115	25	33	N	N	N	N	N	N											
Calif.	1,180	1,173	692	588	204	214	N	N	N	N											
Alaska	36	22	4	2	-	-	-	-	N	N											
Hawaii	25	79	-	18	20	22	1	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	47	113	1	8	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


