
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 7, 2004 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	72	130	11	37	9	15	961	2,429	21,200	30,547											
NEW ENGLAND	2	6	1	-	1	1	57	75	490	760											
Maine	-	-	-	-	-	-	12	10	17	13											
N.H.	-	-	-	-	-	-	-	4	-	11											
Vt.	-	-	-	-	-	-	5	7	4	11											
Mass.	-	3	-	-	1	1	37	53	325	271											
R.I.	-	-	-	-	-	-	3	1	98	105											
Conn.	2	3	1	-	-	-	-	-	46	349											
MID. ATLANTIC	6	12	-	-	1	2	198	273	2,689	4,191											
Upstate N.Y.	1	2	-	-	-	-	47	32	559	477											
N.Y. City	2	1	-	-	-	-	53	116	922	1,291											
N.J.	-	3	-	-	1	-	18	42	452	1,026											
Pa.	3	6	-	-	-	2	80	83	756	1,397											
E.N. CENTRAL	18	24	2	2	1	1	143	278	3,460	7,020											
Ohio	10	4	-	-	1	1	82	95	248	2,104											
Ind.	2	-	-	-	-	-	-	-	565	677											
Ill.	1	5	-	-	-	-	13	83	892	2,318											
Mich.	5	6	-	-	-	-	43	68	1,539	1,312											
Wis.	-	9	2	2	-	-	5	32	216	609											
W.N. CENTRAL	11	12	3	2	6	1	79	130	1,077	1,548											
Minn.	3	6	-	2	-	-	21	6	83	304											
Iowa	-	1	-	-	-	-	20	28	-	39											
Mo.	5	2	3	-	1	-	21	58	639	839											
N. Dak.	-	-	-	-	3	1	1	2	4	3											
S. Dak.	-	-	-	-	-	-	3	3	23	7											
Nebr.	1	3	-	-	-	-	5	15	123	72											
Kans.	2	-	-	-	2	-	8	18	205	284											
S. ATLANTIC	5	48	4	28	-	10	178	1,288	4,528	6,430											
Del.	-	-	N	N	N	N	1	5	103	147											
Md.	1	-	-	-	-	-	12	10	799	791											
D.C.	-	-	-	-	-	-	3	-	130	272											
Va.	-	1	1	-	-	-	18	11	374	644											
W. Va.	-	-	-	-	-	-	1	-	87	81											
N.C.	-	-	2	3	-	-	N	N	1,144	1,303											
S.C.	-	-	-	-	-	-	1	4	452	571											
Ga.	1	-	-	-	-	-	53	123	207	974											
Fla.	3	47	1	25	-	10	89	1,135	1,232	1,647											
E.S. CENTRAL	2	6	-	-	-	-	20	29	1,911	2,716											
Ky.	-	-	-	-	-	-	N	N	218	331											
Tenn.	-	4	-	-	-	-	11	14	709	776											
Ala.	1	2	-	-	-	-	9	15	753	901											
Miss.	1	-	-	-	-	-	-	-	231	708											
W.S. CENTRAL	-	3	-	2	-	-	19	16	4,015	4,096											
Ark.	-	1	-	-	-	-	13	13	320	388											
La.	-	-	-	-	-	-	-	-	1,478	919											
Okla.	-	-	-	-	-	-	6	3	302	269											
Tex.	-	2	-	2	-	-	-	-	1,915	2,520											
MOUNTAIN	9	4	-	2	-	-	64	118	848	1,074											
Mont.	1	-	-	-	-	-	1	2	8	10											
Idaho	1	1	-	1	-	-	17	17	3	7											
Wyo.	-	-	-	-	-	-	1	2	3	5											
Colo.	4	1	-	-	-	-	18	37	202	343											
N. Mex.	-	-	-	1	-	-	3	6	4	101											
Ariz.	1	1	N	N	N	N	-	27	616	427											
Utah	2	1	-	-	-	-	24	14	12	25											
Nev.	-	-	-	-	-	-	-	13	-	156											
PACIFIC	19	15	1	1	-	-	203	222	2,182	2,712											
Wash.	3	3	-	-	-	-	13	3	265	247											
Oreg.	3	1	1	1	-	-	30	26	87	73											
Calif.	10	11	-	-	-	-	151	173	1,789	2,242											
Alaska	-	-	-	-	-	-	4	8	40	51											
Hawaii	3	-	-	-	-	-	5	12	1	99											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	4	10	5											
V.I.	-	-	-	-	-	-	-	-	-	7											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


