
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending January 18, 2003 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	935	1,450	793	614	131	197	127	88	15	4											
NEW ENGLAND	29	61	3	12	4	13	1	-	-	1											
Maine	1	5	-	-	-	2	-	-	-	-											
N.H.	2	2	-	-	1	N	-	-	N	N											
Vt.	1	4	-	-	1	1	1	-	-	1											
Mass.	21	43	3	11	2	9	N	N	N	N											
R.I.	-	2	-	-	-	-	-	-	-	-											
Conn.	4	5	-	1	-	-	-	-	-	-											
MID. ATLANTIC	88	170	47	41	13	34	1	2	2	-											
Upstate N.Y.	10	7	6	2	4	9	1	2	2	-											
N.Y. City	70	78	33	27	7	17	U	U	U	U											
N.J.	1	49	-	3	-	6	N	N	N	N											
Pa.	7	36	8	9	2	2	-	-	-	-											
E.N. CENTRAL	113	199	32	129	33	41	23	1	11	3											
Ohio	79	39	13	57	18	10	23	-	11	-											
Ind.	3	4	1	3	-	1	-	1	-	-											
Ill.	7	81	2	51	-	16	-	-	-	-											
Mich.	23	42	15	12	15	14	-	-	N	N											
Wis.	1	33	1	6	-	-	N	N	-	3											
W.N. CENTRAL	61	87	24	101	8	8	16	17	1	-											
Minn.	14	9	1	13	-	-	-	-	1	-											
Iowa	14	14	-	9	-	-	N	N	N	N											
Mo.	22	47	18	12	3	2	-	1	-	-											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	4	3	2	45	2	-	-	-	-	-											
Nebr.	-	3	-	14	-	4	-	3	N	N											
Kans.	7	11	3	8	3	2	16	13	N	N											
S. ATLANTIC	459	429	581	122	32	47	83	59	-	-											
Del.	1	1	19	2	1	-	-	-	N	N											
Md.	33	36	57	18	6	N	N	N	N	N											
D.C.	-	6	-	3	-	2	-	3	-	-											
Va.	7	-	5	-	-	-	N	N	N	N											
W. Va.	-	-	-	-	-	-	-	-	-	-											
N.C.	67	53	51	14	2	6	N	N	U	U											
S.C.	3	7	2	-	1	-	7	9	N	N											
Ga.	185	124	244	22	7	26	28	34	N	N											
Fla.	163	202	203	63	15	8	48	13	N	N											
E.S. CENTRAL	69	79	38	43	2	2	2	4	-	-											
Ky.	4	3	2	7	-	1	-	-	N	N											
Tenn.	10	12	5	-	2	1	2	4	N	N											
Ala.	42	37	26	20	-	-	-	-	N	N											
Miss.	13	27	5	16	-	-	-	-	-	-											
W.S. CENTRAL	13	95	15	46	1	16	-	1	1	-											
Ark.	7	12	1	6	-	-	-	1	-	-											
La.	4	3	1	5	-	-	-	-	-	-											
Okla.	2	12	13	1	1	2	N	N	1	-											
Tex.	-	68	-	34	-	14	N	N	-	-											
MOUNTAIN	62	65	35	18	35	14	1	4	-	-											
Mont.	2	2	-	-	-	-	-	-	-	-											
Idaho	7	5	-	-	2	-	N	N	N	N											
Wyo.	1	2	1	-	-	1	-	2	-	-											
Colo.	23	31	8	7	10	6	-	-	-	-											
N. Mex.	3	5	2	2	5	7	1	2	-	-											
Ariz.	15	-	20	-	17	-	-	-	N	N											
Utah	4	5	2	5	1	-	-	-	-	-											
Nev.	7	15	2	4	-	-	-	-	-	-											
PACIFIC	41	265	18	102	3	22	-	-	-	-											
Wash.	1	1	-	-	-	-	-	-	N	N											
Oreg.	7	21	3	8	N	N	N	N	N	N											
Calif.	24	229	13	91	3	17	N	N	N	N											
Alaska	6	6	-	1	-	-	-	-	N	N											
Hawaii	3	8	2	2	-	5	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	4	-	1	N	N	-	-	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


