
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 27, 1996 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	1	20	5	29	53	17	45	188	2	11	6										
NEW ENGLAND	-	2	-	-	-	4	7	10	2	2	-										
Maine	-	-	-	-	-	1	1	5	-	-	-										
N.H.	-	-	-	-	-	1	1	-	-	-	-										
Vt.	-	-	-	-	-	-	1	2	-	-	-										
Mass.	-	-	-	-	-	2	4	3	-	-	-										
R.I.	-	2	-	-	-	-	-	-	-	-	-										
Conn.	-	-	-	-	-	-	-	-	2	2	-										
MID. ATLANTIC	-	-	1	1	2	3	3	8	-	-	-										
Upstate N.Y.	-	-	1	1	2	3	3	3	-	-	-										
N.Y. City	-	-	-	-	-	-	-	3	-	-	-										
N.J.	-	-	-	-	-	-	-	2	-	-	-										
Pa.	-	-	-	-	-	-	-	-	-	-	-										
E.N. CENTRAL	-	-	2	11	12	-	4	17	-	-	-										
Ohio	-	-	-	5	7	-	-	14	-	-	-										
Ind.	-	-	-	-	-	-	-	-	-	-	-										
Ill.	-	-	-	-	-	-	-	-	-	-	-										
Mich.	-	-	2	6	5	-	4	2	-	-	-										
Wis.	-	-	-	-	-	-	-	1	-	-	-										
W.N. CENTRAL	-	-	2	2	7	-	-	9	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	-	-	-	-	1	-	-	1	-	-	-										
Mo.	-	-	-	-	6	-	-	3	-	-	-										
N. Dak.	-	-	2	2	-	-	-	-	-	-	-										
S. Dak.	-	-	-	-	-	-	-	-	-	-	-										
Nebr.	-	-	-	-	-	-	-	-	-	-	-										
Kans.	-	-	-	-	-	-	-	5	-	-	-										
S. ATLANTIC	-	-	-	1	6	4	6	32	-	-	-										
Del.	-	-	-	-	-	-	-	1	-	-	-										
Md.	-	-	-	-	1	4	4	-	-	-	-										
D.C.	-	-	-	-	-	-	-	1	-	-	-										
Va.	-	-	-	-	2	-	-	-	-	-	-										
W. Va.	-	-	-	-	-	-	-	-	-	-	-										
N.C.	-	-	-	-	3	-	-	30	-	-	-										
S.C.	-	-	-	1	-	-	1	-	-	-	-										
Ga.	-	-	-	-	-	-	1	-	-	-	-										
Fla.	-	-	-	-	-	-	-	-	-	-	-										
E.S. CENTRAL	-	-	-	1	3	-	1	1	-	-	-										
Ky.	-	-	-	-	-	-	-	-	-	-	-										
Tenn.	-	-	-	-	-	-	-	-	-	-	-										
Ala.	-	-	-	1	2	-	1	1	-	-	-										
Miss.	-	-	-	-	1	-	-	-	N	N	N										
W.S. CENTRAL	-	-	-	1	1	-	1	-	-	-	-										
Ark.	-	-	-	-	1	-	1	-	-	-	-										
La.	-	-	-	1	-	-	-	-	-	-	-										
Okla.	-	-	-	-	-	-	-	-	-	-	-										
Tex.	-	-	-	-	-	-	-	-	-	-	-										
MOUNTAIN	-	18	-	6	2	3	10	92	-	-	-										
Mont.	-	-	-	-	-	-	-	1	-	-	-										
Idaho	-	-	-	-	-	-	-	32	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	15	-	-	-	-	-	14	-	-	-										
N. Mex.	-	3	N	N	N	3	7	3	-	-	-										
Ariz.	-	-	-	-	-	-	-	42	-	-	-										
Utah	-	-	-	-	1	-	-	-	-	-	-										
Nev.	-	-	U	6	1	U	3	-	U	-	-										
PACIFIC	1	-	-	6	20	3	13	19	-	9	6										
Wash.	-	-	-	-	1	1	1	-	-	-	-										
Oreg.	-	-	N	N	N	2	12	-	-	-	-										
Calif.	-	-	-	4	19	-	-	17	-	9	6										
Alaska	-	-	-	-	-	-	-	-	-	-	-										
Hawaii	1	-	-	2	-	-	-	2	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


