
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 30, 1999 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	113	262	2	13	20	42	168	267	-	3	12										
NEW ENGLAND	10	17	1	1	-	1	46	55	-	-	-										
Maine	2	1	-	-	-	-	-	1	-	-	-										
N.H.	-	1	1	1	-	1	1	5	-	-	-										
Vt.	1	1	-	-	-	-	5	12	-	-	-										
Mass.	7	7	-	-	-	-	40	37	-	-	-										
R.I.	-	1	-	-	-	-	-	-	-	-	-										
Conn.	-	6	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	9	27	-	-	1	1	4	16	-	-	9										
Upstate N.Y.	3	2	-	-	1	1	4	14	-	-	8										
N.Y. City	-	6	-	-	-	-	-	-	-	-	-										
N.J.	5	12	U	-	-	U	-	2	U	-	1										
Pa.	1	7	-	-	-	-	-	-	-	-	-										
E.N. CENTRAL	12	41	-	-	2	6	36	41	-	-	-										
Ohio	10	19	-	-	1	6	36	16	-	-	-										
Ind.	-	5	-	-	-	-	-	-	-	-	-										
Ill.	2	10	-	-	-	-	-	-	-	-	-										
Mich.	-	3	-	-	1	-	-	8	-	-	-										
Wis.	-	4	-	-	-	-	-	17	-	-	-										
W.N. CENTRAL	6	18	-	1	-	1	2	11	-	-	-										
Minn.	-	-	-	-	-	-	-	2	-	-	-										
Iowa	2	1	-	1	-	-	1	4	-	-	-										
Mo.	-	9	U	-	-	U	-	-	U	-	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	3	1	-	-	-	1	1	-	-	-	-										
Nebr.	-	1	-	-	-	-	-	2	-	-	-										
Kans.	1	6	U	-	-	U	-	3	U	-	-										
S. ATLANTIC	21	37	1	3	5	4	16	26	-	3	1										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	6	7	-	-	-	2	7	5	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	1	4	-	-	-	1	1	-	-	-	-										
W. Va.	-	2	-	-	-	-	-	-	-	-	-										
N.C.	3	3	-	1	3	-	7	21	-	3	1										
S.C.	2	5	1	1	2	1	1	-	-	-	-										
Ga.	-	16	U	-	-	U	-	-	U	-	-										
Fla.	9	-	-	1	-	-	-	-	-	-	-										
E.S. CENTRAL	13	26	-	-	-	2	6	9	-	-	-										
Ky.	-	7	U	-	-	U	-	-	U	-	-										
Tenn.	6	7	-	-	-	2	3	2	-	-	-										
Ala.	7	10	-	-	-	-	3	7	-	-	-										
Miss.	-	2	-	-	-	-	-	-	-	-	-										
W.S. CENTRAL	2	14	-	2	3	6	7	2	-	-	1										
Ark.	-	2	-	-	-	2	2	-	-	-	-										
La.	2	4	-	-	-	-	-	-	-	-	-										
Okla.	-	8	-	-	-	-	-	-	-	-	-										
Tex.	-	-	-	2	3	4	5	2	-	-	1										
MOUNTAIN	10	22	-	-	2	20	47	73	-	-	-										
Mont.	-	1	-	-	-	-	-	1	-	-	-										
Idaho	1	1	-	-	-	17	31	29	-	-	-										
Wyo.	-	1	U	-	-	U	-	-	U	-	-										
Colo.	2	8	-	-	-	-	2	10	-	-	-										
N. Mex.	2	2	N	N	N	2	5	30	-	-	-										
Ariz.	3	7	-	-	1	-	1	-	-	-	-										
Utah	2	1	-	-	-	1	8	2	-	-	-										
Nev.	-	1	U	-	1	U	-	1	U	-	-										
PACIFIC	30	60	-	6	7	1	4	34	-	-	1										
Wash.	3	6	-	-	-	-	2	2	-	-	-										
Oreg.	3	20	N	N	N	1	2	7	-	-	-										
Calif.	21	34	-	5	2	-	-	25	-	-	1										
Alaska	2	-	-	-	2	-	-	-	-	-	-										
Hawaii	1	-	-	1	3	-	-	-	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


