
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 21, 1998 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	379	547	10	40	52	35	405	608	3	17	6										
NEW ENGLAND	30	34	-	-	2	4	82	212	-	-	-										
Maine	3	3	-	-	-	-	4	4	-	-	-										
N.H.	1	3	-	-	-	1	6	26	-	-	-										
Vt.	1	-	-	-	-	1	15	75	-	-	-										
Mass.	12	23	-	-	-	2	57	100	-	-	-										
R.I.	3	1	-	-	1	-	-	7	-	-	-										
Conn.	10	4	-	-	1	-	-	-	-	-	-										
MID. ATLANTIC	31	48	-	1	7	1	27	35	2	12	2										
Upstate N.Y.	12	6	-	1	-	1	27	17	2	12	-										
N.Y. City	4	9	-	-	1	-	-	8	-	-	2										
N.J.	15	8	-	-	2	-	-	3	-	-	-										
Pa.	-	25	-	-	4	-	-	7	-	-	-										
E.N. CENTRAL	51	79	1	5	8	6	42	71	-	-	3										
Ohio	31	31	-	3	3	5	28	34	-	-	-										
Ind.	8	9	-	-	2	-	2	-	-	-	-										
Ill.	-	25	-	-	1	-	-	8	-	-	-										
Mich.	8	5	1	2	2	1	8	17	-	-	-										
Wis.	4	9	-	-	-	-	4	12	-	-	3										
W.N. CENTRAL	33	47	-	-	2	1	25	22	-	-	-										
Minn.	-	2	U	-	-	U	18	10	U	-	-										
Iowa	6	10	-	-	2	1	5	5	-	-	-										
Mo.	15	24	-	-	-	-	-	-	-	-	-										
N. Dak.	-	-	-	-	-	-	-	1	-	-	-										
S. Dak.	4	3	-	-	-	-	-	1	-	-	-										
Nebr.	1	3	-	-	-	-	2	2	-	-	-										
Kans.	7	5	-	-	-	-	-	3	-	-	-										
S. ATLANTIC	76	100	3	12	2	9	44	39	-	1	-										
Del.	-	2	-	-	-	-	-	-	-	-	-										
Md.	11	10	-	2	-	1	7	30	-	-	-										
D.C.	-	2	-	-	-	-	-	2	-	-	-										
Va.	8	6	1	1	1	-	-	2	-	-	-										
W. Va.	2	3	U	-	-	U	-	1	U	-	-										
N.C.	14	20	-	4	-	-	23	-	-	1	-										
S.C.	5	22	-	2	-	5	5	3	-	-	-										
Ga.	21	18	-	-	-	-	-	-	-	-	-										
Fla.	15	17	2	3	1	3	9	1	-	-	-										
E.S. CENTRAL	16	52	-	-	6	-	11	17	-	-	-										
Ky.	-	11	-	-	-	-	-	4	-	-	-										
Tenn.	16	18	-	-	2	-	3	3	-	-	-										
Ala.	-	18	-	-	2	-	8	6	-	-	-										
Miss.	-	5	-	-	2	-	-	4	-	-	-										
W.S. CENTRAL	23	20	2	8	3	2	14	8	-	1	-										
Ark.	3	7	-	-	-	1	7	2	-	-	-										
La.	7	2	-	-	-	-	-	-	-	-	-										
Okla.	13	4	-	-	-	-	-	-	-	-	-										
Tex.	-	7	2	8	3	1	7	6	-	1	-										
MOUNTAIN	27	33	2	4	4	8	141	125	1	3	-										
Mont.	1	1	-	-	-	-	1	-	-	-	-										
Idaho	-	3	-	-	-	4	82	78	-	-	-										
Wyo.	1	-	1	1	-	-	-	3	-	-	-										
Colo.	11	2	-	-	1	-	12	32	-	-	-										
N. Mex.	4	8	N	N	N	1	37	7	-	-	-										
Ariz.	8	11	-	1	-	3	3	4	-	-	-										
Utah	1	3	-	-	1	-	4	-	-	2	-										
Nev.	1	5	1	2	2	-	2	1	1	1	-										
PACIFIC	92	134	2	10	18	4	19	79	-	-	1										
Wash.	12	10	-	-	2	4	11	13	-	-	-										
Oreg.	28	36	N	N	N	-	8	4	-	-	-										
Calif.	51	87	2	4	12	-	-	59	-	-	1										
Alaska	1	-	-	2	-	-	-	1	-	-	-										
Hawaii	-	1	-	4	4	-	-	2	-	-	-										
Guam	-	-	U	-	1	U	-	-	U	-	-										
P.R.	-	2	-	-	2	-	-	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


