
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending December 14, 2002 (WEEK 50)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	957	587	13	21	3	3	39,660	38,434													
NEW ENGLAND	9	3	-	-	-	-	2,105	2,265													
Maine	-	-	-	-	-	-	144	163													
N.H.	-	1	-	-	-	-	137	161													
Vt.	-	-	-	-	-	-	73	80													
Mass.	5	2	-	-	-	-	1,150	1,299													
R.I.	4	-	-	-	-	-	163	139													
Conn.	-	-	-	-	-	-	438	423													
MID. ATLANTIC	40	32	1	8	-	-	4,992	5,055													
Upstate N.Y.	9	2	1	1	-	-	1,510	1,194													
N.Y. City	9	2	-	6	-	-	1,408	1,284													
N.J.	2	9	-	1	-	-	712	1,151													
Pa.	20	19	-	-	-	-	1,362	1,426													
E.N. CENTRAL	19	16	1	2	-	1	5,130	4,822													
Ohio	13	2	-	-	-	1	1,371	1,304													
Ind.	3	1	-	-	-	-	495	505													
Ill.	-	12	-	2	-	-	1,556	1,349													
Mich.	3	1	1	-	-	-	851	853													
Wis.	-	-	-	-	-	-	857	811													
W.N. CENTRAL	99	68	-	3	-	-	2,566	2,223													
Minn.	-	-	-	-	-	-	577	618													
Iowa	3	2	-	1	-	-	513	328													
Mo.	91	62	-	1	-	-	846	611													
N. Dak.	-	1	-	-	-	-	43	59													
S. Dak.	1	2	-	-	-	-	105	146													
Nebr.	4	1	-	-	-	-	150	153													
Kans.	-	-	-	1	-	-	332	308													
S. ATLANTIC	495	299	6	5	-	1	10,871	9,193													
Del.	4	12	1	-	-	-	94	93													
Md.	57	39	-	1	-	-	920	788													
D.C.	2	1	-	-	-	-	76	81													
Va.	42	29	-	-	-	1	1,214	1,262													
W. Va.	2	-	-	-	-	-	149	139													
N.C.	285	174	-	-	-	-	1,509	1,347													
S.C.	69	31	-	2	-	-	795	862													
Ga.	19	9	-	-	-	-	1,671	1,671													
Fla.	15	4	5	2	-	-	4,443	2,950													
E.S. CENTRAL	110	115	-	-	1	-	3,168	2,647													
Ky.	5	2	-	-	-	-	387	368													
Tenn.	81	79	-	-	1	-	797	641													
Ala.	20	18	-	-	-	-	861	738													
Miss.	4	16	-	-	-	-	1,123	900													
W.S. CENTRAL	163	42	1	1	1	-	3,496	4,925													
Ark.	97	9	-	-	-	-	1,037	898													
La.	-	2	-	-	1	-	770	815													
Okla.	61	31	-	-	-	-	492	471													
Tex.	5	-	1	1	-	-	1,197	2,741													
MOUNTAIN	14	11	1	-	-	-	2,182	2,146													
Mont.	1	1	-	-	-	-	89	73													
Idaho	-	1	-	-	-	-	159	136													
Wyo.	5	2	-	-	-	-	105	61													
Colo.	2	2	-	-	-	-	591	578													
N. Mex.	1	1	-	-	-	-	314	273													
Ariz.	-	-	-	-	-	-	545	619													
Utah	-	3	1	-	-	-	196	215													
Nev.	5	1	-	-	-	-	183	191													
PACIFIC	8	1	3	2	1	1	5,150	5,158													
Wash.	-	-	-	-	-	-	493	532													
Oreg.	3	1	-	-	-	-	342	270													
Calif.	5	-	3	1	-	-	3,967	3,960													
Alaska	-	-	-	-	-	-	77	48													
Hawaii	-	-	-	1	1	1	271	348													
Guam	-	-	-	-	-	-	-	24													
P.R.	-	-	-	3	-	-	201	892													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	25	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


