
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending August 3, 2002 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	24	7	8,133	183,766	206,398	973	939	15	17												
NEW ENGLAND	-	1	855	4,293	3,509	69	64	-	1												
Maine	-	-	96	70	84	1	1	-	-												
N.H.	-	-	27	68	96	6	-	-	-												
Vt.	-	1	71	56	43	5	3	-	-												
Mass.	-	-	426	1,917	1,503	34	35	-	1												
R.I.	-	-	77	509	422	10	2	-	-												
Conn.	-	-	158	1,673	1,361	13	23	-	-												
MID. ATLANTIC	-	-	1,773	19,883	23,840	168	132	3	3												
Upstate N.Y.	-	-	626	4,942	4,753	75	41	2	-												
N.Y. City	-	-	690	6,926	7,453	38	34	-	-												
N.J.	-	-	148	2,982	4,281	36	31	-	-												
Pa.	-	-	309	5,033	7,353	19	26	1	3												
E.N. CENTRAL	10	2	1,504	36,623	42,663	156	176	2	2												
Ohio	9	2	471	10,504	11,672	62	49	-	1												
Ind.	-	-	-	4,158	3,859	32	34	1	-												
Ill.	-	-	355	10,225	13,601	45	59	-	-												
Mich.	1	-	434	8,361	10,117	10	10	1	-												
Wis.	-	-	244	3,375	3,414	7	24	-	1												
W.N. CENTRAL	-	2	980	9,532	9,567	41	43	1	1												
Minn.	-	-	359	1,610	1,477	27	24	1	-												
Iowa	-	-	144	619	708	1	-	-	-												
Mo.	N	N	267	4,873	4,928	9	13	-	-												
N. Dak.	-	2	11	28	22	-	4	-	-												
S. Dak.	-	-	38	147	146	-	-	-	-												
Nebr.	-	-	74	652	722	-	1	-	1												
Kans.	-	-	87	1,603	1,564	4	1	-	-												
S. ATLANTIC	-	-	1,405	48,122	54,089	242	228	2	1												
Del.	-	-	28	939	959	-	-	-	-												
Md.	-	-	59	4,835	5,163	58	59	1	-												
D.C.	-	-	23	1,590	1,727	-	-	-	-												
Va.	-	-	121	5,497	6,617	20	18	-	-												
W. Va.	-	-	27	558	364	8	9	-	1												
N.C.	-	-	-	9,799	10,314	23	32	-	-												
S.C.	-	-	45	4,424	6,841	12	4	-	-												
Ga.	-	-	511	8,603	9,942	71	61	-	-												
Fla.	-	-	591	11,877	12,162	50	45	1	-												
E.S. CENTRAL	4	1	192	16,806	18,957	42	56	1	-												
Ky.	4	1	-	2,052	2,028	4	2	-	-												
Tenn.	-	-	88	5,439	5,871	21	27	-	-												
Ala.	-	-	104	5,539	6,356	12	25	1	-												
Miss.	-	-	-	3,776	4,702	5	2	-	-												
W.S. CENTRAL	-	-	101	27,734	31,231	36	37	2	1												
Ark.	-	-	74	2,205	2,870	1	-	-	-												
La.	-	-	2	6,896	7,421	2	6	-	-												
Okla.	-	-	25	2,665	2,974	31	30	-	-												
Tex.	-	-	-	15,968	17,966	2	1	2	1												
MOUNTAIN	10	1	784	5,683	6,082	126	100	2	4												
Mont.	-	-	40	56	76	-	-	-	-												
Idaho	-	-	60	48	42	2	1	-	-												
Wyo.	-	-	15	35	36	1	1	-	-												
Colo.	10	1	254	1,976	1,866	26	28	-	-												
N. Mex.	-	-	91	623	556	19	15	-	1												
Ariz.	-	-	109	2,133	2,394	59	40	1	1												
Utah	-	-	140	122	88	14	5	-	-												
Nev.	-	-	75	690	1,024	5	10	1	2												
PACIFIC	-	-	539	15,090	16,460	93	103	2	4												
Wash.	-	-	193	1,623	1,785	2	2	1	-												
Oreg.	-	-	237	483	682	44	31	-	-												
Calif.	-	-	-	12,253	13,392	19	45	1	4												
Alaska	-	-	53	360	229	1	4	-	-												
Hawaii	-	-	56	371	372	27	21	-	-												
Guam	-	-	-	-	29	-	-	-	-												
P.R.	-	-	11	243	362	1	1	-	-												
V.I.	-	-	-	25	17	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	12	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


