
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending November 10, 2007 (WEEK 45)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	44	98	261	4,257	4,592	22	29	108	1,327	1,139											
NEW ENGLAND	1	5	28	345	311	-	2	11	108	103											
Conn.	1	0	23	112	81	-	0	6	15	30											
Maine	-	0	3	23	17	-	0	1	2	-											
Mass.	-	3	12	155	158	-	2	6	72	61											
N.H.	-	0	4	33	35	-	0	2	9	8											
R.I.	-	0	12	6	7	-	0	2	8	4											
Vt.	-	0	2	16	13	-	0	1	2	-											
MID. ATLANTIC	8	17	41	782	827	-	4	37	230	163											
N.J.	-	3	10	113	134	-	1	4	31	55											
N.Y. (Upstate)	5	5	27	258	264	-	3	15	94	81											
N.Y. City	-	4	13	181	148	-	1	35	105	27											
Pa.	3	5	11	230	281	N	0	0	N	N											
E.N. CENTRAL	4	16	33	704	869	2	4	14	182	303											
Ill.	-	5	13	195	266	-	1	6	36	81											
Ind.	1	2	12	106	104	-	0	10	18	47											
Mich.	2	4	10	172	180	1	1	4	61	67											
Ohio	-	4	14	200	215	1	1	7	55	65											
Wis.	1	0	6	31	104	-	0	2	12	43											
W.N. CENTRAL	-	5	32	288	312	3	2	8	105	98											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	30	50	-	0	1	3	11											
Minn.	-	0	29	144	143	2	1	6	70	61											
Mo.	-	2	6	68	69	-	0	2	19	13											
Nebr.	-	0	3	23	28	1	0	1	12	10											
N. Dak.	-	0	2	13	12	-	0	2	1	3											
S. Dak.	-	0	2	10	10	-	0	0	-	-											
S. ATLANTIC	21	21	52	1,096	1,039	3	5	14	238	73											
Del.	-	0	1	10	10	-	0	0	-	-											
D.C.	-	0	3	8	15	-	0	1	-	1											
Fla.	7	6	16	276	263	2	1	5	60	-											
Ga.	3	5	13	220	223	-	0	5	44	-											
Md.	5	4	10	189	189	1	1	6	54	60											
N.C.	5	1	22	150	145	-	0	0	-	-											
S.C.	-	1	7	84	56	-	1	4	42	-											
Va.	1	2	11	134	113	-	0	4	31	-											
W. Va.	-	0	3	25	25	-	0	4	7	12											
E.S. CENTRAL	3	4	13	189	186	3	1	6	81	17											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	35	41	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	3	17											
Tenn.	3	3	13	154	145	3	1	6	78	-											
W.S. CENTRAL	3	6	90	268	349	9	4	43	196	186											
Ark.	-	0	2	17	24	-	0	2	10	20											
La.	-	0	4	16	16	-	0	4	27	20											
Okla.	1	1	23	64	92	3	1	13	48	47											
Tex.	2	3	64	171	217	6	2	27	111	99											
MOUNTAIN	3	10	23	464	590	2	4	12	159	174											
Ariz.	-	4	11	180	304	-	2	7	92	95											
Colo.	3	3	9	131	106	2	0	4	38	47											
Idaho	-	0	2	16	8	-	0	1	2	3											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	-	-	0	1	1	2											
N. Mex.	-	1	4	50	112	-	0	4	19	27											
Utah	-	2	7	80	56	-	0	2	7	-											
Wyo.	-	0	1	5	4	-	0	0	-	-											
PACIFIC	1	3	9	121	109	-	0	4	28	22											
Alaska	1	0	3	32	N	-	0	2	26	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	89	109	-	0	2	2	22											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


