
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending March 18, 2006 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2006
Lyme disease cummulative for 2005
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2006
Malaria cummulative for 2005

tab delimited data:
test
UNITED STATES	103	300	1,337	817	1,396	3	25	48	188	236											
NEW ENGLAND	1	50	232	49	116	-	1	12	7	7											
Conn.	-	9	154	29	3	-	0	10	1	-											
Maine	-	2	26	6	7	-	0	1	-	-											
Mass.	-	18	164	-	92	-	0	4	5	5											
N.H.	1	3	17	13	12	-	0	1	-	2											
R.I.	-	0	12	-	1	-	0	1	-	-											
Vt.	-	0	5	1	1	-	0	2	1	-											
MID. ATLANTIC	65	180	915	495	906	1	6	15	37	58											
N.J.	2	27	309	79	309	-	1	7	-	12											
N.Y. (Upstate)	59	53	824	224	148	1	1	10	7	8											
N.Y. City	-	0	0	-	-	-	3	8	23	32											
Pa.	4	61	464	192	449	-	1	2	7	6											
E.N. CENTRAL	-	14	157	22	62	-	2	6	25	20											
Ill.	-	0	6	-	1	-	1	2	6	7											
Ind.	-	0	4	-	2	-	0	3	5	-											
Mich.	-	1	7	4	1	-	0	2	4	7											
Ohio	-	1	5	1	13	-	0	3	7	3											
Wis.	-	10	148	17	45	-	0	3	3	3											
W.N. CENTRAL	6	12	99	24	34	-	1	5	5	8											
Iowa	-	1	8	-	4	-	0	1	1	2											
Kans.	-	0	3	1	2	-	0	1	-	1											
Minn.	6	8	96	21	28	-	0	3	2	1											
Mo.	-	0	2	1	-	-	0	3	1	4											
Nebr.	-	0	2	1	-	-	0	2	-	-											
N. Dak.	-	0	0	-	-	-	0	0	-	-											
S. Dak.	-	0	1	-	-	-	0	1	1	-											
S. ATLANTIC	14	34	124	163	249	2	6	15	62	52											
Del.	2	9	37	53	90	-	0	1	-	1											
D.C.	-	0	2	5	1	-	0	2	-	1											
Fla.	1	1	8	10	9	1	1	6	7	10											
Ga.	-	0	1	-	1	-	1	6	16	8											
Md.	10	16	86	86	122	1	1	9	19	17											
N.C.	-	0	5	7	11	-	0	8	8	7											
S.C.	1	0	3	2	5	-	0	2	2	1											
Va.	-	3	21	-	10	-	0	9	10	6											
W. Va.	-	0	6	-	-	-	0	2	-	1											
E.S. CENTRAL	-	0	4	-	3	-	1	2	4	6											
Ala.	-	0	1	-	-	-	0	1	1	1											
Ky.	-	0	1	-	-	-	0	2	1	2											
Miss.	-	0	0	-	-	-	0	0	-	-											
Tenn.	-	0	4	-	3	-	0	2	2	3											
W.S. CENTRAL	-	1	7	-	11	-	1	10	4	22											
Ark.	-	0	2	-	-	-	0	2	-	1											
La.	-	0	1	-	1	-	0	1	-	1											
Okla.	-	0	0	-	-	-	0	6	1	2											
Tex.	-	1	7	-	10	-	1	10	3	18											
MOUNTAIN	-	0	4	1	-	-	1	6	10	12											
Ariz.	-	0	4	1	-	-	0	4	1	2											
Colo.	-	0	1	-	-	-	0	3	4	6											
Idaho	-	0	1	-	-	-	0	0	-	-											
Mont.	-	0	0	-	-	-	0	0	-	-											
Nev.	-	0	2	-	-	-	0	2	-	-											
N. Mex.	-	0	1	-	-	-	0	1	-	1											
Utah	-	0	1	-	-	-	0	2	5	2											
Wyo.	-	0	1	-	-	-	0	1	-	1											
PACIFIC	17	4	12	63	15	-	4	12	34	51											
Alaska	-	0	1	-	1	-	0	1	1	2											
Calif.	17	2	12	63	13	-	3	9	27	44											
Hawaii	N	0	0	N	N	-	0	4	-	3											
Oreg.	-	0	3	-	1	-	0	2	2	2											
Wash.	-	0	3	-	-	-	0	5	4	-											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	-	0	1	-	-											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


