
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 28, 2004 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	128	180	19	43	14	19	1,894	3,226	38,166	50,479											
NEW ENGLAND	4	9	2	1	2	2	166	134	944	1,131											
Maine	-	-	-	-	-	-	15	16	36	18											
N.H.	1	2	-	1	-	-	5	13	17	18											
Vt.	-	-	-	-	-	-	11	13	6	16											
Mass.	-	3	1	-	2	2	72	83	534	443											
R.I.	-	-	-	-	-	-	9	9	160	144											
Conn.	3	4	1	-	-	-	54	-	191	492											
MID. ATLANTIC	10	15	1	1	3	2	381	465	5,418	7,546											
Upstate N.Y.	3	3	1	-	1	-	113	82	1,000	833											
N.Y. City	3	1	-	-	-	-	114	193	1,603	2,034											
N.J.	-	3	-	-	1	-	22	65	614	1,506											
Pa.	4	8	-	1	1	2	132	125	2,201	3,173											
E.N. CENTRAL	27	39	4	4	1	2	258	401	6,464	11,037											
Ohio	12	10	-	1	1	2	121	122	876	3,371											
Ind.	3	3	-	-	-	-	-	-	956	1,057											
Ill.	2	6	-	-	-	-	36	120	1,774	3,477											
Mich.	6	6	-	-	-	-	74	99	2,379	2,180											
Wis.	4	14	4	3	-	-	27	60	479	952											
W.N. CENTRAL	15	20	4	3	6	2	167	227	2,119	2,418											
Minn.	6	9	-	3	-	-	53	48	342	447											
Iowa	-	1	-	-	-	-	30	33	-	52											
Mo.	5	3	4	-	1	-	58	85	1,154	1,324											
N. Dak.	-	1	-	-	3	1	2	5	13	4											
S. Dak.	-	2	-	-	-	-	4	7	29	18											
Nebr.	1	3	-	-	-	-	7	27	151	170											
Kans.	3	1	-	-	2	1	13	22	430	403											
S. ATLANTIC	9	53	5	28	1	10	303	1,333	8,345	11,395											
Del.	-	-	N	N	N	N	7	8	173	217											
Md.	2	-	-	-	-	-	13	17	1,260	1,195											
D.C.	-	-	-	-	-	-	6	-	263	354											
Va.	-	2	1	-	-	-	43	17	472	1,111											
W. Va.	-	-	-	-	-	-	1	-	128	117											
N.C.	-	-	3	3	-	-	N	N	2,325	2,189											
S.C.	-	-	-	-	-	-	1	9	1,204	1,152											
Ga.	3	4	-	-	-	-	80	147	374	2,272											
Fla.	4	47	1	25	1	10	152	1,135	2,146	2,788											
E.S. CENTRAL	5	7	1	-	-	-	29	43	3,598	4,292											
Ky.	1	1	1	-	-	-	N	N	414	587											
Tenn.	2	4	-	-	-	-	16	18	1,105	1,235											
Ala.	1	2	-	-	-	-	13	25	1,200	1,442											
Miss.	1	-	-	-	-	-	-	-	879	1,028											
W.S. CENTRAL	3	4	-	2	-	1	41	27	5,619	6,624											
Ark.	-	1	-	-	-	-	22	19	532	571											
La.	-	-	-	-	-	-	4	-	1,901	1,696											
Okla.	3	-	-	-	-	-	15	8	497	426											
Tex.	-	3	-	2	-	1	-	-	2,689	3,931											
MOUNTAIN	31	15	1	3	1	-	233	200	1,611	1,754											
Mont.	1	-	-	-	-	-	5	3	8	20											
Idaho	2	4	-	2	-	-	30	27	10	12											
Wyo.	-	-	-	-	-	-	1	3	7	9											
Colo.	15	4	1	-	1	-	77	55	310	510											
N. Mex.	-	-	-	1	-	-	5	9	112	201											
Ariz.	8	5	N	N	N	N	63	44	787	683											
Utah	2	2	-	-	-	-	40	42	39	36											
Nev.	3	-	-	-	-	-	12	17	338	283											
PACIFIC	24	18	1	1	-	-	316	396	4,048	4,282											
Wash.	4	5	-	-	-	-	26	19	451	419											
Oreg.	4	1	1	1	-	-	55	52	138	135											
Calif.	12	12	-	-	-	-	220	299	3,378	3,491											
Alaska	-	-	-	-	-	-	6	11	80	83											
Hawaii	4	-	-	-	-	-	9	15	1	154											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	9	10	10											
V.I.	-	-	-	-	-	-	-	-	-	11											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


