
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 15, 1999 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	985	1,213	6	135	343	87	1,869	1,624	4	27	220										
NEW ENGLAND	44	59	-	1	-	-	145	304	-	3	34										
Maine	3	4	-	-	-	-	-	5	-	-	-										
N.H.	-	1	U	1	-	U	30	21	U	-	-										
Vt.	3	1	-	-	-	-	10	27	-	-	-										
Mass.	30	27	U	-	-	U	97	245	U	3	7										
R.I.	2	3	-	-	-	-	3	-	-	-	-										
Conn.	6	23	U	-	-	U	5	6	U	-	27										
MID. ATLANTIC	84	125	2	18	161	44	467	204	3	6	99										
Upstate N.Y.	23	30	1	3	3	43	418	99	1	3	89										
N.Y. City	19	14	-	3	153	-	10	11	-	-	6										
N.J.	17	34	-	-	2	-	-	8	-	-	4										
Pa.	25	47	1	12	3	1	39	86	2	3	-										
E.N. CENTRAL	142	180	-	15	36	-	137	174	-	-	-										
Ohio	72	61	-	6	15	-	94	59	-	-	-										
Ind.	7	26	-	-	2	-	2	45	-	-	-										
Ill.	43	54	-	3	6	-	23	12	-	-	-										
Mich.	20	20	-	6	13	-	18	20	-	-	-										
Wis.	-	19	-	-	-	-	-	38	-	-	-										
W.N. CENTRAL	116	101	1	5	19	18	43	129	-	2	9										
Minn.	26	16	1	1	10	18	18	76	-	-	-										
Iowa	28	14	-	3	6	-	12	29	-	2	-										
Mo.	39	43	-	1	2	-	10	9	-	-	1										
N. Dak.	3	-	-	-	1	-	-	-	-	-	-										
S. Dak.	5	6	-	-	-	-	2	4	-	-	-										
Nebr.	4	4	-	-	-	-	1	5	-	-	-										
Kans.	11	18	-	-	-	-	-	6	-	-	8										
S. ATLANTIC	176	180	-	29	25	5	109	99	-	2	4										
Del.	2	1	-	-	-	-	-	-	-	-	-										
Md.	26	19	-	3	-	-	33	20	-	1	-										
D.C.	1	-	U	2	-	U	-	1	U	-	-										
Va.	22	19	-	8	4	-	13	6	-	-	-										
W. Va.	2	5	-	-	-	-	1	1	-	-	-										
N.C.	21	25	-	5	7	-	25	42	-	1	3										
S.C.	21	28	-	2	4	-	8	12	-	-	-										
Ga.	27	37	-	-	1	1	9	1	-	-	-										
Fla.	54	46	-	9	9	4	20	16	-	-	1										
E.S. CENTRAL	86	91	-	1	4	-	35	45	1	1	-										
Ky.	24	15	U	-	-	U	3	18	U	-	-										
Tenn.	27	34	-	-	-	-	22	13	-	-	-										
Ala.	18	27	-	1	1	-	7	12	1	1	-										
Miss.	17	15	-	-	3	-	3	2	-	-	-										
W.S. CENTRAL	67	143	1	17	26	-	52	89	-	5	56										
Ark.	17	16	-	-	-	-	4	11	-	-	-										
La.	30	25	1	2	2	-	3	-	-	-	-										
Okla.	14	22	-	1	-	-	7	6	-	-	-										
Tex.	6	80	-	14	24	-	38	72	-	5	56										
MOUNTAIN	72	71	-	8	18	3	195	305	-	6	5										
Mont.	-	2	-	-	-	-	1	1	-	-	-										
Idaho	7	3	-	-	1	1	86	112	-	-	-										
Wyo.	2	3	-	-	1	-	2	7	-	-	-										
Colo.	20	16	-	3	1	-	42	68	-	-	-										
N. Mex.	9	11	N	N	N	2	15	55	-	-	1										
Ariz.	24	25	U	-	4	U	21	35	U	5	1										
Utah	5	7	-	4	3	-	26	14	-	-	2										
Nev.	5	4	-	1	8	-	2	13	-	1	1										
PACIFIC	198	263	2	41	54	17	686	275	-	2	13										
Wash.	26	28	-	1	4	16	415	109	-	-	9										
Oreg.	36	44	N	N	N	1	11	20	-	-	-										
Calif.	128	186	2	34	35	-	252	142	-	2	2										
Alaska	4	1	-	1	2	-	3	-	-	-	-										
Hawaii	4	4	-	5	13	-	5	4	-	-	2										
Guam	-	1	U	-	2	U	-	-	U	-	-										
P.R.	2	3	-	-	1	1	5	2	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	2	U	-	1	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


