
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 10, 1997 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1997
Meningococcal Disease cummulative for 1996
Mumps current week
Mumps cummulative for 1997
Mumps cummulative for 1996
Pertussis current week
Pertussis cummulative for 1997
Pertussis cummulative for 1996
Rubella current week
Rubella cummulative for 1997
Rubella cummulative for 1996

tab delimited data:
test
UNITED STATES	1,522	1,403	13	222	252	70	1,818	1,133	3	15	74										
NEW ENGLAND	94	56	-	6	-	11	420	224	-	-	11										
Maine	9	8	-	-	-	-	6	10	-	-	-										
N.H.	9	1	-	-	-	-	55	16	-	-	-										
Vt.	2	3	-	-	-	-	149	7	-	-	2										
Mass.	51	19	-	1	-	11	193	188	-	-	7										
R.I.	6	5	-	4	-	-	12	-	-	-	-										
Conn.	17	20	-	1	-	-	5	3	-	-	2										
MID. ATLANTIC	126	135	-	24	33	-	134	88	-	1	5										
Upstate N.Y.	31	35	-	4	8	-	50	45	-	-	3										
N.Y. City	23	25	-	-	8	-	19	14	-	1	1										
N.J.	27	29	-	-	2	-	5	4	-	-	1										
Pa.	45	46	-	20	15	-	60	25	-	-	-										
E.N. CENTRAL	203	218	1	25	68	4	144	171	-	2	3										
Ohio	84	75	1	10	26	3	60	55	-	-	-										
Ind.	23	31	-	4	5	1	20	10	-	-	-										
Ill.	62	64	-	7	13	-	20	49	-	-	1										
Mich.	17	25	-	4	23	-	26	11	-	-	2										
Wis.	17	23	-	-	1	-	18	46	-	2	-										
W.N. CENTRAL	111	106	-	8	4	6	106	51	-	-	-										
Minn.	12	9	-	3	1	4	65	32	-	-	-										
Iowa	23	22	-	3	-	-	15	2	-	-	-										
Mo.	58	47	-	-	1	2	16	10	-	-	-										
N. Dak.	-	2	-	-	2	-	2	-	-	-	-										
S. Dak.	3	3	-	-	-	-	1	1	-	-	-										
Nebr.	5	10	U	2	-	U	2	2	U	-	-										
Kans.	10	13	-	-	-	-	5	4	-	-	-										
S. ATLANTIC	277	202	4	39	25	8	173	104	-	2	12										
Del.	4	2	-	-	-	-	-	10	-	-	-										
Md.	27	20	-	4	12	1	63	42	-	-	-										
D.C.	1	3	-	-	-	-	2	-	-	-	1										
Va.	24	26	-	4	3	1	19	5	-	1	-										
W. Va.	10	9	-	-	-	-	3	2	-	-	-										
N.C.	47	31	-	6	-	-	35	24	-	-	-										
S.C.	37	28	2	9	3	1	8	1	-	1	1										
Ga.	53	62	-	4	2	4	6	4	-	-	-										
Fla.	74	21	2	12	5	1	37	16	-	-	10										
E.S. CENTRAL	117	113	1	15	10	1	36	121	-	-	-										
Ky.	28	16	-	2	-	-	2	110	-	-	-										
Tenn.	44	34	-	4	1	-	16	7	-	-	-										
Ala.	29	33	1	5	3	1	10	1	-	-	-										
Miss.	16	30	U	4	6	U	8	3	U	-	N										
W.S. CENTRAL	162	164	-	23	22	4	29	39	-	1	7										
Ark.	22	21	-	-	-	-	3	3	-	-	-										
La.	28	32	-	7	8	-	7	3	-	-	1										
Okla.	17	14	-	-	-	3	5	4	-	-	-										
Tex.	95	97	-	16	14	1	14	29	-	1	6										
MOUNTAIN	87	84	1	11	13	24	519	124	1	1	4										
Mont.	6	1	-	-	-	-	2	5	-	-	-										
Idaho	5	11	-	2	-	13	382	40	-	-	2										
Wyo.	-	-	-	1	-	-	3	-	-	-	-										
Colo.	26	14	1	3	1	10	98	24	-	-	-										
N. Mex.	16	18	N	N	N	-	20	26	-	-	-										
Ariz.	16	25	-	-	1	-	9	5	1	1	1										
Utah	12	8	-	3	2	1	3	3	-	-	-										
Nev.	6	7	-	2	9	-	2	21	-	-	1										
PACIFIC	345	325	6	71	77	12	257	211	2	8	32										
Wash.	43	43	-	5	8	8	137	87	-	-	1										
Oreg.	69	61	-	1	-	4	11	22	-	-	-										
Calif.	231	215	5	54	54	-	104	93	2	3	29										
Alaska	1	4	1	2	2	-	1	-	-	-	-										
Hawaii	1	2	-	9	13	-	4	9	-	5	2										
Guam	-	1	U	-	3	U	-	-	U	-	-										
P.R.	7	2	-	4	1	-	-	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	1	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


