
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 26, 2005 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Giardiasis cummulative for 2005
Giardiasis cummulative for 2004
Gonorrhea cummulative for 2005
Gonorrhea cummulative for 2004

tab delimited data:
test
UNITED STATES	199	195	26	35	34	28	3,063	3,596	59,629	73,857											
NEW ENGLAND	15	9	5	9	5	2	235	298	1,091	1,605											
Maine	-	-	1	-	-	-	32	27	35	69											
N.H.	-	2	1	-	-	-	7	9	33	28											
Vt.	1	-	-	-	-	-	30	16	6	17											
Mass.	5	2	1	3	5	2	128	168	670	672											
R.I.	1	1	-	-	-	-	17	23	120	220											
Conn.	8	4	2	6	-	-	21	55	227	599											
MID. ATLANTIC	25	20	1	1	1	8	562	803	6,321	8,428											
Upstate N.Y.	12	6	1	1	-	3	184	208	1,436	1,581											
N.Y. City	1	5	-	-	-	-	141	280	1,602	2,729											
N.J.	6	1	-	-	-	3	72	100	817	1,561											
Pa.	6	8	-	-	1	2	165	215	2,466	2,557											
E.N. CENTRAL	51	49	3	9	3	4	399	565	9,075	15,713											
Ohio	22	12	1	-	2	4	125	173	1,577	4,867											
Ind.	6	13	-	-	-	-	N	N	1,804	1,544											
Ill.	6	8	1	-	-	-	57	194	3,083	4,595											
Mich.	8	8	-	1	1	-	133	124	1,596	3,657											
Wis.	9	8	1	8	-	-	84	74	1,015	1,050											
W.N. CENTRAL	27	36	4	6	5	6	368	349	3,596	4,203											
Minn.	3	18	1	2	2	-	162	115	562	1,015											
Iowa	5	4	-	-	-	-	50	44	427	279											
Mo.	11	3	2	4	1	1	79	112	1,970	1,964											
N. Dak.	-	2	-	-	-	3	1	6	15	41											
S. Dak.	2	-	-	-	-	-	19	12	74	58											
Nebr.	3	4	1	-	1	-	22	31	106	259											
Kans.	3	5	-	-	1	2	35	29	442	587											
S. ATLANTIC	23	14	5	4	15	5	552	562	16,320	17,796											
Del.	-	-	N	N	N	N	8	12	176	236											
Md.	4	3	1	-	-	1	35	22	1,575	1,929											
D.C.	-	-	-	-	-	-	12	18	498	553											
Va.	1	-	2	3	2	-	114	70	2,187	2,199											
W. Va.	-	1	-	-	-	-	7	7	179	185											
N.C.	-	-	-	-	9	3	N	N	4,229	3,662											
S.C.	-	1	-	-	-	-	20	15	2,230	2,005											
Ga.	5	3	1	-	-	-	168	166	1,030	3,250											
Fla.	13	6	1	1	4	1	188	252	4,216	3,777											
E.S. CENTRAL	9	8	-	-	3	2	78	72	4,513	5,693											
Ky.	-	3	-	-	2	2	N	N	906	589											
Tenn.	6	2	-	-	1	-	35	31	1,738	1,946											
Ala.	3	1	-	-	-	-	43	41	520	1,822											
Miss.	-	2	-	-	-	-	-	-	1,349	1,336											
W.S. CENTRAL	5	16	1	1	1	1	54	65	8,460	10,031											
Ark.	1	1	-	1	-	-	18	31	1,009	846											
La.	-	1	1	-	1	-	8	11	643	2,789											
Okla.	1	3	-	-	-	-	28	23	1,091	968											
Tex.	3	11	-	-	-	1	N	N	5,717	5,428											
MOUNTAIN	20	18	7	4	1	-	265	292	2,654	2,551											
Mont.	1	2	-	-	-	-	9	6	23	7											
Idaho	3	3	4	1	-	-	25	46	19	14											
Wyo.	-	-	1	-	-	-	3	1	12	11											
Colo.	3	3	1	1	-	-	87	89	642	685											
N. Mex.	-	3	1	1	-	-	9	16	141	171											
Ariz.	5	2	N	N	N	N	49	60	1,051	1,098											
Utah	2	2	-	-	-	-	66	55	153	63											
Nev.	6	3	-	1	1	-	17	19	613	502											
PACIFIC	24	25	-	1	-	-	550	590	7,599	7,837											
Wash.	5	3	-	-	-	-	28	38	787	651											
Oreg.	1	2	-	1	-	-	46	106	296	231											
Calif.	14	17	-	-	-	-	443	419	6,229	6,460											
Alaska	2	-	-	-	-	-	13	10	113	138											
Hawaii	2	3	-	-	-	-	20	17	174	357											
Guam	N	N	-	-	-	-	-	-	-	47											
P.R.	-	-	-	-	-	-	7	4	94	44											
V.I.	-	-	-	-	-	-	-	-	2	34											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


