
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 30, 2000 (WEEK 39)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2000
H. influenzae, Invasive cummulative for 1999
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type B cummulative for 2000
Hepatitis (Viral), Type B cummulative for 1999
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2000
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2000
Measles (Rubeola), Total cummulative for 2000
Measles (Rubeola), Total cummulative for 1999

tab delimited data:
test
UNITED STATES	877	913	8,936	12,362	5,138	5,237	-	54	-	18	72	79									
NEW ENGLAND	74	67	268	241	78	119	-	2	-	4	6	11									
Maine	1	5	15	8	5	1	-	-	-	-	-	-									
N.H.	12	13	18	13	15	13	-	2	-	1	3	1									
Vt.	6	5	8	15	6	3	-	-	-	3	3	-									
Mass.	36	28	100	87	9	40	-	-	-	-	-	8									
R.I.	4	1	21	14	15	26	-	-	-	-	-	-									
Conn.	15	15	106	104	28	36	-	-	-	-	-	2									
MID. ATLANTIC	143	157	835	900	714	661	-	14	-	5	19	5									
Upstate N.Y.	77	64	166	206	103	143	-	9	-	-	9	2									
N.Y. City	28	49	245	293	337	203	-	5	-	4	9	3									
N.J.	29	39	158	107	105	100	-	-	-	-	-	-									
Pa.	9	5	266	294	169	215	-	-	-	1	1	-									
E.N. CENTRAL	117	151	1,032	2,315	530	545	-	8	-	-	8	2									
Ohio	44	51	217	513	88	74	-	2	-	-	2	-									
Ind.	26	20	76	84	40	34	-	-	-	-	-	1									
Ill.	40	61	375	590	91	46	-	4	-	-	4	-									
Mich.	7	14	351	1,066	310	364	-	2	-	-	2	1									
Wis.	-	5	13	62	1	27	-	-	-	-	-	-									
W.N. CENTRAL	53	57	681	603	552	208	-	2	-	1	3	-									
Minn.	29	36	171	59	30	40	-	-	-	1	1	-									
Iowa	-	2	61	114	27	34	-	2	-	-	2	-									
Mo.	15	6	330	362	439	111	-	-	-	-	-	-									
N. Dak.	1	1	3	2	2	-	-	-	-	-	-	-									
S. Dak.	1	2	1	8	1	1	-	-	-	-	-	-									
Nebr.	3	4	29	42	32	15	-	-	-	-	-	-									
Kans.	4	6	86	16	21	7	-	-	-	-	-	-									
S. ATLANTIC	233	198	1,104	1,432	946	871	-	3	-	-	3	14									
Del.	-	-	-	2	-	1	-	-	-	-	-	-									
Md.	62	51	178	241	90	119	-	-	-	-	-	-									
D.C.	-	4	20	54	27	21	-	-	-	-	-	-									
Va.	33	15	118	124	124	70	-	2	-	-	2	12									
W. Va.	7	6	52	32	10	22	-	-	-	-	-	-									
N.C.	20	28	116	125	182	185	-	-	-	-	-	-									
S.C.	12	5	48	38	13	59	-	-	-	-	-	-									
Ga.	56	54	199	369	155	123	-	-	-	-	-	-									
Fla.	43	35	373	447	345	271	-	1	-	-	1	2									
E.S. CENTRAL	39	53	309	312	350	362	-	-	-	-	-	2									
Ky.	12	6	36	58	57	35	-	-	-	-	-	2									
Tenn.	18	29	114	125	168	178	-	-	-	-	-	-									
Ala.	8	15	47	44	44	72	-	-	-	-	-	-									
Miss.	1	3	112	85	81	77	-	-	-	-	-	-									
W.S. CENTRAL	54	53	1,406	2,460	611	916	-	-	-	-	-	9									
Ark.	2	2	104	37	71	57	-	-	-	-	-	2									
La.	11	12	55	183	86	147	-	-	-	-	-	-									
Okla.	39	35	216	411	120	116	-	-	-	-	-	-									
Tex.	2	4	1,031	1,829	334	596	-	-	-	-	-	7									
MOUNTAIN	79	80	758	989	393	457	-	11	-	1	12	1									
Mont.	1	2	5	17	7	17	-	-	-	-	-	-									
Idaho	3	1	21	35	7	24	-	-	-	-	-	-									
Wyo.	1	1	39	7	24	12	-	-	-	-	-	-									
Colo.	11	13	163	184	71	78	-	1	-	1	2	-									
N. Mex.	18	18	60	40	77	148	-	-	-	-	-	-									
Ariz.	37	37	380	554	153	112	-	-	-	-	-	1									
Utah	7	5	41	38	19	26	-	3	-	-	3	-									
Nev.	1	3	49	114	35	40	U	7	U	-	7	-									
PACIFIC	85	97	2,543	3,110	964	1,098	-	14	-	7	21	35									
Wash.	5	3	219	261	81	55	-	2	-	1	3	5									
Oreg.	23	32	143	204	83	84	-	-	-	-	-	12									
Calif.	28	49	2,159	2,617	782	931	-	11	-	3	14	17									
Alaska	6	5	9	9	8	15	-	1	-	-	1	-									
Hawaii	23	8	13	19	10	13	-	-	-	3	3	1									
Guam	-	-	-	1	-	2	-	-	-	-	-	1									
P.R.	3	2	198	246	193	174	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


