
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending December 25, 2010 (WEEK 51)*

column labels in same order that data fields appears in each record below:
Reporting Area
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2009
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2009

tab delimited data:
test
UNITED STATES	3	2	11	157	146	1	26	421	1,517	1,241											
NEW ENGLAND	-	0	0	-	2	-	0	1	3	12											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	0	-	-	-	0	1	2	5											
Mass.	-	0	0	-	1	-	0	0	-	6											
N.H.	-	0	0	-	-	-	0	1	1	1											
R.I.	-	0	0	-	-	-	0	0	-	-											
Vt.	-	0	0	-	1	-	0	0	-	-											
MID. ATLANTIC	2	0	1	5	12	-	1	4	62	95											
N.J.	-	0	0	-	2	-	0	1	-	60											
N.Y. (Upstate)	1	0	1	3	-	-	0	3	18	14											
N.Y. City	-	0	1	1	1	-	0	4	30	7											
Pa.	1	0	0	1	9	-	0	3	14	14											
E.N. CENTRAL	-	0	1	4	9	-	1	9	94	81											
Ill.	-	0	1	2	1	-	0	5	33	48											
Ind.	-	0	1	2	3	-	0	5	43	10											
Mich.	-	0	0	-	4	-	0	1	1	1											
Ohio	-	0	0	-	-	-	0	2	13	18											
Wis.	-	0	0	-	1	-	0	1	4	4											
W.N. CENTRAL	-	0	4	18	19	-	4	21	333	255											
Iowa	-	0	0	-	1	-	0	1	4	4											
Kans.	-	0	1	2	1	-	0	0	-	-											
Minn.	-	0	1	-	2	-	0	0	-	2											
Mo.	-	0	4	14	7	-	4	20	325	245											
Nebr.	-	0	1	2	8	-	0	1	3	4											
N. Dak.	-	0	0	-	-	-	0	1	1	-											
S. Dak.	-	0	0	-	-	-	0	0	-	-											
S. ATLANTIC	1	1	9	87	68	1	9	60	509	374											
Del.	-	0	1	1	-	-	0	3	21	18											
D.C.	-	0	1	1	-	-	0	0	-	1											
Fla.	-	0	1	4	2	-	0	2	12	7											
Ga.	-	1	6	59	52	-	0	0	-	-											
Md.	-	0	1	3	3	-	0	5	54	37											
N.C.	-	0	3	13	7	-	3	48	272	243											
S.C.	-	0	1	1	3	-	0	2	18	15											
Va.	1	0	2	5	1	1	2	12	132	51											
W. Va.	-	0	0	-	-	-	0	0	-	2											
E.S. CENTRAL	-	0	3	19	9	-	5	29	386	256											
Ala.	-	0	1	5	3	-	1	8	77	65											
Ky.	-	0	2	6	1	-	0	0	-	-											
Miss.	-	0	0	-	-	-	0	3	16	9											
Tenn.	-	0	2	8	5	-	4	20	293	182											
W.S. CENTRAL	-	0	3	6	9	-	1	408	115	144											
Ark.	-	0	2	2	-	-	0	110	64	73											
La.	-	0	0	-	-	-	0	1	2	2											
Okla.	-	0	3	3	7	-	0	287	26	46											
Tex.	-	0	1	1	2	-	0	11	23	23											
MOUNTAIN	-	0	5	10	17	-	0	3	15	24											
Ariz.	-	0	4	7	11	-	0	3	5	12											
Colo.	-	0	1	1	1	-	0	1	1	-											
Idaho	-	0	0	-	-	-	0	1	5	1											
Mont.	-	0	1	2	4	-	0	1	1	6											
Nev.	-	0	0	-	-	-	0	0	-	1											
N. Mex.	-	0	0	-	-	-	0	1	1	1											
Utah	-	0	0	-	-	-	0	1	1	1											
Wyo.	-	0	0	-	1	-	0	1	1	2											
PACIFIC	-	0	2	8	1	-	0	0	-	-											
Alaska	N	0	0	N	N	N	0	0	N	N											
Calif.	-	0	2	7	1	-	0	0	-	-											
Hawaii	N	0	0	N	N	N	0	0	N	N											
Oreg.	-	0	1	1	-	-	0	0	-	-											
Wash.	-	0	0	-	-	-	0	0	-	-											
Amer. Samoa	N	0	0	N	N	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	N	0	0	N	N	N	0	0	N	N											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2010 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


