
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending February 7, 2004 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2003
Syphilis (Congenital) cummulative for 2004
Syphilis (Congenital) cummulative for 2003
Tuberculosis cummulative for 2004
Tuberculosis cummulative for 2003
Typhoid Fever cummulative for 2004
Typhoid Fever cummulative for 2003
Varicella (Chicken Pox) cummulative for 2004
Varicella (Chicken Pox) cummulative for 2003

tab delimited data:
test
UNITED STATES	451	643	16	52	344	573	11	33	951	1,677											
NEW ENGLAND	8	9	-	-	7	14	1	1	119	371											
Maine	-	-	-	-	-	-	-	-	5	221											
N.H.	-	1	-	-	-	-	-	-	-	-											
Vt.	-	-	-	-	-	-	-	-	114	116											
Mass.	5	6	-	-	6	3	1	-	-	34											
R.I.	2	-	-	-	-	2	-	-	-	-											
Conn.	1	2	-	-	1	9	-	1	-	-											
MID. ATLANTIC	61	73	2	9	103	126	-	3	6	2											
Upstate N.Y.	3	1	2	1	-	4	-	-	-	-											
N.Y. City	40	34	-	3	102	81	-	2	-	-											
N.J.	12	23	-	5	-	16	-	1	-	-											
Pa.	6	15	-	-	1	25	-	-	6	2											
E.N. CENTRAL	39	86	7	12	95	35	1	3	457	831											
Ohio	12	13	-	1	9	7	1	-	68	199											
Ind.	7	4	-	4	13	10	-	2	-	-											
Ill.	8	35	-	6	60	16	-	-	-	-											
Mich.	9	32	7	1	8	-	-	1	357	525											
Wis.	3	2	-	-	5	2	-	-	32	107											
W.N. CENTRAL	10	22	-	-	28	26	-	-	22	1											
Minn.	-	6	-	-	8	5	-	-	-	-											
Iowa	-	1	-	-	-	2	-	-	N	N											
Mo.	9	8	-	-	-	6	-	-	-	-											
N. Dak.	-	-	-	-	-	-	-	-	11	1											
S. Dak.	-	-	-	-	-	4	-	-	11	-											
Nebr.	1	-	-	-	-	-	-	-	-	-											
Kans.	-	7	-	-	20	9	-	-	-	-											
S. ATLANTIC	128	149	1	9	7	108	2	17	167	270											
Del.	1	1	-	-	-	-	-	-	-	1											
Md.	25	22	-	2	2	6	-	2	-	-											
D.C.	9	3	-	-	-	-	-	-	4	-											
Va.	1	6	-	-	-	3	1	-	-	50											
W. Va.	-	-	-	-	2	1	-	-	156	214											
N.C.	12	20	-	-	2	2	1	-	-	-											
S.C.	5	8	-	3	1	2	-	-	7	5											
Ga.	8	23	-	3	-	31	-	-	-	-											
Fla.	67	66	1	1	-	63	-	15	-	-											
E.S. CENTRAL	28	32	1	1	18	22	-	-	-	-											
Ky.	5	7	-	-	-	-	-	-	-	-											
Tenn.	15	11	1	1	7	3	-	-	-	-											
Ala.	7	12	-	-	11	12	-	-	-	-											
Miss.	1	2	-	-	-	7	-	-	-	-											
W.S. CENTRAL	93	74	5	5	8	130	-	-	-	195											
Ark.	5	7	-	-	4	4	-	-	-	-											
La.	17	9	-	-	-	-	-	-	-	3											
Okla.	4	4	-	-	4	4	-	-	-	-											
Tex.	67	54	5	5	-	122	-	-	-	192											
MOUNTAIN	37	31	-	8	17	11	1	2	180	7											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	3	-	-	-	-	-	-	-	-	-											
Wyo.	1	-	-	-	-	1	-	-	9	2											
Colo.	-	6	-	1	7	5	-	2	87	-											
N. Mex.	-	8	-	4	-	-	-	-	4	-											
Ariz.	33	15	-	3	6	5	-	-	-	-											
Utah	-	1	-	-	4	-	1	-	80	5											
Nev.	-	1	-	-	-	-	-	-	-	-											
PACIFIC	47	167	-	8	61	101	6	7	-	-											
Wash.	8	7	-	-	18	18	-	-	-	-											
Oreg.	5	5	-	-	2	6	-	2	-	-											
Calif.	34	154	-	8	29	60	5	5	-	-											
Alaska	-	-	-	-	2	4	-	-	-	-											
Hawaii	-	1	-	-	10	13	1	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	10	8	-	-	-	-	-	-	28	29											
V.I.	-	1	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


