
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 4, 2000 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2000
AIDS § cummulative for 1999
Chlamydia† cummulative for 2000
Chlamydia† cummulative for 1999
Cryptosporidiosis cummulative for 2000
Cryptosporidiosis cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 1999

tab delimited data:
test
UNITED STATES	6,288	6,945	74,379	113,160	151	235	209	184	88	139											
NEW ENGLAND	511	352	3,680	3,616	6	10	16	29	15	28											
Maine	6	5	221	124	1	1	1	1	1	-											
N.H.	5	13	133	181	-	1	3	1	3	1											
Vt.	1	4	88	85	4	1	1	1	2	-											
Mass.	370	238	1,506	1,535	-	6	5	17	3	14											
R.I.	17	20	370	375	1	-	-	-	-	1											
Conn.	112	72	1,362	1,316	-	1	6	9	6	12											
MID. ATLANTIC	1,592	1,492	890	13,399	15	43	23	11	-	2											
Upstate N.Y.	65	76	N	N	8	17	23	8	-	-											
N.Y. City	986	835	-	6,540	4	21	-	1	-	1											
N.J.	387	370	516	2,139	-	1	-	2	-	1											
Pa.	154	211	374	4,720	3	4	N	N	-	-											
E.N. CENTRAL	590	489	14,000	18,105	17	45	22	35	6	22											
Ohio	92	97	3,184	5,992	11	6	8	20	3	7											
Ind.	56	52	2,044	1,897	3	3	2	6	1	7											
Ill.	353	231	3,701	4,633	-	6	8	4	-	3											
Mich.	67	81	3,759	3,494	3	5	4	5	1	2											
Wis.	22	28	1,312	2,089	-	25	N	N	1	3											
W.N. CENTRAL	151	161	4,115	7,151	8	19	56	34	26	27											
Minn.	32	28	996	1,354	-	10	10	10	10	11											
Iowa	10	13	547	342	1	1	9	5	4	2											
Mo.	70	84	902	3,266	3	4	30	2	8	2											
N. Dak.	-	3	-	161	1	-	2	2	1	1											
S. Dak.	2	3	298	370	1	1	-	-	-	-											
Nebr.	7	10	465	666	2	1	2	3	2	11											
Kans.	30	20	907	992	-	2	3	12	1	-											
S. ATLANTIC	1,531	1,832	14,181	24,118	22	30	20	17	13	10											
Del.	26	31	500	524	-	-	-	1	-	-											
Md.	153	252	971	2,289	1	4	5	1	1	-											
D.C.	112	69	507	N	-	3	-	-	U	U											
Va.	115	102	2,001	2,484	-	-	4	5	4	2											
W. Va.	6	14	219	411	-	-	1	-	1	1											
N.C.	75	125	3,187	3,953	3	1	6	3	1	3											
S.C.	156	128	669	4,376	-	-	-	1	-	1											
Ga.	183	207	2,523	4,878	12	21	2	1	3	U											
Fla.	705	904	3,604	5,203	6	1	2	5	3	3											
E.S. CENTRAL	281	300	7,180	7,267	6	2	10	15	4	5											
Ky.	37	37	1,455	1,251	-	1	4	5	U	U											
Tenn.	105	130	1,809	2,463	-	1	5	6	4	2											
Ala.	92	69	2,169	2,501	6	-	1	2	-	2											
Miss.	47	64	1,747	1,052	-	-	-	2	-	1											
W.S. CENTRAL	542	980	12,517	14,427	5	15	8	7	11	10											
Ark.	20	34	554	862	1	-	2	2	1	2											
La.	92	67	2,232	1,436	-	12	-	3	6	2											
Okla.	16	19	1,265	1,488	1	1	3	1	3	-											
Tex.	414	860	8,466	10,641	3	2	3	1	1	6											
MOUNTAIN	213	207	3,470	5,930	9	22	22	12	4	10											
Mont.	3	3	-	208	-	1	5	-	-	-											
Idaho	3	5	64	326	1	2	3	-	-	2											
Wyo.	1	-	133	135	1	-	2	1	-	1											
Colo.	52	56	602	1,230	1	2	7	3	1	1											
N. Mex.	26	9	334	903	1	10	-	1	-	-											
Ariz.	56	86	1,407	2,260	2	7	3	3	2	1											
Utah	28	27	387	318	3	N	1	4	1	4											
Nev.	44	21	543	550	-	-	1	-	-	1											
PACIFIC	877	1,132	14,346	19,147	63	49	32	24	9	25											
Wash.	102	58	2,247	2,133	N	N	3	1	3	9											
Oreg.	22	32	454	954	1	3	3	10	3	8											
Calif.	727	1,021	11,402	15,195	62	46	23	13	-	8											
Alaska	-	5	243	317	-	-	-	-	-	-											
Hawaii	26	16	-	548	-	-	3	-	3	-											
Guam	9	1	-	85	-	-	N	N	U	U											
P.R.	153	215	142	U	-	-	-	1	U	U											
V.I.	6	3	-	U	-	U	-	U	U	U											
Amer. Samoa	-	-	-	U	-	U	-	U	U	U											
C.N.M.I.	-	-	-	U	-	U	-	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


