
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending October 30, 2010 (WEEK 43)*

column labels in same order that data fields appears in each record below:
Reporting Area
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2009
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2009

tab delimited data:
test
UNITED STATES	3	2	13	142	138	12	17	421	1,311	1,191											
NEW ENGLAND	-	0	0	-	2	-	0	1	3	10											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	0	-	-	-	0	1	2	5											
Mass.	-	0	0	-	1	-	0	1	-	5											
N.H.	-	0	0	-	-	-	0	1	1	-											
R.I.	-	0	0	-	-	-	0	0	-	-											
Vt.	-	0	0	-	1	-	0	0	-	-											
MID. ATLANTIC	-	0	2	15	11	-	1	4	51	89											
N.J.	-	0	0	-	2	-	0	2	-	57											
N.Y. (Upstate)	-	0	1	2	-	-	0	3	15	13											
N.Y. City	-	0	1	1	1	-	0	4	24	6											
Pa.	-	0	2	12	8	-	0	1	12	13											
E.N. CENTRAL	-	0	2	6	9	-	1	9	86	79											
Ill.	-	0	1	4	1	-	0	5	27	47											
Ind.	-	0	1	2	3	-	0	5	43	10											
Mich.	-	0	0	-	4	-	0	1	1	1											
Ohio	-	0	0	-	-	-	0	2	14	17											
Wis.	-	0	0	-	1	-	0	1	1	4											
W.N. CENTRAL	-	0	4	17	18	2	4	21	292	249											
Iowa	-	0	0	-	1	-	0	1	4	4											
Kans.	-	0	1	2	1	-	0	0	-	-											
Minn.	-	0	1	-	1	-	0	1	-	1											
Mo.	-	0	4	13	7	2	4	20	284	240											
Nebr.	-	0	1	2	8	-	0	1	3	4											
N. Dak.	-	0	0	-	-	-	0	1	1	-											
S. Dak.	-	0	0	-	-	-	0	0	-	-											
S. ATLANTIC	1	1	9	69	64	9	7	60	447	358											
Del.	-	0	1	1	-	-	0	3	17	16											
D.C.	-	0	0	-	-	-	0	1	-	-											
Fla.	-	0	1	3	-	-	0	2	11	5											
Ga.	1	0	6	47	50	-	0	0	-	-											
Md.	-	0	1	2	3	2	0	4	48	34											
N.C.	-	0	3	11	7	6	1	48	235	237											
S.C.	-	0	1	1	3	-	0	2	16	15											
Va.	-	0	2	4	1	1	1	12	120	49											
W. Va.	-	0	0	-	-	-	0	0	-	2											
E.S. CENTRAL	-	0	3	19	9	1	4	29	344	251											
Ala.	-	0	1	4	3	-	1	8	71	61											
Ky.	-	0	2	6	1	-	0	0	-	-											
Miss.	-	0	0	-	-	-	0	2	9	9											
Tenn.	-	0	3	9	5	1	3	20	264	181											
W.S. CENTRAL	-	0	3	6	9	-	1	408	80	131											
Ark.	-	0	2	2	-	-	0	110	37	67											
La.	-	0	0	-	-	-	0	1	2	2											
Okla.	-	0	3	3	7	-	0	287	22	44											
Tex.	-	0	1	1	2	-	0	11	19	18											
MOUNTAIN	-	0	1	2	15	-	0	2	8	24											
Ariz.	-	0	1	-	9	-	0	1	2	12											
Colo.	-	0	0	-	1	-	0	1	1	-											
Idaho	-	0	0	-	-	-	0	1	2	1											
Mont.	-	0	1	2	4	-	0	1	1	6											
Nev.	-	0	0	-	-	-	0	0	-	1											
N. Mex.	-	0	0	-	-	-	0	1	1	1											
Utah	-	0	0	-	-	-	0	1	1	1											
Wyo.	-	0	0	-	1	-	0	0	-	2											
PACIFIC	2	0	2	8	1	-	0	0	-	-											
Alaska	N	0	0	N	N	N	0	0	N	N											
Calif.	2	0	2	7	1	-	0	0	-	-											
Hawaii	N	0	0	N	N	N	0	0	N	N											
Oreg.	-	0	1	1	-	-	0	0	-	-											
Wash.	-	0	0	-	-	-	0	0	-	-											
Amer. Samoa	N	0	0	N	N	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	N	0	0	N	N	N	0	0	N	N											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2010 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


