
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending January 20, 2007 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2007
Salmonellosis cummulative for 2006
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2007
Shiga toxin-producing E. coli(STEC)† cummulative for 2006
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2007
Shigellosis cummulative for 2006

tab delimited data:
test
UNITED STATES	224	733	1,361	922	1,838	9	52	147	35	106	94	259	479	315	563						
NEW ENGLAND	1	20	80	28	521	-	2	16	-	75	-	3	14	1	76						
Conn.	-	0	14	14	479	-	0	0	-	72	-	0	1	1	64						
Maine	-	2	10	7	2	-	0	8	-	-	-	0	2	-	-						
Mass.	-	15	53	-	36	-	1	9	-	2	-	2	11	-	11						
N.H.	-	4	25	1	3	-	0	3	-	1	-	0	2	-	1						
R.I.	-	1	10	4	-	-	0	2	-	-	-	0	3	-	-						
Vt.	1	1	6	2	1	-	0	1	-	-	-	0	2	-	-						
MID. ATLANTIC	43	86	189	119	177	2	6	61	5	3	2	16	43	10	39						
N.J.	-	14	48	1	32	-	0	4	-	-	-	3	35	-	19						
N.Y. (Upstate)	15	26	64	32	10	-	0	4	-	-	1	4	33	3	4						
N.Y. City	-	23	50	18	63	-	0	4	-	-	-	4	13	4	14						
Pa.	28	28	67	68	72	2	2	46	3	3	1	1	6	3	2						
E.N. CENTRAL	28	94	192	76	204	-	10	56	1	8	7	20	41	12	42						
Ill.	-	23	56	3	69	-	1	7	-	-	-	7	23	-	23						
Ind.	2	15	55	2	-	-	1	8	-	-	5	2	17	5	-						
Mich.	2	18	35	9	41	-	1	6	1	2	-	3	8	-	10						
Ohio	24	23	56	59	54	-	3	18	-	3	2	3	14	7	3						
Wis.	-	16	27	3	40	-	2	39	-	3	-	3	10	-	6						
W.N. CENTRAL	17	46	109	65	102	3	11	35	8	10	12	34	77	43	90						
Iowa	-	8	26	5	25	-	2	22	1	2	-	2	13	2	2						
Kans.	4	7	16	16	11	-	0	4	2	-	1	2	11	2	4						
Minn.	-	11	60	-	13	-	4	27	-	3	-	3	24	-	4						
Mo.	9	14	35	28	36	-	0	0	-	-	8	9	69	34	59						
Nebr.	-	4	9	10	10	-	0	8	-	-	-	1	14	-	13						
N. Dak.	-	0	5	-	-	-	0	0	-	-	-	0	18	-	-						
S. Dak.	4	2	7	6	7	-	0	5	-	-	3	6	24	5	8						
S. ATLANTIC	101	217	399	419	420	3	9	27	16	3	64	60	146	176	111						
Del.	-	2	10	2	5	-	0	3	2	-	-	0	2	1	-						
D.C.	-	1	4	-	3	-	0	1	-	-	-	0	2	-	1						
Fla.	53	95	176	208	154	2	2	9	6	1	27	28	76	86	47						
Ga.	30	30	72	90	73	-	1	7	2	2	34	22	58	83	35						
Md.	4	13	33	29	34	1	2	8	6	-	3	2	10	4	9						
N.C.	14	31	130	73	129	-	2	11	-	12	-	1	21	-	15						
S.C.	-	18	51	17	22	-	0	2	-	1	-	1	9	2	4						
Va.	-	20	57	-	-	-	0	0	-	-	-	2	9	-	-						
W. Va.	-	1	16	-	-	-	0	5	-	-	-	0	2	-	-						
E.S. CENTRAL	8	60	153	51	83	-	3	21	1	2	1	15	84	24	52						
Ala.	2	24	94	11	25	-	0	5	-	-	-	5	75	6	4						
Ky.	6	8	23	23	14	-	1	12	1	2	1	3	15	5	33						
Miss.	-	12	42	5	20	-	0	0	-	-	-	2	13	1	13						
Tenn.	-	15	32	12	24	-	0	4	-	5	-	3	12	12	2						
W.S. CENTRAL	10	67	179	23	56	1	1	21	2	-	2	36	85	11	29						
Ark.	3	15	47	8	13	-	0	7	1	-	1	2	9	1	2						
La.	-	15	42	4	14	-	0	0	-	-	-	1	25	2	-						
Okla.	7	8	40	11	12	1	0	17	1	-	1	2	9	2	4						
Tex.	-	31	102	-	17	-	2	13	-	-	-	29	84	6	23						
MOUNTAIN	15	50	88	77	80	-	4	17	1	5	4	25	87	20	37						
Ariz.	13	17	41	35	13	-	2	13	1	-	4	12	35	14	13						
Colo.	-	12	30	26	31	-	1	8	-	5	-	3	15	3	7						
Idaho	2	3	9	8	7	-	1	7	-	3	-	0	3	-	2						
Mont.	-	2	10	2	3	-	0	0	-	-	-	0	13	1	-						
Nev.	-	3	20	4	8	-	0	5	-	-	-	1	20	-	3						
N. Mex.	-	4	15	-	9	-	0	1	-	1	-	2	15	2	9						
Utah	-	5	15	2	8	-	1	14	-	1	-	1	6	-	2						
Wyo.	-	0	4	-	1	-	0	3	-	-	-	0	19	-	1						
PACIFIC	1	114	181	64	195	-	4	17	1	-	2	34	87	18	87						
Alaska	-	1	4	1	9	N	0	0	N	N	-	0	2	-	-						
Calif.	-	88	158	49	151	-	0	0	-	N	-	29	76	12	82						
Hawaii	-	5	16	3	15	-	0	2	-	-	-	1	4	1	3						
Oreg.	-	8	16	10	18	-	0	1	-	-	-	1	31	3	2						
Wash.	1	10	46	1	2	-	2	12	-	-	2	2	13	2	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	N	0	0	N	N	-	0	0	-	-						
P.R.	-	11	47	2	5	-	0	0	-	-	-	0	6	-	1						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes E. coli O157:H7; Shiga toxin positive, serogroup non-O157; and Shiga toxin positive, not serogrouped.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


