
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending May 28, 2005 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	947	931	2	6	53	48	88	94													
NEW ENGLAND	68	93	-	1	6	6	3	1													
Maine	3	7	-	-	-	-	1	-													
N.H.	3	12	-	-	-	2	-	-													
Vt.	6	5	-	-	-	-	2	1													
Mass.	27	44	-	1	1	2	-	-													
R.I.	6	2	-	-	2	-	-	-													
Conn.	23	23	-	-	3	2	-	-													
MID. ATLANTIC	188	190	-	1	-	3	21	24													
Upstate N.Y.	51	64	-	1	-	3	5	3													
N.Y. City	31	42	-	-	-	-	6	8													
N.J.	38	34	-	-	-	-	5	2													
Pa.	68	50	-	-	-	-	5	11													
E.N. CENTRAL	128	169	-	-	1	8	7	24													
Ohio	67	58	-	-	-	2	6	10													
Ind.	35	26	-	-	1	4	1	1													
Ill.	9	50	-	-	-	-	-	10													
Mich.	10	10	-	-	-	2	-	3													
Wis.	7	25	-	-	-	-	-	-													
W.N. CENTRAL	49	43	-	1	2	2	7	5													
Minn.	18	14	-	-	2	2	-	-													
Iowa	-	1	-	1	-	-	-	-													
Mo.	24	18	-	-	-	-	5	4													
N. Dak.	1	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	3	2	-	-	-	-	1	-													
Kans.	3	5	-	-	-	-	-	1													
S. ATLANTIC	244	216	-	-	14	11	13	16													
Del.	-	-	-	-	-	-	-	-													
Md.	35	39	-	-	4	2	-	-													
D.C.	-	1	-	-	-	-	-	1													
Va.	19	18	-	-	-	-	-	1													
W. Va.	14	10	-	-	1	3	2	-													
N.C.	40	25	-	-	5	3	-	-													
S.C.	10	5	-	-	-	-	1	-													
Ga.	61	65	-	-	-	-	6	14													
Fla.	65	53	-	-	4	3	4	-													
E.S. CENTRAL	46	35	-	-	1	-	10	6													
Ky.	4	-	-	-	1	-	1	-													
Tenn.	32	25	-	-	-	-	6	4													
Ala.	10	10	-	-	-	-	3	2													
Miss.	-	-	-	-	-	-	-	-													
W.S. CENTRAL	59	37	1	1	4	4	6	1													
Ark.	-	1	-	-	-	-	-	-													
La.	26	9	1	-	2	-	6	1													
Okla.	33	26	-	-	2	4	-	-													
Tex.	-	1	-	1	-	-	-	-													
MOUNTAIN	122	105	-	2	14	10	18	12													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	4	-	-	-	-	1	2													
Wyo.	1	-	-	-	-	-	-	-													
Colo.	27	25	-	-	-	-	4	3													
N. Mex.	13	23	-	-	4	3	1	4													
Ariz.	55	43	-	-	8	6	4	1													
Utah	10	8	-	2	-	1	6	1													
Nev.	13	2	-	-	2	-	2	1													
PACIFIC	43	43	1	-	11	4	3	5													
Wash.	-	1	-	-	-	-	-	1													
Oreg.	18	22	-	-	-	-	3	2													
Calif.	19	13	1	-	11	4	-	1													
Alaska	1	3	-	-	-	-	-	1													
Hawaii	5	4	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


