
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 30, 2004 (WEEK 43)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	31,120	35,017	722,358	710,785	4,924	3,078	2,770	2,853	794	2,831											
NEW ENGLAND	981	1,201	24,825	22,757	-	-	154	164	-	29											
Maine	15	49	1,719	1,640	N	N	18	18	-	-											
N.H.	37	34	1,450	1,300	-	-	29	18	-	2											
Vt.	14	15	852	888	-	-	22	29	-	-											
Mass.	343	517	11,052	9,008	-	-	54	72	-	12											
R.I.	109	82	2,790	2,419	-	-	4	12	-	5											
Conn.	463	504	6,962	7,502	N	N	27	15	-	10											
MID. ATLANTIC	6,925	8,345	86,773	88,195	-	-	441	361	12	220											
Upstate N.Y.	724	745	18,142	16,378	N	N	151	107	1	-											
N.Y. City	3,949	4,488	26,412	28,552	-	-	85	104	2	56											
N.J.	1,140	1,291	12,475	13,061	-	-	25	14	1	21											
Pa.	1,112	1,821	29,744	30,204	N	N	180	136	8	143											
E.N. CENTRAL	2,742	3,208	123,808	130,323	15	7	795	857	57	150											
Ohio	525	641	30,828	35,970	N	N	200	128	11	84											
Ind.	300	431	14,935	14,184	N	N	80	77	5	15											
Ill.	1,290	1,472	32,970	39,621	-	-	69	86	28	30											
Mich.	493	511	31,119	26,148	15	7	137	116	9	14											
Wis.	134	153	13,956	14,400	-	-	309	450	4	7											
W.N. CENTRAL	641	632	44,669	41,201	5	2	335	502	79	695											
Minn.	152	123	8,123	8,878	N	N	115	129	13	48											
Iowa	50	67	5,293	4,185	N	N	73	110	11	80											
Mo.	277	305	17,427	15,036	3	1	56	41	25	39											
N. Dak.	14	3	1,229	1,292	N	N	10	11	2	94											
S. Dak.	8	8	2,136	2,126	-	-	33	36	6	151											
Nebr.	41	42	4,260	3,842	2	1	23	21	4	194											
Kans.	99	84	6,201	5,842	N	N	25	154	18	89											
S. ATLANTIC	9,492	9,954	143,838	133,512	-	5	465	313	54	182											
Del.	121	191	2,436	2,483	N	N	-	4	-	12											
Md.	1,252	1,271	15,744	13,399	-	5	15	20	6	48											
D.C.	621	811	2,732	2,602	-	-	12	11	1	3											
Va.	513	789	18,554	15,874	-	-	55	38	4	19											
W. Va.	67	71	2,314	2,154	N	N	5	4	-	1											
N.C.	482	887	24,286	21,168	N	N	70	43	3	16											
S.C.	535	664	17,050	12,002	-	-	15	8	-	2											
Ga.	1,327	1,502	26,394	29,277	-	-	178	99	11	24											
Fla.	4,574	3,768	34,328	34,553	N	N	115	86	29	57											
E.S. CENTRAL	1,528	1,630	46,039	45,897	4	1	109	115	46	89											
Ky.	187	141	4,728	6,727	N	N	39	21	1	11											
Tenn.	617	700	18,220	16,905	N	N	29	37	9	21											
Ala.	360	389	9,382	11,964	-	-	20	47	13	25											
Miss.	364	400	13,709	10,301	4	1	21	10	23	32											
W.S. CENTRAL	3,581	3,463	88,435	86,866	2	-	66	97	172	593											
Ark.	174	163	5,964	6,539	1	-	14	17	12	23											
La.	719	519	18,539	16,280	1	-	3	4	68	89											
Okla.	154	177	9,116	9,448	N	N	20	13	9	56											
Tex.	2,534	2,604	54,816	54,599	N	N	29	63	83	425											
MOUNTAIN	1,178	1,272	39,926	40,164	3,174	1,939	143	119	231	871											
Mont.	6	11	1,946	1,590	N	N	34	18	2	75											
Idaho	15	21	2,277	2,057	N	N	24	26	-	-											
Wyo.	16	5	876	809	2	1	3	4	2	92											
Colo.	257	327	9,779	10,736	N	N	48	32	39	621											
N. Mex.	152	96	4,333	6,160	20	9	11	10	29	74											
Ariz.	437	535	13,330	11,056	3,067	1,889	17	5	128	7											
Utah	53	52	3,002	3,083	33	8	4	17	6	-											
Nev.	242	225	4,383	4,673	52	32	2	7	25	2											
PACIFIC	4,052	5,312	124,045	121,870	1,724	1,124	262	325	143	2											
Wash.	313	365	14,555	13,531	N	N	36	43	-	-											
Oreg.	239	202	6,974	6,117	-	-	30	36	-	-											
Calif.	3,357	4,642	95,226	94,610	1,724	1,124	194	245	143	2											
Alaska	39	15	3,056	3,141	-	-	-	1	-	-											
Hawaii	104	88	4,234	4,471	-	-	2	-	-	-											
Guam	2	5	-	517	-	-	-	-	-	-											
P.R.	595	851	2,701	2,182	N	N	N	N	-	-											
V.I.	10	29	272	348	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	32	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


