
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending August 9, 2008 (WEEK 32)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	93	147	849	4,314	5,828	50	80	187	2,339	3,669	38	29	195	924	1,167						
NEW ENGLAND	-	20	49	379	915	2	7	20	207	336	-	0	1	2	7						
Conn.	-	0	5	-	55	-	3	17	107	141	-	0	0	-	-						
Maine	-	0	5	14	48	-	1	5	31	51	N	0	0	N	N						
Mass.	-	16	33	315	736	N	0	0	N	N	-	0	1	1	7						
N.H.	-	1	5	22	43	-	1	3	24	34	-	0	1	1	-						
R.I.	-	0	25	21	6	N	0	0	N	N	-	0	0	-	-						
Vt.	-	0	6	7	27	2	2	6	45	110	-	0	0	-	-						
MID. ATLANTIC	24	20	43	498	767	18	19	32	611	627	-	1	5	37	53						
N.J.	-	0	9	4	133	-	0	0	-	-	-	0	2	2	18						
N.Y. (Upstate)	17	6	24	224	369	18	9	20	297	311	-	0	3	13	6						
N.Y. City	-	2	7	41	80	-	0	2	11	32	-	0	2	11	20						
Pa.	7	8	23	229	185	-	9	23	303	284	-	0	2	11	9						
E.N. CENTRAL	7	19	190	753	1,040	10	5	53	114	170	-	1	7	48	36						
Ill.	-	3	8	84	117	5	1	15	42	51	-	0	6	30	22						
Ind.	-	0	12	28	40	-	0	1	3	7	-	0	1	3	4						
Mich.	2	4	16	113	176	5	1	32	44	76	-	0	1	2	3						
Ohio	5	7	176	488	450	-	1	11	25	36	-	0	4	13	6						
Wis.	-	2	9	40	257	N	0	0	N	N	-	0	1	-	1						
W.N. CENTRAL	9	11	142	387	386	3	4	12	96	176	4	4	27	230	237						
Iowa	-	1	5	35	116	-	0	3	13	20	-	0	2	1	13						
Kans.	1	1	5	28	68	-	0	7	-	86	-	0	2	-	9						
Minn.	3	1	131	129	59	-	0	7	34	17	-	0	4	-	1						
Mo.	1	3	18	136	58	2	0	5	25	27	4	3	25	214	201						
Nebr.	4	1	12	50	30	-	0	0	-	-	-	0	3	12	9						
N. Dak.	-	0	5	1	3	1	0	8	17	12	-	0	0	-	-						
S. Dak.	-	0	2	8	52	-	0	2	7	14	-	0	1	3	4						
S. ATLANTIC	10	14	50	407	602	9	35	94	1,015	1,397	14	8	109	297	547						
Del.	-	0	2	7	7	-	0	0	-	-	-	0	3	16	10						
D.C.	1	0	1	3	8	-	0	0	-	-	-	0	2	6	2						
Fla.	9	3	17	147	149	-	0	77	85	128	3	0	4	11	7						
Ga.	-	0	3	21	29	-	6	37	214	171	2	0	6	30	50						
Md.	-	1	6	20	71	9	0	18	42	249	4	0	6	21	38						
N.C.	-	0	38	77	200	-	9	16	292	310	2	0	96	127	335						
S.C.	-	2	22	63	52	-	0	0	-	46	-	0	4	17	38						
Va.	-	2	8	65	74	-	11	27	321	451	3	1	9	66	65						
W. Va.	-	0	12	4	12	-	1	11	61	42	-	0	3	3	2						
