
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 26, 2007 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2007
Chlamydia† cummulative for 2006
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2007
Coccidioidomycosis cummulative for 2006
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2007
Cryptosporidiosis cummulative for 2006

tab delimited data:
test
UNITED STATES	8,574	19,843	25,557	368,532	405,901	108	153	658	3,228	3,520	32	71	321	966	1,068						
NEW ENGLAND	523	665	1,357	13,254	12,525	-	0	0	-	-	-	5	38	61	98						
Conn.	-	204	829	3,286	3,084	N	0	0	N	N	-	0	11	11	38						
Maine	-	47	73	970	862	-	0	0	-	-	-	0	6	9	13						
Mass.	387	302	600	6,514	5,997	-	0	0	-	-	-	2	29	18	38						
N.H.	33	38	69	756	733	-	0	0	-	-	-	1	5	10	6						
R.I.	72	64	108	1,378	1,341	-	0	0	-	-	-	0	5	5	1						
Vt.	31	20	45	350	508	N	0	0	N	N	-	1	4	8	2						
MID. ATLANTIC	483	2,571	4,271	54,213	49,713	-	0	0	-	-	1	10	33	118	175						
N.J.	-	377	541	5,132	7,708	N	0	0	N	N	-	0	1	-	9						
N.Y. (Upstate)	-	509	2,745	9,903	9,141	N	0	0	N	N	-	3	13	43	36						
N.Y. City	-	753	1,523	16,763	16,982	N	0	0	N	N	-	2	10	22	53						
Pa.	483	832	1,776	22,415	15,882	N	0	0	N	N	1	3	18	53	77						
E.N. CENTRAL	1,435	3,190	6,223	67,350	69,328	2	1	3	13	16	6	15	110	219	238						
Ill.	655	982	1,290	18,565	22,281	-	0	0	-	-	-	2	22	19	31						
Ind.	-	385	644	8,059	8,329	-	0	0	-	-	-	1	18	16	19						
Mich.	603	749	1,225	14,983	12,629	1	1	3	10	12	1	3	10	54	37						
Ohio	75	643	3,647	18,435	17,297	1	0	2	3	4	5	5	33	74	79						
Wis.	102	372	528	7,308	8,792	N	0	0	N	N	-	4	53	56	72						
W.N. CENTRAL	57	1,188	1,445	18,686	24,870	-	0	54	3	-	6	11	77	146	159						
Iowa	-	160	238	3,106	3,428	N	0	0	N	N	-	2	28	25	15						
Kans.	-	148	316	3,178	3,342	N	0	0	N	N	2	1	8	23	21						
Minn.	-	243	314	3,744	5,272	-	0	54	-	-	4	2	25	38	60						
Mo.	-	434	628	5,220	8,997	-	0	1	3	-	-	2	21	29	33						
Nebr.	-	104	185	1,991	2,010	N	0	0	N	N	-	1	16	6	12						
