
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending January 5, 2002 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2002
Meningococcal Disease cummulative for 2001
Mumps cummulative for 2002
Mumps cummulative for 2001
Pertussis cummulative for 2002
Pertussis cummulative for 2001
Rabies, Animal cummulative for 2002
Rabies, Animal cummulative for 2001

tab delimited data:
test
UNITED STATES	-	32	-	3	-	52	-	143													
NEW ENGLAND	-	5	-	-	-	21	-	5													
Maine	-	-	-	-	-	-	-	-													
N.H.	-	-	-	-	-	-	-	-													
Vt.	-	-	-	-	-	6	-	3													
Mass.	-	5	-	-	-	15	-	2													
R.I.	-	-	-	-	-	-	-	-													
Conn.	-	-	-	-	-	-	-	-													
MID. ATLANTIC	-	5	-	-	-	-	-	7													
Upstate N.Y.	-	1	-	-	-	-	-	6													
N.Y. City	-	2	-	-	-	-	-	-													
N.J.	-	2	-	-	-	-	-	1													
Pa.	-	-	-	-	-	-	-	-													
E.N. CENTRAL	-	7	-	-	-	9	-	1													
Ohio	-	1	-	-	-	2	-	-													
Ind.	-	-	-	-	-	-	-	-													
Ill.	-	2	-	-	-	-	-	-													
Mich.	-	2	-	-	-	2	-	-													
Wis.	-	2	-	-	-	5	-	1													
W.N. CENTRAL	-	1	-	-	-	2	-	4													
Minn.	-	-	-	-	-	-	-	2													
Iowa	-	-	-	-	-	-	-	1													
Mo.	-	1	-	-	-	1	-	1													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	-	-	-	-	-	-	-	-													
Kans.	-	-	-	-	-	1	-	-													
S. ATLANTIC	-	2	-	-	-	-	-	1													
Del.	-	-	-	-	-	-	-	-													
Md.	-	2	-	-	-	-	-	-													
D.C.	-	-	-	-	-	-	-	-													
Va.	-	-	-	-	-	-	-	-													
W. Va.	-	-	-	-	-	-	-	1													
N.C.	-	-	-	-	-	-	-	-													
S.C.	-	-	-	-	-	-	-	-													
Ga.	-	-	-	-	-	-	-	-													
Fla.	-	-	-	-	-	-	-	-													
E.S. CENTRAL	-	1	-	-	-	-	-	106													
Ky.	-	-	-	-	-	-	-	-													
Tenn.	-	-	-	-	-	-	-	106													
Ala.	-	1	-	-	-	-	-	-													
Miss.	-	-	-	-	-	-	-	-													
W.S. CENTRAL	-	4	-	-	-	-	-	9													
Ark.	-	-	-	-	-	-	-	-													
La.	-	1	-	-	-	-	-	-													
Okla.	-	-	-	-	-	-	-	1													
Tex.	-	3	-	-	-	-	-	8													
MOUNTAIN	-	1	-	-	-	8	-	6													
Mont.	-	-	-	-	-	-	-	-													
Idaho	-	1	-	-	-	1	-	-													
Wyo.	-	-	-	-	-	-	-	2													
Colo.	-	-	-	-	-	7	-	-													
N. Mex.	-	-	-	-	-	-	-	-													
Ariz.	-	-	-	-	-	-	-	4													
Utah	-	-	-	-	-	-	-	-													
Nev.	-	-	-	-	-	-	-	-													
PACIFIC	-	6	-	3	-	12	-	4													
Wash.	-	-	-	-	-	-	-	-													
Oreg.	-	1	N	N	-	-	-	-													
Calif.	-	5	-	2	-	9	-	2													
Alaska	-	-	-	-	-	-	-	2													
Hawaii	-	-	-	1	-	3	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	1													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


