
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending March 29, 2008 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	109	92	193	1,439	1,557	27	31	147	406	485											
NEW ENGLAND	-	4	28	35	95	-	1	4	5	43											
Conn.	-	0	22	10	2	-	0	1	-	7											
Maine	-	0	3	9	7	-	0	1	1	-											
Mass.	-	1	12	-	65	-	0	4	-	33											
N.H.	-	0	4	8	11	-	0	1	4	-											
R.I.	-	0	3	3	-	-	0	1	-	2											
Vt.	-	0	2	5	10	-	0	1	-	1											
MID. ATLANTIC	14	16	40	261	322	-	5	38	48	63											
N.J.	-	2	11	12	65	-	1	6	9	16											
N.Y. (Upstate)	8	6	20	103	78	-	2	14	25	29											
N.Y. City	-	4	9	45	82	-	2	35	14	18											
Pa.	6	4	15	101	97	N	0	0	N	N											
E.N. CENTRAL	8	15	55	302	296	-	5	20	85	73											
Ill.	-	4	11	67	106	-	1	6	18	12											
Ind.	-	2	11	34	32	-	0	12	8	4											
Mich.	1	4	10	54	65	-	1	5	24	31											
Ohio	7	4	14	90	79	-	1	5	17	21											
Wis.	-	0	38	57	14	-	0	9	18	5											
W.N. CENTRAL	39	5	33	127	107	2	3	22	36	30											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	2	8	14	-	0	1	2	1											
Minn.	35	0	20	55	48	2	1	21	13	14											
Mo.	-	2	10	33	30	-	0	2	15	12											
Nebr.	1	0	3	15	5	-	0	3	2	2											
N. Dak.	3	0	3	7	7	-	0	0	-	1											
S. Dak.	-	0	2	9	3	-	0	1	4	-											
S. ATLANTIC	28	23	49	339	344	7	5	10	63	98											
Del.	-	0	3	6	1	-	0	0	-	-											
D.C.	-	0	4	11	4	-	0	1	2	-											
Fla.	8	6	16	79	68	2	1	4	17	18											
Ga.	5	4	13	71	78	-	0	4	-	29											
Md.	4	4	9	67	65	3	1	5	23	24											
N.C.	7	2	22	42	40	N	0	0	N	N											
S.C.	3	1	7	19	29	2	1	4	16	9											
Va.	1	3	12	33	53	-	0	3	3	17											
W. Va.	-	0	3	11	6	-	0	1	2	1											
E.S. CENTRAL	1	4	13	45	64	3	2	11	27	27											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	2	10	18	N	0	0	N	N											
Miss.	N	0	0	N	N	1	0	3	6	2											
Tenn.	1	3	13	35	46	2	2	9	21	25											
W.S. CENTRAL	12	7	68	132	94	11	4	61	68	76											
Ark.	-	0	1	1	9	-	0	2	3	5											
La.	-	0	2	3	10	-	0	3	-	20											
Okla.	3	1	9	44	32	2	1	5	26	16											
Tex.	9	5	59	84	43	9	3	56	39	35											
MOUNTAIN	6	10	21	161	199	4	4	11	74	71											
Ariz.	4	4	9	69	67	1	2	8	50	37											
Colo.	2	2	9	38	50	3	1	4	13	15											
Idaho	-	0	2	7	5	-	0	1	1	-											
Mont.	N	0	0	N	N	-	0	1	-	-											
Nev.	-	0	1	2	2	N	0	0	N	N											
N. Mex.	-	2	5	33	36	-	0	3	9	16											
Utah	-	1	5	12	37	-	0	2	1	3											
Wyo.	-	0	1	-	2	-	0	0	-	-											
PACIFIC	1	3	7	37	36	-	0	1	-	4											
Alaska	-	0	3	10	5	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	1	2	5	27	31	-	0	1	-	4											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	4	-	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


