
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending January 18, 2003 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Syphilis (Primary and Secondary) cummulative for 2003
Syphilis (Primary and Secondary) cummulative for 2002
Syphilis (Congenital) cummulative for 2003
Syphilis (Congenital) cummulative for 2002
Tuberculosis cummulative for 2003
Tuberculosis cummulative for 2002
Typhoid Fever cummulative for 2003
Typhoid Fever cummulative for 2002
Varicella (Chicken Pox) cummulative for 2003
Varicella (Chicken Pox) cummulative for 2002

tab delimited data:
test
UNITED STATES	224	258	3	18	88	276	7	15	573												
NEW ENGLAND	2	2	-	-	1	12	-	3	118												
Maine	-	-	-	-	-	-	-	-	49												
N.H.	-	-	-	-	-	-	-	-	-												
Vt.	-	-	-	-	-	-	-	-	49												
Mass.	2	1	-	-	-	-	-	2	20												
R.I.	-	-	-	-	-	7	-	-	-												
Conn.	-	1	-	-	1	5	-	1	-												
MID. ATLANTIC	12	19	1	5	53	32	3	3	-												
Upstate N.Y.	-	-	-	1	-	-	-	-	-												
N.Y. City	7	11	-	2	51	7	3	2	-												
N.J.	5	7	1	2	-	11	-	1	-												
Pa.	-	1	-	-	2	14	-	-	-												
E.N. CENTRAL	29	40	-	1	11	12	1	2	340												
Ohio	11	6	-	-	3	5	-	-	70												
Ind.	-	3	-	-	5	6	-	-	-												
Ill.	5	12	-	1	3	1	-	-	-												
Mich.	12	18	-	-	-	-	1	-	270												
Wis.	1	1	-	-	-	-	-	2	-												
W.N. CENTRAL	6	9	-	-	6	24	-	1	1												
Minn.	-	4	-	-	1	1	-	1	-												
Iowa	-	-	-	-	-	-	-	-	-												
Mo.	1	2	-	-	-	18	-	-	-												
N. Dak.	-	-	-	-	-	-	-	-	1												
S. Dak.	-	-	-	-	1	-	-	-	-												
Nebr.	-	2	-	-	-	-	-	-	-												
Kans.	5	1	-	-	4	5	-	-	-												
S. ATLANTIC	84	65	2	3	2	6	1	5	111												
Del.	-	-	-	-	-	-	-	-	-												
Md.	13	8	-	-	-	-	1	1	-												
D.C.	2	1	-	-	-	-	-	-	-												
Va.	4	3	-	-	-	-	-	-	-												
W. Va.	-	-	-	-	-	1	-	-	109												
N.C.	12	19	-	2	2	2	-	-	-												
S.C.	3	5	-	1	-	2	-	-	2												
Ga.	10	10	-	-	-	1	-	1	-												
Fla.	40	19	2	-	-	-	-	3	-												
E.S. CENTRAL	19	36	-	2	4	23	-	-	-												
Ky.	5	1	-	-	-	-	-	-	-												
Tenn.	7	17	-	1	-	16	-	-	-												
Ala.	7	13	-	-	4	7	-	-	-												
Miss.	-	5	-	1	-	-	-	-	-												
W.S. CENTRAL	37	38	-	4	2	93	-	1	-												
Ark.	7	-	-	-	1	-	-	-	-												
La.	-	14	-	-	-	-	-	-	-												
Okla.	1	7	-	-	1	1	-	-	-												
Tex.	29	17	-	4	-	92	-	1	-												
MOUNTAIN	14	10	-	-	2	9	-	-	3												
Mont.	-	-	-	-	-	-	-	-	-												
Idaho	-	1	-	-	-	-	-	-	-												
Wyo.	-	-	-	-	1	1	-	-	-												
Colo.	-	-	-	-	1	3	-	-	-												
N. Mex.	3	1	-	-	-	2	-	-	-												
Ariz.	11	8	-	-	-	2	-	-	-												
Utah	-	-	-	-	-	-	-	-	3												
Nev.	-	-	-	-	-	1	-	-	-												
PACIFIC	21	39	-	3	7	65	2	-	-												
Wash.	2	1	-	-	4	3	-	-	-												
Oreg.	1	1	-	-	2	2	-	-	-												
Calif.	18	37	-	3	1	53	2	-	-												
Alaska	-	-	-	-	-	1	-	-	-												
Hawaii	-	-	-	-	-	6	-	-	-												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	7	10	-	2	-	-	-	-	-												
V.I.	-	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


