
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending February 23, 2002 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 2002
Legionellosis cummulative for 2001
Listeriosis cummulative for 2002
Listeriosis cummulative for 2001
Lyme Disease cummulative for 2002
Lyme Disease cummulative for 2001
Malaria cummulative for 2002
Malaria cummulative for 2001
Measles Total cummulative for 2002
Measles Total cummulative for 2001

tab delimited data:
test
UNITED STATES	84	114	39	62	383	653	119	182	-	28											
NEW ENGLAND	5	2	5	5	20	99	8	16	-	4											
Maine	-	-	1	-	-	-	1	-	-	-											
N.H.	1	-	2	-	9	2	4	-	-	-											
Vt.	-	1	-	-	-	1	-	-	-	1											
Mass.	2	1	1	5	8	32	-	8	-	3											
R.I.	-	-	-	-	3	-	-	-	-	-											
Conn.	2	-	1	-	-	64	3	8	-	-											
MID. ATLANTIC	12	24	5	6	264	447	13	45	-	-											
Upstate N.Y.	3	1	3	1	166	113	3	4	-	-											
N.Y. City	-	2	1	1	-	5	6	24	-	-											
N.J.	-	4	-	2	16	92	2	10	-	-											
Pa.	9	17	1	2	82	237	2	7	-	-											
E.N. CENTRAL	38	39	6	9	9	24	11	32	-	2											
Ohio	26	15	5	1	9	8	7	4	-	-											
Ind.	2	2	-	-	-	-	-	7	-	-											
Ill.	-	7	-	2	-	3	-	10	-	2											
Mich.	10	9	1	4	-	-	4	11	-	-											
Wis.	-	6	-	2	U	13	-	-	-	-											
W.N. CENTRAL	2	8	1	2	7	5	8	5	-	2											
Minn.	-	-	-	-	2	3	-	1	-	-											
Iowa	-	2	-	-	3	-	2	1	-	-											
Mo.	2	3	1	1	2	2	3	3	-	2											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	-											
Nebr.	-	2	-	-	-	-	-	-	-	-											
Kans.	-	1	-	1	-	-	3	-	-	-											
S. ATLANTIC	15	13	6	6	63	53	45	38	-	3											
Del.	3	-	-	-	5	4	-	1	-	-											
Md.	4	5	1	1	40	44	17	14	-	3											
D.C.	-	-	-	-	3	1	2	2	-	-											
Va.	-	2	-	1	-	2	-	8	-	-											
W. Va.	N	N	-	1	-	-	-	-	-	-											
N.C.	2	2	-	-	3	2	5	1	-	-											
S.C.	-	-	2	-	1	-	2	-	-	-											
Ga.	3	1	2	1	-	-	11	9	-	-											
Fla.	3	3	1	2	11	-	8	3	-	-											
E.S. CENTRAL	-	6	2	4	1	2	3	6	-	-											
Ky.	-	2	-	1	-	2	-	1	-	-											
Tenn.	-	-	1	2	1	-	1	3	-	-											
Ala.	-	2	1	1	-	-	1	2	-	-											
Miss.	-	2	-	-	-	-	1	-	-	-											
W.S. CENTRAL	-	2	-	7	2	12	2	2	-	-											
Ark.	-	-	-	-	-	-	-	-	-	-											
La.	-	1	-	-	1	-	2	1	-	-											
Okla.	-	-	-	-	-	-	-	-	-	-											
Tex.	-	1	-	7	1	12	-	1	-	-											
MOUNTAIN	4	4	3	5	2	-	5	9	-	1											
Mont.	-	-	-	-	-	-	-	1	-	-											
Idaho	-	-	-	-	-	-	-	1	-	1											
Wyo.	-	-	-	-	-	-	-	-	-	-											
Colo.	1	3	1	1	1	-	2	3	-	-											
N. Mex.	1	-	-	1	1	-	-	1	-	-											
Ariz.	-	1	2	1	-	-	-	1	-	-											
Utah	2	-	-	-	-	-	2	1	-	-											
Nev.	-	-	-	2	-	-	1	1	-	-											
PACIFIC	8	16	11	18	15	11	24	29	-	16											
Wash.	-	3	-	-	-	-	1	1	-	12											
Oreg.	N	N	1	1	1	1	-	2	-	2											
Calif.	8	13	10	17	14	10	20	23	-	1											
Alaska	-	-	-	-	-	-	1	1	-	-											
Hawaii	-	-	-	-	N	N	2	2	-	1											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	2	-	-	N	N	-	-	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


