
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending February 19, 2005 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Tuberculosis cummulative for 2005
Tuberculosis cummulative for 2004
Typhoid Fever cummulative for 2005
Typhoid Fever cummulative for 2004
Varicella (Chicken Pox) cummulative for 2005
Varicella (Chicken Pox) cummulative for 2004
West Nile virus disease § Neuroinvasive cummulative for 2005
West Nile virus disease § Neuroinvasive cummulative for 2004
West Nile virus disease § Non-neuroinvasive † cummulative for 2005

tab delimited data:
test
UNITED STATES	607	1,263	18	37	2,386	2,277	-	-	-												
NEW ENGLAND	27	31	-	3	47	137	-	-	-												
Maine	-	-	-	-	44	6	-	-	-												
N.H.	1	-	-	-	-	-	-	-	-												
Vt.	-	-	-	-	2	131	-	-	-												
Mass.	21	15	-	3	1	-	-	-	-												
R.I.	-	5	-	-	-	-	-	-	-												
Conn.	5	11	-	-	-	-	-	-	-												
MID. ATLANTIC	214	193	5	10	331	8	-	-	-												
Upstate N.Y.	12	14	-	-	-	-	-	-	-												
N.Y. City	137	128	-	5	-	-	-	-	-												
N.J.	39	29	2	3	-	-	-	-	-												
Pa.	26	22	3	2	331	8	-	-	-												
E.N. CENTRAL	125	96	1	2	1,169	1,011	-	-	-												
Ohio	19	18	-	1	187	259	-	-	-												
Ind.	15	24	1	-	N	N	-	-	-												
Ill.	73	36	-	-	-	-	-	-	-												
Mich.	8	10	-	1	898	644	-	-	-												
Wis.	10	8	-	-	84	108	-	-	-												
W.N. CENTRAL	35	29	-	-	10	26	-	-	-												
Minn.	12	10	-	-	-	-	-	-	-												
Iowa	5	1	-	-	N	N	-	-	-												
Mo.	12	11	-	-	1	-	-	-	-												
N. Dak.	-	-	-	-	-	13	-	-	-												
S. Dak.	-	-	-	-	9	13	-	-	-												
Nebr.	1	2	-	-	-	-	-	-	-												
Kans.	5	5	-	-	-	-	-	-	N												
S. ATLANTIC	57	263	3	5	188	205	-	-	-												
Del.	-	3	-	-	-	-	-	-	-												
Md.	19	11	1	1	-	-	-	-	-												
D.C.	-	4	-	-	-	4	-	-	-												
Va.	-	7	-	1	10	1	-	-	-												
W. Va.	6	2	-	-	173	189	-	-	N												
N.C.	15	9	1	2	-	N	-	-	-												
S.C.	16	13	-	-	5	11	-	-	-												
Ga.	-	88	-	-	-	-	-	-	-												
Fla.	1	126	1	1	-	-	-	-	-												
E.S. CENTRAL	48	52	1	-	-	-	-	-	-												
Ky.	15	5	1	-	N	N	-	-	-												
Tenn.	33	20	-	-	-	-	-	-	-												
Ala.	-	17	-	-	-	-	-	-	-												
Miss.	-	10	-	-	-	-	-	-	-												
W.S. CENTRAL	25	248	-	5	167	577	-	-	-												
Ark.	11	9	-	-	-	-	-	-	-												
La.	-	-	-	-	3	16	-	-	-												
Okla.	14	13	-	-	-	-	-	-	-												
Tex.	-	226	-	5	164	561	-	-	-												
MOUNTAIN	7	32	-	2	474	313	-	-	-												
Mont.	-	-	-	-	-	-	-	-	-												
Idaho	-	-	-	-	-	-	-	-	-												
Wyo.	-	-	-	-	18	11	-	-	-												
Colo.	-	9	-	-	335	190	-	-	-												
N. Mex.	-	4	-	-	22	13	-	-	-												
Ariz.	6	13	-	-	-	-	-	-	-												
Utah	1	6	-	1	99	99	-	-	-												
Nev.	-	-	-	1	-	-	-	-	-												
PACIFIC	69	319	8	10	-	-	-	-	-												
Wash.	29	33	-	1	N	N	-	-	-												
Oreg.	12	10	1	-	-	-	-	-	-												
Calif.	9	257	4	7	-	-	-	-	-												
Alaska	2	3	-	-	-	-	-	-	-												
Hawaii	17	16	3	2	-	-	-	-	-												
Guam	-	11	-	-	-	15	-	-	-												
P.R.	-	-	-	-	11	40	-	-	-												
V.I.	-	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	-												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

§ Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Infectious Diseases 
(ArboNet Surveillance).

† Not previously notifiable.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


