
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 29, 2004 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	398	441	59	79	51	33	5,536	6,105	112,282	129,619											
NEW ENGLAND	30	25	17	13	8	2	499	448	2,533	2,789											
Maine	-	3	-	-	-	-	54	47	106	88											
N.H.	4	6	3	1	-	-	14	19	51	49											
Vt.	-	-	-	-	-	-	42	35	32	33											
Mass.	12	7	2	5	8	2	261	219	1,286	1,044											
R.I.	3	1	-	-	-	-	47	44	365	389											
Conn.	11	8	12	7	-	-	81	84	693	1,186											
MID. ATLANTIC	36	52	2	6	12	11	1,280	1,272	13,972	16,328											
Upstate N.Y.	14	17	1	3	4	5	407	309	2,964	2,866											
N.Y. City	4	3	-	-	-	-	398	471	3,938	5,327											
N.J.	6	5	1	-	4	-	123	179	2,105	3,647											
Pa.	12	27	-	3	4	6	352	313	4,965	4,488											
E.N. CENTRAL	73	118	12	16	7	6	676	1,105	21,485	27,862											
Ohio	19	26	1	9	7	6	285	317	5,762	9,024											
Ind.	8	14	-	-	-	-	-	-	2,385	2,594											
Ill.	15	21	-	1	-	-	84	329	5,882	8,511											
Mich.	14	21	2	-	-	-	207	262	6,037	5,374											
Wis.	17	36	9	6	-	-	100	197	1,419	2,359											
W.N. CENTRAL	72	57	9	7	9	6	644	606	6,222	6,667											
Minn.	26	21	3	6	2	-	205	211	1,218	1,072											
Iowa	12	7	-	-	-	-	96	80	160	488											
Mo.	11	18	6	1	2	-	182	183	3,258	3,394											
N. Dak.	2	1	-	-	3	1	11	16	50	25											
S. Dak.	3	2	-	-	-	-	22	17	108	73											
Nebr.	9	4	-	-	-	-	55	50	412	598											
Kans.	9	4	-	-	2	5	73	49	1,016	1,017											
S. ATLANTIC	38	31	13	25	8	1	859	907	26,859	31,755											
Del.	-	-	N	N	N	N	20	15	388	976											
Md.	4	1	-	-	1	1	34	46	3,111	3,064											
D.C.	1	1	-	-	-	-	26	14	950	985											
Va.	1	10	6	1	-	-	144	110	3,597	3,430											
W. Va.	1	1	-	-	-	-	12	10	340	333											
N.C.	-	-	4	11	-	-	N	N	5,648	5,874											
S.C.	3	-	-	-	-	-	24	49	3,003	3,092											
Ga.	12	6	1	2	-	-	192	291	3,078	6,576											
Fla.	16	12	2	11	7	-	407	372	6,744	7,425											
E.S. CENTRAL	19	22	1	-	6	4	122	120	9,113	10,870											
Ky.	9	8	1	-	4	4	N	N	946	1,404											
Tenn.	3	10	-	-	2	-	55	52	3,199	3,173											
Ala.	3	3	-	-	-	-	67	68	2,522	3,635											
Miss.	4	1	-	-	-	-	-	-	2,446	2,658											
W.S. CENTRAL	18	19	1	2	1	-	103	96	15,961	17,214											
Ark.	7	2	-	-	-	-	46	53	1,493	1,532											
La.	1	1	-	-	-	-	14	6	4,771	4,513											
Okla.	4	3	-	-	-	-	43	37	1,848	1,658											
Tex.	6	13	1	2	1	-	-	-	7,849	9,511											
MOUNTAIN	46	48	3	8	-	3	459	487	3,943	4,343											
Mont.	2	1	-	-	-	-	15	24	32	55											
Idaho	12	13	1	4	-	-	64	59	34	32											
Wyo.	-	1	-	-	-	-	6	6	23	19											
Colo.	8	15	1	1	-	3	148	144	998	1,184											
N. Mex.	4	1	-	3	-	-	21	20	267	500											
Ariz.	7	10	N	N	N	N	72	83	1,636	1,632											
Utah	8	4	-	-	-	-	97	103	183	142											
Nev.	5	3	1	-	-	-	36	48	770	779											
PACIFIC	66	69	1	2	-	-	894	1,064	12,194	11,791											
Wash.	19	21	-	1	-	-	102	94	1,058	1,180											
Oreg.	11	8	1	1	-	-	155	132	265	388											
Calif.	29	39	-	-	-	-	580	765	10,454	9,586											
Alaska	1	1	-	-	-	-	25	34	247	215											
Hawaii	6	-	-	-	-	-	32	39	170	422											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	1	-	-	-	-	9	51	91	92											
V.I.	-	-	-	-	-	-	-	-	4	37											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	3	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


