
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending July 30, 2011 (WEEK 30)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	17	7	109	350	401	17	16	54	269	1,206	2	1	13	51	64						
NEW ENGLAND	-	0	2	3	3	1	2	16	81	61	-	0	1	1	2						
Conn.	-	0	0	-	-	-	0	6	-	25	-	0	0	-	-						
Maine	-	0	1	1	2	-	0	2	10	13	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	10	49	-	-	0	0	-	-						
N.H.	-	0	1	1	1	-	0	3	7	8	-	0	1	1	2						
R.I.	-	0	1	1	-	-	0	6	12	14	-	0	0	-	-						
Vt.	-	0	0	-	-	1	0	1	3	1	-	0	0	-	-						
MID. ATLANTIC	5	1	7	32	58	16	4	26	130	137	2	0	2	5	8						
N.J.	-	0	2	-	41	-	0	3	-	51	-	0	0	-	1						
N.Y. (Upstate)	5	0	7	29	12	16	3	26	115	79	2	0	2	5	5						
N.Y. City	-	0	1	3	4	-	0	5	15	7	-	0	0	-	-						
Pa.	-	0	1	-	1	-	0	1	-	-	-	0	1	-	2						
E.N. CENTRAL	-	0	3	12	29	-	1	15	7	382	-	0	4	22	34						
Ill.	-	0	2	7	10	-	0	2	2	2	-	0	1	2	3						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	3	17	13						
Mich.	-	0	1	2	1	-	0	1	-	2	-	0	1	1	-						
Ohio	-	0	1	3	5	-	0	1	2	1	-	0	1	1	-						
Wis.	-	0	1	-	13	-	1	15	3	377	-	0	3	1	18						
W.N. CENTRAL	4	1	17	100	94	-	1	20	17	575	-	0	11	13	8						
