
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending September 25, 1999 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	1,770	2,008	3	240	522	100	3,977	4,504	1	218	333										
NEW ENGLAND	85	86	-	4	6	12	464	752	-	7	38										
Maine	5	5	-	-	-	-	-	5	-	-	-										
N.H.	12	11	-	1	-	1	74	76	-	-	-										
Vt.	4	2	-	1	-	3	49	66	-	-	-										
Mass.	48	40	-	2	4	5	303	560	-	7	8										
R.I.	4	3	-	-	-	-	24	9	-	-	1										
Conn.	12	25	-	-	2	3	14	36	-	-	29										
MID. ATLANTIC	160	207	1	28	172	23	667	469	-	22	145										
Upstate N.Y.	45	52	1	9	3	23	581	236	-	18	114										
N.Y. City	43	24	-	3	153	-	10	30	-	-	17										
N.J.	39	50	-	-	6	-	12	15	-	1	13										
Pa.	33	81	-	16	10	-	64	188	-	3	1										
E.N. CENTRAL	300	310	-	30	63	3	339	555	-	2	-										
Ohio	114	112	U	11	23	U	156	191	U	-	-										
Ind.	42	53	-	4	6	2	51	98	-	1	-										
Ill.	84	84	-	8	9	-	49	66	-	1	-										
Mich.	36	37	-	7	23	1	40	50	-	-	-										
Wis.	24	24	-	-	2	-	43	150	-	-	-										
W.N. CENTRAL	194	174	1	11	26	1	266	382	-	123	32										
Minn.	41	29	-	1	12	-	132	201	-	5	-										
Iowa	36	29	1	5	9	1	46	59	-	29	-										
Mo.	74	65	-	2	3	-	41	28	-	2	2										
N. Dak.	3	5	-	-	1	-	4	3	-	-	-										
S. Dak.	11	7	-	-	-	-	5	8	-	-	-										
Nebr.	11	12	-	-	-	-	3	14	-	87	-										
Kans.	18	27	U	3	1	U	35	69	U	-	30										
S. ATLANTIC	315	333	1	41	41	24	313	242	1	36	15										
Del.	7	2	-	-	-	-	4	3	-	-	-										
Md.	44	24	-	3	-	6	83	49	-	1	1										
D.C.	1	1	-	2	-	-	-	1	-	-	-										
Va.	40	28	-	8	6	-	13	19	-	-	-										
W. Va.	5	13	-	-	-	-	2	1	-	-	-										
N.C.	35	46	-	8	10	10	83	81	1	35	11										
S.C.	38	49	1	4	6	1	15	24	-	-	-										
Ga.	51	76	-	4	1	3	33	21	-	-	-										
Fla.	94	94	-	12	18	4	80	43	-	-	3										
E.S. CENTRAL	115	154	-	11	13	1	66	96	-	1	1										
Ky.	24	27	-	-	-	-	17	39	-	-	-										
Tenn.	45	55	-	-	1	-	28	30	-	-	1										
Ala.	27	41	-	8	7	1	17	23	-	1	-										
Miss.	19	31	-	3	5	-	4	4	-	-	-										
W.S. CENTRAL	148	239	-	29	52	2	136	292	-	7	87										
Ark.	31	26	U	-	10	U	17	58	U	-	-										
La.	34	47	U	3	6	U	3	6	U	-	-										
Okla.	25	32	-	1	-	-	12	22	-	-	-										
Tex.	58	134	-	25	36	2	104	206	-	7	87										
MOUNTAIN	106	112	-	15	34	6	447	799	-	16	5										
Mont.	2	4	-	-	-	-	2	9	-	-	-										
Idaho	8	9	U	1	4	U	127	198	U	-	-										
Wyo.	4	5	-	-	1	-	2	8	-	-	-										
Colo.	29	21	-	4	6	-	129	186	-	1	-										
N. Mex.	13	20	N	N	N	3	97	80	-	-	1										
Ariz.	30	37	-	-	6	3	33	163	-	13	1										
Utah	13	10	-	5	5	-	53	120	-	1	2										
Nev.	7	6	-	5	12	-	4	35	-	1	1										
PACIFIC	347	393	-	71	115	28	1,279	917	-	4	10										
Wash.	56	54	-	2	7	14	571	238	-	-	5										
Oreg.	60	65	N	N	N	8	41	70	-	-	-										
Calif.	222	266	-	57	83	6	638	581	-	4	3										
Alaska	5	3	-	1	2	-	4	14	-	-	-										
Hawaii	4	5	-	11	23	-	25	14	-	-	2										
Guam	1	2	U	1	2	U	1	1	U	-	-										
P.R.	5	9	U	-	2	U	16	4	U	-	8										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


