
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending June 11, 2011 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral Acute), Type A current week
Hepatitis (Viral Acute), Type A previous 52 weeks median 
Hepatitis (Viral Acute), Type A previous 52 weeks maximum 
Hepatitis (Viral Acute), Type A cummulative for 2011
Hepatitis (Viral Acute), Type A cummulative for 2010
Hepatitis (Viral Acute), Type B current week
Hepatitis (Viral Acute), Type B previous 52 weeks median 
Hepatitis (Viral Acute), Type B previous 52 weeks maximum 
Hepatitis (Viral Acute), Type B cummulative for 2011
Hepatitis (Viral Acute), Type B cummulative for 2010
Hepatitis (Viral Acute), Type C current week
Hepatitis (Viral Acute), Type C previous 52 weeks median 
Hepatitis (Viral Acute), Type C previous 52 weeks maximum 
Hepatitis (Viral Acute), Type C cummulative for 2011
Hepatitis (Viral Acute), Type C cummulative for 2010

tab delimited data:
test
UNITED STATES	12	26	74	419	677	24	59	167	924	1,375	6	17	39	369	343						
NEW ENGLAND	-	1	6	12	56	-	0	5	21	29	-	1	4	20	29						
Conn.	-	0	4	5	12	-	0	4	7	8	-	0	3	14	16						
Maine	-	0	1	1	3	-	0	2	5	9	-	0	2	3	2						
Mass.	-	0	5	3	35	-	0	3	8	7	-	0	1	1	11						
N.H.	-	0	1	-	-	-	0	1	1	4	N	0	0	N	N						
R.I.	-	0	1	1	6	U	0	0	U	U	U	0	0	U	U						
Vt.	-	0	1	2	-	-	0	1	-	1	-	0	1	2	-						
MID. ATLANTIC	1	4	12	82	107	4	5	11	117	140	1	1	6	30	43						
N.J.	-	1	4	10	30	-	1	4	23	38	-	0	4	-	9						
N.Y. (Upstate)	-	1	4	20	24	2	1	9	22	22	1	1	4	17	20						
N.Y. City	1	1	6	28	30	-	1	5	34	43	-	0	1	-	1						
Pa.	-	1	3	24	23	2	1	4	38	37	-	0	2	13	13						
E.N. CENTRAL	3	3	9	75	79	-	7	23	120	224	-	3	10	83	41						
Ill.	-	1	3	11	20	-	2	7	33	52	-	0	1	1	-						
Ind.	-	0	3	10	9	-	1	6	13	32	-	0	4	29	16						
Mich.	3	1	5	29	26	-	2	5	37	59	-	1	7	50	19						
Ohio	-	1	5	22	15	-	1	16	25	55	-	0	1	2	3						
Wis.	-	0	2	3	9	-	1	3	12	26	-	0	1	1	3						
W.N. CENTRAL	-	1	25	16	23	-	2	16	54	59	-	0	6	2	6						
Iowa	-	0	3	1	4	-	0	1	4	10	-	0	0	-	-						
Kans.	-	0	2	3	7	-	0	2	6	4	-	0	1	2	-						
Minn.	-	0	22	2	1	-	0	15	2	2	-	0	6	-	3						
Mo.	-	0	1	5	9	-	1	4	35	33	-	0	1	-	2						
