
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending December 16, 2006 (WEEK 50)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	31	121	239	6,026	5,628	5	38	246	2,035	1,776	453	785	2,291	40,483	42,429						
NEW ENGLAND	3	12	26	644	685	-	0	2	3	8	3	22	481	1,746	2,096						
Conn.	1	3	14	204	202	-	0	0	-	-	-	0	473	473	455						
Maine	1	2	8	119	61	N	0	0	N	N	-	2	10	119	162						
Mass.	-	3	17	178	325	-	0	1	1	6	-	15	53	782	1,117						
N.H.	1	1	5	52	13	-	0	1	1	1	3	3	25	208	174						
R.I.	-	0	3	24	29	-	0	2	1	1	-	1	17	89	95						
Vt.	-	1	5	67	55	-	0	0	-	-	-	1	6	75	93						
MID. ATLANTIC	7	27	71	1,571	965	2	1	6	84	97	40	84	272	4,873	4,931						
N.J.	N	0	0	N	N	-	0	1	7	30	-	14	48	803	942						
N.Y. (Upstate)	7	10	24	534	543	-	0	2	5	1	23	25	233	1,271	1,178						
N.Y. City	-	0	5	37	28	-	0	3	23	7	-	23	50	1,185	1,173						
Pa.	-	16	56	1,000	394	2	1	3	49	59	17	29	67	1,614	1,638						
E.N. CENTRAL	-	2	18	162	170	-	0	6	41	41	57	100	192	4,969	5,554						
Ill.	-	0	7	46	50	-	0	2	5	11	-	23	56	1,162	1,789						
Ind.	-	0	2	11	12	-	0	1	7	1	6	15	67	828	613						
Mich.	-	1	5	47	38	-	0	1	3	6	7	18	34	923	928						
Ohio	-	0	9	58	70	-	0	4	25	21	44	23	56	1,282	1,305						
Wis.	N	0	0	N	N	-	0	1	1	2	-	17	27	774	919						
W.N. CENTRAL	-	6	20	303	313	1	2	15	212	154	25	48	109	2,574	2,494						
Iowa	-	1	7	57	-	-	0	1	5	7	-	8	26	436	401						
Kans.	-	1	5	81	77	-	0	1	1	5	3	7	16	360	358						
Minn.	-	0	6	40	68	1	0	2	5	2	9	11	60	694	541						
Mo.	-	1	6	66	72	-	2	11	176	128	6	14	35	733	779						
Nebr.	-	0	0	-	-	-	0	5	25	7	7	3	9	191	218						
N. Dak.	-	0	7	24	31	-	0	1	-	-	-	0	46	28	38						
S. Dak.	-	1	4	35	65	-	0	0	-	5	-	3	7	132	159						
S. ATLANTIC	15	40	183	2,108	2,035	-	20	94	1,123	934	174	211	388	10,901	12,496						
Del.	-	0	0	-	-	-	0	3	21	7	-	3	10	144	123						
D.C.	-	0	0	-	-	-	0	1	1	2	-	1	4	62	58						
Fla.	-	0	167	169	201	-	0	3	22	13	98	92	176	4,638	5,269						
Ga.	6	5	24	239	251	-	1	5	49	85	21	33	70	1,715	1,896						
Md.	-	7	13	318	371	-	1	6	75	73	-	12	29	686	788						
N.C.	3	9	22	496	454	-	17	87	817	560	51	32	130	1,613	1,670						
S.C.	-	3	11	174	217	-	0	5	33	72	4	17	51	968	1,404						
Va.	6	12	27	601	473	-	1	13	102	113	-	20	57	941	1,100						
W. Va.	-	2	7	111	68	-	0	2	3	9	-	2	19	134	188						
E.S. CENTRAL	1	4	16	253	147	-	6	31	393	288	11	58	153	3,174	2,877						
Ala.	1	1	8	82	78	-	2	11	133	72	5	20	84	1,286	701						
Ky.	-	0	4	29	17	-	0	1	3	3	6	8	23	429	478						
Miss.	-	0	2	4	5	-	0	1	4	18	-	11	42	720	890						
Tenn.	-	2	9	138	47	-	3	22	253	195	-	14	32	739	808						
W.S. CENTRAL	5	11	34	568	833	2	1	161	119	218	23	74	922	4,079	4,239						
Ark.	-	0	5	31	33	-	0	10	51	130	12	15	47	908	707						
La.	-	0	0	-	-	-	0	1	5	6	-	12	42	812	895						
Okla.	5	1	9	66	75	2	0	154	38	52	11	8	48	491	394						
Tex.	-	10	29	471	725	-	0	4	25	30	-	32	839	1,868	2,243						
MOUNTAIN	-	3	27	207	268	-	0	6	53	34	33	50	88	2,483	2,349						
Ariz.	-	2	10	137	167	-	0	6	10	19	14	17	67	869	669						
Colo.	-	0	0	-	18	-	0	1	2	4	15	12	30	594	567						
Idaho	-	0	25	25	12	-	0	3	14	3	-	3	9	164	147						
Mont.	-	0	2	14	15	-	0	2	2	1	-	2	10	126	143						
Nev.	-	0	1	2	14	-	0	1	3	-	1	3	20	186	194						
N. Mex.	-	0	2	10	10	-	0	2	9	4	-	4	15	233	245						
Utah	-	0	1	11	15	-	0	2	6	-	3	5	15	268	301						
Wyo.	-	0	2	8	17	-	0	1	7	3	-	1	4	43	83						
PACIFIC	-	4	12	210	212	-	0	1	7	2	87	114	426	5,684	5,393						
Alaska	-	0	4	16	2	-	0	0	-	-	1	1	7	72	58						
Calif.	-	3	11	169	202	-	0	1	5	-	74	89	292	4,469	4,149						
Hawaii	-	0	0	-	-	-	0	0	-	-	1	5	17	256	283						
Oreg.	-	0	4	25	8	-	0	1	2	2	1	8	16	406	397						
Wash.	U	0	0	U	U	N	0	0	N	N	10	9	124	481	506						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	7						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	1	2	-	45						
P.R.	-	1	6	68	68	N	0	0	N	N	7	4	35	254	629						
