
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending September 7, 1996 (WEEK 36)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	422	266	10	447	601	257	3,157	2,735	2	193	105										
NEW ENGLAND	14	8	-	1	11	17	655	378	-	25	44										
Maine	-	-	-	-	4	-	19	21	-	-	-										
N.H.	-	-	-	-	1	2	66	28	-	-	1										
Vt.	2	-	-	-	-	3	41	56	-	2	-										
Mass.	11	2	-	1	2	-	485	258	-	20	7										
R.I.	-	5	-	-	1	12	25	2	-	-	-										
Conn.	1	1	-	-	3	-	19	13	-	3	36										
MID. ATLANTIC	25	12	1	60	91	14	242	224	-	8	12										
Upstate N.Y.	-	1	-	19	23	9	129	105	-	4	3										
N.Y. City	12	5	-	14	13	-	22	35	-	2	7										
N.J.	-	6	-	2	14	-	5	16	-	2	2										
Pa.	13	-	1	25	41	5	86	68	-	-	-										
E.N. CENTRAL	9	14	-	81	103	5	317	332	-	3	3										
Ohio	2	1	-	35	32	-	159	95	-	-	-										
Ind.	-	-	U	6	7	U	31	21	U	-	-										
Ill.	3	2	-	19	30	5	96	65	-	1	-										
Mich.	3	5	-	20	34	-	26	55	-	2	3										
Wis.	1	6	-	1	-	-	5	96	-	-	-										
W.N. CENTRAL	23	2	2	12	36	35	208	139	-	1	-										
Minn.	18	-	2	5	2	29	157	42	-	-	-										
Iowa	-	-	-	1	9	-	9	7	-	1	-										
Mo.	4	1	-	3	20	5	27	45	-	-	-										
N. Dak.	-	-	-	2	1	-	1	8	-	-	-										
S. Dak.	-	-	-	-	-	1	4	10	-	-	-										
Nebr.	-	-	U	-	4	U	6	8	U	-	-										
Kans.	1	1	-	1	-	-	4	19	-	-	-										
S. ATLANTIC	14	11	-	76	88	13	376	235	-	91	9										
Del.	1	-	-	-	-	-	11	9	-	-	-										
Md.	4	1	-	21	27	5	132	31	-	-	1										
D.C.	-	-	-	-	-	-	-	4	-	1	-										
Va.	2	-	-	12	17	4	43	15	-	2	-										
W. Va.	-	-	-	-	-	-	2	-	-	-	-										
N.C.	4	-	U	17	16	U	75	84	U	77	1										
S.C.	-	-	-	5	9	1	26	20	-	1	-										
Ga.	2	2	-	2	6	-	17	18	-	-	-										
Fla.	1	8	-	19	13	3	70	54	-	10	7										
E.S. CENTRAL	1	-	-	19	7	4	67	255	-	2	1										
Ky.	-	-	-	-	-	-	26	17	-	-	-										
Tenn.	1	-	-	1	-	-	17	203	-	-	1										
Ala.	-	-	-	3	4	4	16	34	-	2	-										
Miss.	-	-	-	15	3	-	8	1	N	N	N										
W.S. CENTRAL	28	23	3	23	39	5	77	213	1	3	7										
Ark.	-	2	-	1	6	3	7	29	-	-	-										
La.	-	18	-	12	8	-	7	12	-	1	-										
Okla.	-	-	-	-	-	-	8	20	-	-	-										
Tex.	28	3	3	10	25	2	55	152	1	2	7										
MOUNTAIN	157	68	-	22	26	24	294	459	-	6	4										
Mont.	-	-	-	-	1	-	17	3	-	-	-										
Idaho	1	-	-	-	2	4	98	87	-	2	-										
Wyo.	1	-	-	-	-	1	5	1	-	-	-										
Colo.	7	26	-	2	1	9	77	68	-	2	-										
N. Mex.	16	31	N	N	N	3	42	78	-	-	-										
Ariz.	8	10	-	1	2	7	22	153	-	1	3										
Utah	119	-	-	2	11	-	11	18	-	-	1										
Nev.	5	1	-	17	9	-	22	51	-	1	-										
PACIFIC	151	128	4	153	200	140	921	500	1	54	25										
Wash.	45	19	-	18	10	110	413	121	-	2	1										
Oreg.	4	1	-	-	-	-	29	37	-	1	-										
Calif.	35	106	2	111	171	30	458	300	1	48	19										
Alaska	63	-	U	2	12	U	2	-	U	-	-										
Hawaii	4	2	2	22	7	-	19	42	-	3	5										
Guam	-	-	U	5	3	U	1	2	U	-	1										
P.R.	6	3	U	1	2	U	1	1	U	-	-										
V.I.	-	-	U	-	3	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


