
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 22, 2000 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2000
H. influenzae, Invasive cummulative for 1999
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type B cummulative for 2000
Hepatitis (Viral), Type B cummulative for 1999
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2000
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2000
Measles (Rubeola), Total cummulative for 2000
Measles (Rubeola), Total cummulative for 1999

tab delimited data:
test
UNITED STATES	677	703	6,147	9,148	3,700	3,852	2	33	-	11	44	63									
NEW ENGLAND	49	53	160	135	36	86	-	-	-	3	3	10									
Maine	1	5	10	4	5	1	-	-	-	-	-	-									
N.H.	9	10	17	8	11	8	-	-	-	-	-	1									
Vt.	3	4	5	3	5	1	-	-	-	3	3	-									
Mass.	23	21	69	53	6	30	-	-	-	-	-	7									
R.I.	1	1	7	10	9	22	-	-	-	-	-	-									
Conn.	12	12	52	57	-	24	-	-	-	-	-	2									
MID. ATLANTIC	110	123	566	678	504	519	-	8	-	1	9	5									
Upstate N.Y.	53	49	121	142	72	113	-	8	-	-	8	2									
N.Y. City	26	38	186	183	224	152	-	-	-	-	-	3									
N.J.	24	33	79	80	69	73	-	-	-	-	-	-									
Pa.	7	3	180	273	139	181	-	-	-	1	1	-									
E.N. CENTRAL	88	113	733	1,732	394	410	-	7	-	-	7	2									
Ohio	36	39	156	404	69	52	-	2	-	-	2	-									
Ind.	12	18	37	61	28	26	-	-	-	-	-	1									
Ill.	35	48	258	373	63	38	-	4	-	-	4	-									
Mich.	5	8	269	848	233	270	-	1	-	-	1	1									
Wis.	-	-	13	46	1	24	-	-	-	-	-	-									
W.N. CENTRAL	31	32	573	417	519	155	-	1	-	1	2	-									
Minn.	16	17	135	42	20	25	-	-	-	1	1	-									
Iowa	-	1	55	77	26	25	-	1	-	-	1	-									
Mo.	8	4	298	249	441	88	-	-	-	-	-	-									
N. Dak.	1	-	2	1	2	-	-	-	-	-	-	-									
S. Dak.	-	2	-	8	-	1	-	-	-	-	-	-									
Nebr.	4	4	18	30	18	12	-	-	-	-	-	-									
Kans.	2	4	65	10	12	4	-	-	-	-	-	-									
S. ATLANTIC	190	157	745	1,006	673	573	2	3	-	-	3	4									
Del.	-	-	-	2	-	1	-	-	-	-	-	-									
Md.	51	44	98	188	72	91	-	-	-	-	-	-									
D.C.	-	4	14	37	17	14	-	-	-	-	-	-									
Va.	29	12	84	90	84	53	2	2	-	-	2	3									
W. Va.	5	5	45	24	6	15	-	-	-	-	-	-									
N.C.	17	23	97	75	142	131	-	-	-	-	-	-									
S.C.	11	3	31	23	5	38	-	-	-	-	-	-									
Ga.	50	42	116	289	101	66	-	-	-	-	-	-									
Fla.	27	24	260	278	246	164	-	1	-	-	1	1									
E.S. CENTRAL	31	45	250	249	258	280	-	-	-	-	-	2									
Ky.	12	6	30	49	51	20	-	-	-	-	-	2									
Tenn.	14	23	93	103	117	132	-	-	-	-	-	-									
Ala.	4	14	38	37	27	54	-	-	-	-	-	-									
Miss.	1	2	89	60	63	74	-	-	-	-	-	-									
W.S. CENTRAL	37	45	1,037	1,789	379	655	-	1	-	-	1	6									
Ark.	-	2	94	26	62	46	-	1	-	-	1	-									
La.	7	11	28	121	50	115	-	-	-	-	-	-									
Okla.	28	29	165	327	83	87	-	-	-	-	-	-									
Tex.	2	3	750	1,315	184	407	-	-	-	-	-	6									
MOUNTAIN	70	61	511	778	274	351	-	11	-	1	12	1									
Mont.	-	1	2	12	3	16	-	-	-	-	-	-									
Idaho	3	1	18	29	4	20	-	-	-	-	-	-									
Wyo.	1	1	10	4	2	8	-	-	-	-	-	-									
Colo.	11	10	113	147	51	53	-	1	-	1	2	-									
N. Mex.	15	15	45	31	72	113	-	-	-	-	-	-									
Ariz.	33	28	253	444	104	87	-	-	-	-	-	1									
Utah	6	3	37	31	14	20	-	3	-	-	3	-									
Nev.	1	2	33	80	24	34	-	7	-	-	7	-									
PACIFIC	71	74	1,572	2,364	663	823	-	2	-	5	7	33									
Wash.	3	2	159	183	42	39	-	-	-	-	-	5									
Oreg.	19	26	119	151	55	64	-	-	-	-	-	11									
Calif.	26	37	1,283	2,013	554	699	-	1	-	3	4	16									
Alaska	4	5	8	4	6	13	-	1	-	-	1	-									
Hawaii	19	4	3	13	6	8	-	-	-	2	2	1									
Guam	-	-	-	1	-	2	U	-	U	-	-	1									
P.R.	1	2	60	185	64	136	-	-	-	-	-	-									
V.I.	-	U	-	U	-	U	U	-	U	-	-	U									
Amer. Samoa	-	U	-	U	-	U	U	-	U	-	-	U									
C.N.M.I.	-	U	-	U	-	U	U	-	U	-	-	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


