
TABLE I.  Provisional cases of infrequently reported notifiable diseases (<1,000 cases reported during the preceding year), United States, week ending March 3, 2007 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Disease
Current week
Cummulative for 2007
5-year weekly average†
Total cases reported for year 2006
Total cases reported for year 2005
Total cases reported for year 2004
Total cases reported for year 2003
Total cases reported for year 2002
States reporting cases during current week (No.)

tab delimited data:
test
Anthrax	-	-	0	1	-	-	-	2		
Botulism:										
foodborne	-	-	0	19	19	16	20	28		
infant	-	6	2	92	85	87	76	69		
other (wound & unspecified)	-	2	0	46	31	30	33	21		
Brucellosis	3	13	2	117	120	114	104	125	KS (1 ), CA (2 )	
Chancroid	-	1	1	34	17	30	54	67		
Cholera	-	-	-	6	8	5	2	2		
Cyclosporiasis §	1	9	4	129	543	171	75	156	DC (1 )	
Diphtheria	-	-	-	-	-	-	1	1		
Domestic arboviral diseases §, ¶ :										
California serogroup	-	-	0	63	80	112	108	164		
eastern equine	-	-	-	7	21	6	14	10		
Powassan	-	-	-	1	1	1	-	1		
St. Louis	-	-	-	9	13	12	41	28		
western equine	-	-	-	-	-	-	-	-		
Ehrlichiosis §:										
human granulocytic	-	9	1	548	786	537	362	511		
human monocytic	1	17	1	487	506	338	321	216	NY (1 )	
human (other & unspecified)	-	6	0	201	112	59	44	23		
Haemophilus influenzae**, invasive disease (age &lt;5 yrs):										
serotype b	-	1	0	9	9	19	32	34		
nonserotype b	2	8	3	97	135	135	117	144	FL (1 ), OK (1 )	
unknown serotype	3	54	5	245	217	177	227	153	GA (1 ), TN (1 ), CO (1 )	
Hansen disease §	-	7	1	75	87	105	95	96		
Hantavirus pulmonary syndrome §	-	1	0	36	26	24	26	19		
Hemolytic uremic syndrome, post-diarrheal §	1	12	2	259	221	200	178	216	OK (1 )	
Hepatitis C viral, acute	6	90	21	834	652	713	1,102	1,835	NY (1 ), MI (1 ), TX (1 ), CO (2 ), OR (1 )	
HIV infection, pediatric (age &lt;13 yrs) ††	-	-	5	52	380	436	504	420		
Influenza-associated pediatric mortality §, §§	5	25	1	41	45	-	N	N	NY (1 ), TX (1 ), IN (1 ), GA (2 )	
Listeriosis	2	70	9	796	896	753	696	665	NY (1 ), NC (1 )	
Measles ¶¶	-	1	1	52	66	37	56	44		
Meningococcal disease, invasive *** :										
A, C, Y, and W-135	1	26	7	232	297	-	-	-	CO (1 )	
serogroup B	-	10	3	142	156	-	-	-		
