
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending December 28, 2002 (WEEK 52)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, Enterohemorrhagic, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	41	20	16,986	326,017	360,906	1,479	1,597	27	27												
NEW ENGLAND	1	1	1,650	7,540	6,976	126	121	-	1												
Maine	-	-	216	141	141	2	2	-	-												
N.H.	-	-	43	122	176	11	7	-	-												
Vt.	1	1	145	98	76	7	5	-	-												
Mass.	-	-	830	3,217	3,207	50	43	-	1												
R.I.	-	-	156	926	830	10	10	-	-												
Conn.	-	-	260	3,036	2,546	46	54	-	-												
MID. ATLANTIC	1	3	3,715	39,276	44,754	261	248	6	3												
Upstate N.Y.	-	-	1,244	8,613	9,685	120	98	2	-												
N.Y. City	-	-	1,329	10,944	12,613	63	59	-	-												
N.J.	-	-	385	7,814	8,921	48	48	-	-												
Pa.	1	3	757	11,905	13,535	30	43	4	3												
E.N. CENTRAL	13	7	3,263	66,503	75,374	211	285	4	2												
Ohio	12	7	975	19,363	21,163	85	74	-	1												
Ind.	-	-	-	7,268	6,972	42	59	2	-												
Ill.	-	-	766	19,285	24,025	58	103	-	-												
Mich.	1	-	910	14,730	17,120	18	14	2	-												
Wis.	-	-	612	5,857	6,094	8	35	-	1												
W.N. CENTRAL	7	4	2,042	16,517	17,045	70	89	1	1												
Minn.	-	-	826	2,926	2,701	48	56	1	-												
Iowa	-	-	310	1,229	1,418	1	-	-	-												
Mo.	N	N	491	8,721	8,723	12	20	-	-												
N. Dak.	2	4	28	52	56	-	8	-	-												
S. Dak.	-	-	73	264	289	-	-	-	-												
Nebr.	-	-	133	723	1,189	1	3	-	1												
Kans.	5	-	181	2,602	2,669	8	2	-	-												
S. ATLANTIC	1	-	2,832	83,749	93,530	359	394	4	1												
Del.	-	-	51	1,576	1,733	-	-	-	-												
Md.	-	-	117	9,234	9,399	93	92	2	-												
D.C.	-	-	45	2,720	2,883	-	-	-	-												
Va.	-	-	344	9,774	11,095	32	34	-	-												
W. Va.	1	-	59	875	729	16	16	-	1												
N.C.	-	-	-	15,531	16,583	33	50	-	-												
S.C.	-	-	129	6,918	10,805	14	8	-	-												
Ga.	-	-	768	16,880	18,772	76	109	-	-												
Fla.	-	-	1,319	20,241	21,531	95	85	2	-												
E.S. CENTRAL	8	3	379	27,295	32,674	66	84	1	1												
Ky.	8	3	-	3,716	3,588	7	2	-	-												
Tenn.	-	-	176	9,069	10,145	34	51	-	1												
Ala.	-	-	203	8,496	11,182	16	29	1	-												
Miss.	-	-	-	6,014	7,759	9	2	-	-												
W.S. CENTRAL	4	-	246	46,918	51,689	61	64	2	3												
Ark.	-	-	169	4,412	4,604	1	3	-	-												
La.	-	-	5	11,399	12,277	11	10	-	1												
Okla.	-	-	72	4,519	4,784	45	48	-	-												
Tex.	4	-	-	26,588	30,024	4	3	2	2												
MOUNTAIN	6	2	1,714	10,637	10,385	194	175	6	10												
Mont.	-	-	94	124	104	-	1	-	-												
Idaho	-	-	137	95	76	2	2	-	-												
Wyo.	-	-	29	63	77	1	1	-	-												
Colo.	6	2	572	3,344	3,190	34	38	-	-												
N. Mex.	-	-	136	1,322	1,040	27	29	-	2												
Ariz.	-	-	256	3,761	3,923	99	82	4	5												
Utah	-	-	333	287	219	19	10	1	1												
Nev.	-	-	157	1,641	1,756	12	12	1	2												
PACIFIC	-	-	1,145	27,582	28,479	131	137	3	5												
Wash.	-	-	419	2,921	2,991	4	9	2	1												
Oreg.	-	-	451	908	1,144	64	39	-	-												
Calif.	-	-	81	22,449	23,283	25	60	1	4												
Alaska	-	-	106	593	457	2	6	-	-												
Hawaii	-	-	88	711	604	36	23	-	-												
Guam	-	-	-	-	48	-	-	-	-												
P.R.	-	-	38	292	588	1	2	-	-												
V.I.	-	-	-	31	35	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	1	14	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


